class_name,accuracy,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17
surfing crowd 336,0.625,0.1877684723668628,0.22656829873720807,0.1988243377539847,0.09204944441715873,0.06610611245863966,0.19923132058646945,0.09021354012191296,0.06737472264510062,0.08043736174702647,0.03913270831418534,0.02409673625913759,0.07897166562163167,0.0397718040789995,0.023937395724416183,0.15223107662465837,0.16208965384297902,0.1382748614417182,0.15203881892893048
skiing slalom 310,0.62,0.15255213216940566,0.2871449327945708,0.2586430338144302,0.19403209977149963,0.17174636772274968,0.2610543659885724,0.20028723395168782,0.17078403075536097,0.24336983267664902,0.2187612658441066,0.19182729998926315,0.24483386595845233,0.2241527009884517,0.1965750992417335,0.13286033224662142,0.1368140649755796,0.10526633448004721,0.1259549662947655
presenting weather forecast 254,0.58,0.3343206654866535,0.28558533191680907,0.2577262657801309,0.2075872663279375,0.2122309002478918,0.25489639879862463,0.21302689870198566,0.21838956631024678,0.12438246772686641,0.06122103329847255,0.018235566550989946,0.12402903368075688,0.05835269972632329,0.01646776657253504,0.30411446336110437,0.30285383275349936,0.21533876957496012,0.22750656912500655
tapping pen 351,0.5102040816326531,0.03763095277405922,0.06153020423184448,0.05411030693600575,0.03997462606146223,0.027839557578926595,0.05516115564878294,0.05123472925934459,0.032912890937964935,0.012876190241857046,0.005542755099203514,0.003671870705652602,0.014719081659909008,0.006750374065750108,0.004505544163945582,0.037427992844054486,0.02907931989527682,0.03511673470997081,0.011143027053398334
shearing sheep 294,0.4489795918367347,0.20846567740853955,0.266005919926426,0.23367646148415655,0.22315581502557605,0.20003496384945044,0.23702058232560452,0.22674047694725247,0.20033768595886875,0.16279476133333579,0.14653581549115732,0.10371462448924577,0.165520375050655,0.16313258636970918,0.10835585149372517,0.16109765207990495,0.158947923421657,0.13516061079441286,0.14223544258142815
filling eyebrows 126,0.40816326530612246,0.10200146113325949,0.020936326247443553,0.017094897684343413,0.0038322108999198795,0.0016326871034087367,0.020735714408207907,0.003749149552717501,0.002067993114493332,0.0005400340194452781,0.0002377891152793047,0.00012231292773266228,0.0005784693897581426,0.0002902040749686916,0.00025510202941237667,0.12962227914406332,0.13040619037639933,0.0574411905686162,0.03833921800563934
front raises 134,0.36,0.36807836786905923,0.37025830383300795,0.3333548338572183,0.29303683376312256,0.26796603279113773,0.34422682952880856,0.3032689679463705,0.26951723499298097,0.23707939847310386,0.21523229882518455,0.17405690054297446,0.24367236633300784,0.22604603185703356,0.18322953297855957,0.32278009871343777,0.33085193099975585,0.2369703665951887,0.25480196603536603
playing kickball 237,0.34,0.15533313320279116,0.5425100936889649,0.5026126706441243,0.37974959971110034,0.29675776354471844,0.5023634999593098,0.3512327994028728,0.266816600481669,0.4634227996826171,0.42540830256144196,0.3534657704671224,0.45938127187093103,0.42762666702270513,0.35470486399332685,0.12768590222199755,0.11248923300306002,0.2698391969045002,0.23266056852340697
auctioning 9,0.32,0.5340178742965063,0.60068290125529,0.544994902165731,0.34226466236114506,0.24498843515763685,0.5484261648813883,0.33629519704182953,0.2578644672751426,0.25684789861043295,0.10186483426292738,0.050617099912464616,0.2522372663497925,0.0921299010515213,0.04251926696300507,0.4833713361938794,0.47868846683502203,0.3706979973157249,0.37237206687927243
deadlifting 88,0.30612244897959184,0.3122717028004782,0.3555142185314982,0.33193050666731233,0.2726842880492308,0.23270516724408072,0.3272021801212207,0.2628477217064422,0.2218315632286526,0.24575278690883093,0.2389340829524864,0.1989710880055719,0.2403842852066974,0.2318884694495169,0.1991789461398611,0.23947016822719047,0.22581884363881577,0.18453016753961035,0.18574696886650968
playing badminton 218,0.3,0.2956829348246256,0.6129722681681316,0.5750880622863769,0.42717116800944005,0.3365964018503825,0.5772406341552735,0.42494789708455394,0.33555709991455074,0.5394546361287434,0.5250602003733317,0.47888973320325207,0.5386314270019532,0.5315292682647705,0.4808951997598011,0.23463983093897497,0.24353066836992898,0.2686473326365153,0.28760846805572515
washing feet 380,0.3,0.3835679709772269,0.39952446917345136,0.3600688349644342,0.2686603303243716,0.22302126320600507,0.36015006747444467,0.2624498335758846,0.22454556645154958,0.20266973214025297,0.13716396769483885,0.07309453385472298,0.2033289342651765,0.137445098700126,0.06736003293494386,0.30625740275979024,0.3154719637552896,0.2197745671962698,0.22104562979340553
