class_name,accuracy,P_0_S_0,P_0_S_1,P_0_S_2,P_0_S_3,P_0_S_4,P_0_S_5,P_0_S_6,P_0_S_7,P_0_S_8,P_0_S_9,P_0_S_10,P_0_S_11,P_0_S_12,P_0_S_13,P_0_S_14,P_0_S_15,P_0_S_16,P_0_S_17,P_1_S_0,P_1_S_1,P_1_S_2,P_1_S_3,P_1_S_4,P_1_S_5,P_1_S_6,P_1_S_7,P_1_S_8,P_1_S_9,P_1_S_10,P_1_S_11,P_1_S_12,P_1_S_13,P_1_S_14,P_1_S_15,P_1_S_16,P_1_S_17
surfing crowd 336,0.625,0.24955882257885406,0.3035957625177172,0.26761284556653764,0.13019375054372678,0.09469298750989967,0.2691611108514998,0.13239187427692942,0.09961222148189945,0.11650513919691248,0.05718944453013441,0.03358638897693408,0.11507715332011381,0.05842590352313388,0.03284541694395659,0.2068086834748586,0.21879756841394638,0.17652291344271764,0.1973956278297636,0.12597812707018521,0.14954083300713036,0.13003583363774748,0.053905139817959725,0.037519236031091883,0.12930152929491467,0.0480352072479824,0.035137221981874765,0.04436958267043034,0.021075971898260635,0.014607083209169409,0.04286618114449084,0.02111770753774585,0.015029375145677482,0.0976534730941057,0.10538173677399755,0.10002680590997139,0.10668201280964747
skiing slalom 310,0.62,0.2665467969417572,0.5068024024645488,0.45246793586413053,0.3501790657997133,0.31432679942051567,0.45849053421815245,0.3601850660224757,0.311530133374532,0.43264500008026774,0.39336006602048884,0.3486179325362047,0.4349046675960222,0.4015195323805014,0.35567386321226757,0.23095073079268133,0.23847993182341257,0.1844516004125277,0.22404539941946658,0.03855746670216322,0.06748746632834274,0.06481813295880955,0.03788513376613458,0.029165933301051456,0.0636182003557682,0.040389399951696395,0.030037933296958613,0.054094666514794026,0.0441624676823616,0.035036666516959664,0.05476306566049656,0.04678586740593115,0.03747633343338966,0.03476993334343036,0.03514819872379303,0.026081067204475398,0.027864533107976115
presenting weather forecast 254,0.58,0.6394329340616863,0.5442542640686037,0.48778899402618414,0.4046548662185669,0.417877197321256,0.4877932682037352,0.41894673322041825,0.43188199895222984,0.24101040124893192,0.12117486586471397,0.03601413327306508,0.24082620046933484,0.11562699841260912,0.03239199975033601,0.581335001118978,0.5850697241465251,0.404157133281231,0.4434328024740021,0.029208400491873426,0.026916399218638733,0.02766353368485968,0.010519666552046936,0.006584599851071835,0.021999533175428704,0.007107066698372366,0.0048971333672602965,0.007754533154020709,0.0012671999702850978,0.0004569999972979227,0.007231866751611234,0.0010783999731143316,0.0005435333321491877,0.02689393267035484,0.020637933224936327,0.026520399703085427,0.011580333341161408
tapping pen 351,0.5102040816326531,0.07196415026475785,0.11834469346570325,0.1027312916005347,0.07454442161179724,0.052673469797587726,0.10412129275652832,0.09752265292923062,0.06276666674230781,0.02364435330894934,0.008187891110321697,0.005146462491326997,0.02713462567957891,0.010134081579744816,0.006532789136276766,0.0663317005772169,0.05619319785006194,0.06111864012013488,0.021234897353819435,0.003297755134348966,0.0047157142726945225,0.0054893197575394004,0.005404829846150209,0.0030056462811977676,0.006201020093495343,0.004946802719211091,0.0030591156288069118,0.002108027272585298,0.0028976190637569044,0.0021972788976771496,0.0023035373761743105,0.0033666666941780613,0.002478299352283381,0.008524285293355279,0.0019654421617283304,0.009114829713896827,0.0010511564843508664
shearing sheep 294,0.4489795918367347,0.31780204420592506,0.38540346891296157,0.33274646471957775,0.3319869389825939,0.30131761851764866,0.334506258433368,0.32547319821354487,0.28249414942905204,0.2299140127175519,0.21215211059974165,0.1492133291319114,0.23151380913598205,0.23186408115082044,0.15261020425960523,0.2450009490752301,0.23878612342132186,0.2053821772276139,0.21281496584212697,0.09912931952245382,0.1466083678613309,0.13460646283058894,0.1143246953564436,0.0987523125406025,0.13953489527562443,0.12800775688014876,0.11818122424793485,0.09567551071546515,0.08091952545606362,0.058215917959099736,0.09952693975701625,0.09440108858631786,0.0641014978370699,0.07719435493100663,0.07910972792376468,0.06493904767545308,0.07165591803588431
filling eyebrows 126,0.40816326530612246,0.18332829868306916,0.03681659945495883,0.02979074809168067,0.0033293878626661244,0.0013593877378065573,0.036678571077127034,0.006666802795363122,0.003313877638302693,0.000991360532994173,0.00040176871023616013,0.00020551020900408425,0.0010955102011865501,0.0005635374201601055,0.00048523808975203505,0.23483564449816335,0.23563741542145505,0.10097047732851537,0.06637088477814276,0.020674625857143986,0.005056054496592811,0.004399047684507305,0.004335034295257663,0.0019059862571508706,0.004792857175933666,0.0008314965837666776,0.0008221088491735005,8.870748207479918e-05,7.380952640455596e-05,3.9115646461240287e-05,6.142857174078623e-05,1.6870748023597564e-05,2.4965987319038028e-05,0.024408911533501682,0.025174965770268926,0.01391190471799195,0.010307550524063663
front raises 134,0.36,0.6468487302144369,0.6330933990478516,0.5696828028361003,0.5205873353322348,0.48416499967575055,0.5869297993977863,0.5370697344462078,0.4883002719879149,0.4051241381327312,0.3734611992557844,0.30879926629066473,0.4148298024495444,0.3846242675870657,0.3196543306368093,0.5724697950780393,0.5882941365877787,0.4235323987543581,0.4433026699940363,0.0893080016285181,0.10742320148348806,0.09702686670621237,0.06548633490304152,0.0517670672972997,0.10152386713127295,0.06946820120066405,0.05073419900635878,0.06903466711218159,0.05700339987079303,0.039314531753460565,0.07251493386601407,0.06746779940227668,0.04680473416994015,0.07309040314058461,0.07340973215997221,0.050408332529415685,0.06630126735170683
playing kickball 237,0.34,0.212047735953331,0.6702484054565432,0.6302310623168946,0.4987466629028321,0.4069869354248047,0.6261108072916667,0.44983713277180987,0.34930600344340007,0.576474067179362,0.5498024673461913,0.4670951334635416,0.5699050684611003,0.5519671346028645,0.4679925951639812,0.1787507986426353,0.1577527331193288,0.3590488024393717,0.29495113630294795,0.09861853307485582,0.4147718004226686,0.3749942656199138,0.2607525323232015,0.18652859910329173,0.3786161989212037,0.25262847018241874,0.1843272009213765,0.3503715349197389,0.30101413203080485,0.23983639970620463,0.3488574670791626,0.3032862020214399,0.24141713122924166,0.0766209992150466,0.06722573456366857,0.18062960287729898,0.17037000203132624
auctioning 9,0.32,0.610976934893926,0.666536336263021,0.6124718630472819,0.44776946849822996,0.3489171996126574,0.6080420649210612,0.4175485388120015,0.345361466828982,0.3281284667015077,0.14141980064908663,0.06850239914655686,0.32241146844228113,0.13303986679017543,0.06219720095445713,0.5780507923076551,0.5520393341620763,0.42058319670359295,0.3883964669068654,0.4570587989131611,0.5348294636567432,0.477517938542366,0.2367598647435506,0.14105966623624164,0.48881026838620495,0.25504186860620975,0.17036746819342177,0.18556733514070514,0.06230986554647486,0.032731800104180975,0.18206306536793712,0.05121993456482886,0.022841333518922327,0.3886918613523246,0.405337603229781,0.32081280050277705,0.356347668884198
deadlifting 88,0.30612244897959184,0.4888088404240252,0.5321141506376721,0.5016788448281839,0.4392384337973432,0.37727415171610257,0.4843759219500483,0.39340095547591747,0.3352644212452733,0.3707514291231324,0.3710860508315416,0.31380979749621174,0.35671536997062014,0.3590513568021813,0.3111483654278475,0.39444047217212963,0.3382546943872154,0.3019991140959619,0.2615825171859897,0.13573455754895597,0.17891428327073852,0.16218217728950945,0.10613013418454702,0.0881361917157968,0.17002843564870404,0.13229448883357095,0.10839870602145889,0.12075415032656012,0.10678211052807009,0.08413238243180877,0.1240531936662943,0.10472557876588535,0.08720952439673095,0.08449986235574397,0.1133829934337512,0.06706122409121519,0.10991142917677862
playing badminton 218,0.3,0.39604566396077456,0.7269518061319988,0.6888326639811198,0.5313086008707681,0.42899746983846027,0.6929305323282879,0.5390823964436848,0.43468913319905594,0.6401937321980795,0.6341063961029054,0.5924711359024046,0.6394558624267577,0.6440276655197144,0.5960404604117074,0.3232836666345596,0.3374523983160655,0.33450040454864505,0.36442700271606443,0.1953201979021231,0.4989927316238483,0.4613434630076091,0.3230337338685989,0.2441953341205914,0.46155073373466726,0.3108133938471475,0.23642506570816038,0.43871552789211277,0.41601399489243834,0.3653083307584126,0.4378070034503937,0.4190308661142984,0.36574993240833265,0.1459959994574387,0.14960893319447838,0.20279426426490155,0.21078993117213252
washing feet 380,0.3,0.4450179257035256,0.4545547344932955,0.40627093336582176,0.3175005327006181,0.26854226514498397,0.40918946690956765,0.32620660082499187,0.28351099994182577,0.23822760002364718,0.1722249310264985,0.09893006631433966,0.23971080231865247,0.1705831994533539,0.09068640035788215,0.3551964646776517,0.38648893051147476,0.24562779755145311,0.2623257957359155,0.3221179987390835,0.344494198389848,0.3138667303999265,0.21982013151844343,0.17750026928583787,0.3111106680035591,0.1986930688897769,0.1655801325082779,0.16711186834772424,0.10210300090312956,0.04725899995615086,0.16694706716934837,0.10430700037976105,0.04403366681387027,0.25731833500464757,0.24445500049789748,0.19392133153627317,0.1797654637063543
doing nails 97,0.2916666666666667,0.03851930524119072,0.025120277906664535,0.02070548578786353,0.010047013883271982,0.00961777763337725,0.024271805750516545,0.015825486192479726,0.009607082991343408,0.0035822222656052972,0.0015514582980217205,0.0010131250233906838,0.004855694385348922,0.0036396527455912694,0.002217083174942268,0.03962854182916797,0.03631826355742911,0.026394792140409764,0.013702916914286711,0.013708263385730486,0.003884999958229147,0.0034302083599484635,0.00035618055611848833,0.00017812499828222727,0.0038770139067330293,0.0012485416409456066,0.0005598611094885401,0.001113263920156492,0.0011998610757291315,0.0009610416440086232,0.00081868057553139,0.0004043055553403165,0.0003052777755591604,0.008699653477718432,0.012432430892561873,0.003979722274363869,0.0042145831696689135
golf chipping 141,0.28,0.33838653110265726,0.48971786149342855,0.4567342064658801,0.4283039317131042,0.38728413229783376,0.44748460181951516,0.34059766575495404,0.28536599686940517,0.3967473348970214,0.43325340316295635,0.4164522603789965,0.3758446653857827,0.41561813766161604,0.4069030665636063,0.3089758676687877,0.24968233395020167,0.3342280010581017,0.2190262009044488,0.03828653326829275,0.057141666781653964,0.050126465247074765,0.04284213479757309,0.03833619955380758,0.052882601815958816,0.04145966696788867,0.03732679997483889,0.058082934652765594,0.06605226522584756,0.06756993431399266,0.06656573313673336,0.07808026852210362,0.07971686669985453,0.029926867511868488,0.02996573379635812,0.02277833371758461,0.027614798845350744
kitesurfing 177,0.28,0.10411273381610715,0.15741460086305933,0.13675333238244058,0.09040279971857869,0.07903506592909498,0.14026153380473455,0.08868006747166313,0.07438280006820958,0.10346953328798217,0.08337626851101719,0.06624080012291671,0.10603760141109425,0.08675993172526358,0.06577033347512287,0.08626259958744051,0.09233886693716054,0.069117467264086,0.07704379977484545,0.02098093352615833,0.022008132496227826,0.019682533649851876,0.012047799807290238,0.0036932666550079985,0.020164267011483515,0.010534666293859483,0.004384533535440763,0.005302799943586191,0.0033244666223724685,0.0023190000245968505,0.005366933230062325,0.0032668000698089592,0.002130466615905364,0.020580266266067813,0.019182000214854878,0.01597059984505176,0.015094999725619949
situp 305,0.28,0.4879243345260619,0.47150373536745704,0.4073558682759602,0.3569637992382049,0.2930941996494929,0.4013371318181356,0.3489044675827027,0.295262467288971,0.26718433277408277,0.3032040662288666,0.23505199944972988,0.2585591325283051,0.29446826756199207,0.21969333305408564,0.3490545328934988,0.3629215962648392,0.24996726458867385,0.2864448020458222,0.09270793484846748,0.1342130679408709,0.12356680337488654,0.09661939761141934,0.07306233333150546,0.12251533269484842,0.09880606814225514,0.078539933659633,0.09795293374111261,0.08930686520338056,0.06514833369453749,0.09436180104489131,0.08844593453605969,0.061761132901906955,0.06680586852133275,0.06191606500198444,0.0683800660190483,0.06494746665259203
sign language interpreting 303,0.2708333333333333,0.6302960374620225,0.502657221621937,0.4191230516963536,0.3328572207854856,0.2879050717088911,0.4280795838435491,0.3510145832101504,0.28237374950200306,0.13939701085703246,0.07793083281049297,0.05994055474513313,0.14509027888894907,0.0840286103522198,0.06384854357016997,0.6155691692564224,0.6424422134293452,0.38725846828685856,0.4626159746117062,0.16372361172197591,0.1380860409285459,0.12664000080484483,0.09102437491554559,0.07917249842391659,0.12452333127769331,0.07968639004949686,0.07069631849053419,0.05726541585392423,0.044089236396054436,0.02947861121863954,0.05753770752809942,0.04750527843419048,0.031014721967900793,0.15013791659536463,0.15959340155590326,0.08748729092819202,0.10068958468166078
feeding fish 124,0.2653061224489796,0.16334034160691865,0.1818170747140638,0.16626775474775404,0.10493353751038206,0.08752952381664392,0.1581585025300785,0.08751142921090937,0.06566285623174137,0.0786092507038392,0.04767061309496157,0.026180203266087033,0.07289360512580191,0.04883231292675142,0.024886530454771048,0.13527190365758882,0.12324986266441088,0.10200047730588586,0.09863421803809144,0.04808965984250414,0.04382183639978875,0.0389182309208273,0.025783877611464383,0.021130884412397327,0.039927484125507125,0.028754081263834115,0.020614965584407865,0.014067483305120141,0.010295782360393985,0.0051293197370508095,0.01351394546782078,0.010716326712142852,0.0042625170507702695,0.029631292629404133,0.043332108181147355,0.021696258866462575,0.04198122400004847
golf putting 143,0.2653061224489796,0.36428082012400326,0.44788592015247375,0.4191660540647247,0.3837610924466937,0.35539204215618214,0.4118274139344287,0.33475898298682,0.3137061905191869,0.3849304738377228,0.42149578267619736,0.40672754850061166,0.3681740059820162,0.41999523706911573,0.42470557977350387,0.3107607495571886,0.28819986499136413,0.2449365970588662,0.2209653744344808,0.04542326570570874,0.09076006655384893,0.08674891054833016,0.06585033968395115,0.054598842303262285,0.08650517110516424,0.06538870697777693,0.0596359190567821,0.08637571223536315,0.09592326815537854,0.09048428389896339,0.082531565894075,0.09441367173073245,0.09301081555230276,0.03714108841557081,0.02657387741847711,0.043056190563302454,0.03317387733076299
riding mechanical bull 270,0.2653061224489796,0.3832670706145618,0.5835823171965928,0.544177752838654,0.40617959080910204,0.32392523986141686,0.5405025211645631,0.39312421902507344,0.3148234697101878,0.40386061378076776,0.2845394526776813,0.18268360696276836,0.4012581608003499,0.27933380986557516,0.18076006804801972,0.32648101884491587,0.3346321118283434,0.28713129105211116,0.2824597269499383,0.14752918531294584,0.21238244728368963,0.1974106156623282,0.13456809466590688,0.09213163273066893,0.19446721119945554,0.11366843485913308,0.08150129180325538,0.1270487066718186,0.06323748319580846,0.03777816355836634,0.12323183845373846,0.059989932053754115,0.03552537354178169,0.1367525146080523,0.13212510159226504,0.09922795696728895,0.09639639420878322
hockey stop 154,0.26,0.293744000673294,0.44813086245854694,0.41157746566931414,0.32824353221257524,0.29412766815026603,0.40892133409182224,0.3235687985221545,0.28615013449986776,0.367195869255066,0.37015213285287224,0.34135713090176373,0.3655245363871258,0.3695924022793769,0.34491839953362935,0.262952331940333,0.25444880197048186,0.22307046748797096,0.23039553521772224,0.038146866236130395,0.09773206613858541,0.08561393342216808,0.05764666492541633,0.042101733159025524,0.08573206710517406,0.056107266139984145,0.04226359985719125,0.08310333353231353,0.07485093303471804,0.06479279911269743,0.08170466644763946,0.07243146722316744,0.06397459981193146,0.030710799243052807,0.030040732887883982,0.04073133356571197,0.03621246751844883
riding or walking with horse 273,0.25,0.3228884059552931,0.5781299254629347,0.542078813711802,0.38016645979550145,0.29697083334128055,0.5331111109256744,0.35938687185032503,0.2586746528165208,0.46975041887826396,0.3772920164310684,0.3188645824218272,0.4528818039140768,0.33214909819006505,0.28030889004468923,0.2616610432012627,0.2458033319397105,0.2990832643376456,0.25743069520013206,0.05295277858308207,0.11268138954001995,0.1047909724815852,0.05871236160604492,0.04444847257704371,0.0996705579674906,0.06133180596555271,0.04571611149443521,0.08351937485651839,0.07114347294593852,0.05828979168294205,0.08242381841099508,0.07181909834448659,0.06325652800293433,0.04611006842098303,0.03412000074982643,0.05935097171485216,0.03971944539290336
dancing macarena 87,0.24489795918367346,0.48460142628676234,0.6052346937997003,0.5515112975503312,0.36870530134966584,0.2725898632549104,0.5514284351893836,0.3818439487535126,0.2910092527687955,0.37654530506961187,0.29608251866840185,0.18865245109816794,0.3789697283303655,0.3007540809337784,0.1869288432494211,0.42069830125691937,0.4359989751115137,0.31651061272134573,0.3377995910774283,0.3383426525722555,0.452769179932114,0.4078194554525167,0.24149190640571164,0.16748965975784122,0.40887395314618846,0.25962728081613173,0.19348013720747562,0.2763447618601071,0.2086744882723912,0.12639163225306335,0.2776336679409961,0.2106010886955829,0.12411149637178093,0.28938686978654793,0.2866646937083225,0.22813428415327655,0.23153469337898044
juggling balls 169,0.24489795918367346,0.6230559846008714,0.6546978168747052,0.5925201374495112,0.4744087044641274,0.3964582269795898,0.5863476192707917,0.4826130595336967,0.3924040864544864,0.37356659740412324,0.2220716310951377,0.12837836599066144,0.377505922978934,0.2183568031490356,0.12786891177398005,0.5951941490822098,0.5994004094519583,0.49933135996059486,0.4627062602918976,0.039613742810122816,0.06522618871613019,0.05880829854380517,0.02760176848138676,0.017777618244797195,0.059983266868761605,0.035189729037941715,0.024333877758103976,0.03447870677020274,0.030318163224831732,0.025647209742847756,0.03392428732039977,0.028751087615228436,0.021900204582786076,0.03215006809554944,0.03479217739129553,0.031126870378649155,0.03745108857015972
jumpstyle dancing 173,0.24489795918367346,0.36075503045857765,0.5666862588999223,0.5246847625005815,0.40070292359306686,0.3387949628489359,0.5256546954719388,0.40261754678220174,0.34000217507891106,0.46815115766460397,0.47397285448450616,0.414460139955793,0.47226653371538435,0.4800695942210501,0.4258600615806319,0.31296632490190524,0.31500823465334316,0.2637412945409211,0.2767931310497985,0.18925285896983277,0.3355823171280679,0.30758727992878476,0.20832415200617851,0.16631727606793037,0.31108720849363186,0.22336169639817705,0.17963544080046576,0.28625469488351524,0.28418700669898467,0.25374041065269587,0.28913965862142993,0.28829639454074457,0.25928469521658765,0.15516625849061266,0.16900224528142388,0.12492877782202089,0.1706931989594382
spinning poi 326,0.24489795918367346,0.3048676881579314,0.4402732044904409,0.39943183870542615,0.2661145593246231,0.21746755043260096,0.39579428905532477,0.26522292333598035,0.21211340201955264,0.33041775518838234,0.29719625777127795,0.23741435379195375,0.32977326616796915,0.3003332626292495,0.2378110168610705,0.26330000370740897,0.2664105517087746,0.21830422075123201,0.21905047796311844,0.06188619097986191,0.09071149725492308,0.08420353723221086,0.03678925097596888,0.027827483563094724,0.08174680142986533,0.047153740880542055,0.03581353749649054,0.06144204145386106,0.05197809446121559,0.04690911497439251,0.060330952681144905,0.0522568710612095,0.04526938732181275,0.040927890319199786,0.05437857176576344,0.039124490253779357,0.05313843508358716
applying cream 4,0.24,0.3926122009257477,0.16113106720050177,0.1421304017563661,0.08123579877465964,0.06960120001832643,0.1309109333952268,0.06293026559849581,0.04443266562223434,0.022436933808525402,0.013363132549822333,0.01015000062386195,0.021608132874468965,0.014425733365615211,0.014778200063109396,0.4553431352674962,0.4406315969288348,0.24165113363588844,0.18810759926338994,0.050280466796954484,0.02625686724533637,0.024043867057313525,0.008709333452334007,0.007598933048049609,0.024079932640989624,0.014246933484077453,0.0100802668556571,0.005563267043729624,0.0004884666591882706,9.60666651527087e-05,0.0052173999513189006,0.0004365999887386958,6.766666869322458e-05,0.05060026814242205,0.049258867251873006,0.03244053357243538,0.024024666712184745
frying vegetables 135,0.24,0.14599899986584983,0.1420143982887268,0.12836099947094917,0.08831546781659126,0.075394668212533,0.12950813241799675,0.1018477318505446,0.08730840062697728,0.055909733287493386,0.010879266742368538,0.004800466656933228,0.057983866767088575,0.011505666768550875,0.005352399980028471,0.13049733417828882,0.13126759934624033,0.0735339321891467,0.09560813250541689,0.040464934081584206,0.03698066599269708,0.034112266393254195,0.02274833364139001,0.02053019964694977,0.03353046593914429,0.023709933016697566,0.019803133155405522,0.016968066303928695,0.003646000172942877,0.002874599886437256,0.017380733431875704,0.002975866679598888,0.0020046666686733563,0.032108800038198625,0.034609666532278066,0.01958966636111339,0.025844066482285655
knitting 178,0.24,0.041132865617672605,0.03185706661542256,0.029788867161671312,0.02069520006974538,0.011729866959651312,0.02963560015062491,0.022829333435495695,0.014770933244625728,0.008601733162999153,0.0039462666039665525,0.0016510000561674436,0.010579066602637369,0.011689066446075836,0.005606866650283336,0.03977966627677281,0.03463493276933829,0.024727066551645586,0.018092133663098017,0.0056202666600545246,0.0029735332955916722,0.0030313334097464874,0.0025606667354702954,0.0010873333394527437,0.00246039999400576,0.0018965333441893256,0.000838866662979126,0.0004336000050107638,0.0002527999992171924,0.00012873333096504212,0.0005404666639864446,0.0006694666852553685,0.0003567333290974299,0.005403199919561544,0.006055266718069713,0.003307066639264425,0.002460266757011413
swimming butterfly stroke 341,0.24,0.12219306516647344,0.18425146799087525,0.16460893370310462,0.10088133314152559,0.07457113396922745,0.1588901303370794,0.0933043312460184,0.06785353302061557,0.08118793444633483,0.038580732559661074,0.02825733394821485,0.07751140047907829,0.034850800367693106,0.024897399818897242,0.11518713531494139,0.10567580092748004,0.11075493317047753,0.09082233135104181,0.021479932528734206,0.034116466099023815,0.028756400266289707,0.014404333087801932,0.010550800019005933,0.03059313317040602,0.016203866671274103,0.011232866693536443,0.014964199825624625,0.00899439993351698,0.007381333197653296,0.01559773279353976,0.010208599887539947,0.008843799871206282,0.019288066163162393,0.018380066658059753,0.018490933444102606,0.020998066887011127
exercising arm 119,0.22448979591836735,0.5503362635365959,0.5950325189966732,0.5386069304926867,0.5188166700415059,0.49253238349747486,0.5370753720341896,0.47067489791179995,0.44197428587545334,0.4459746968340712,0.5061086379914057,0.4315539476822834,0.44275238407712414,0.5089521737974516,0.4365594503101037,0.4492929958405137,0.3961168025991543,0.3619929296143201,0.31915081375715676,0.04133340198014464,0.061312448815727734,0.05390020287259906,0.044042381419211026,0.03855068015302119,0.05216319686397405,0.04066040941140279,0.03559659844657192,0.050677754726945135,0.042781972108649556,0.036682789571025755,0.04758074798500862,0.03890204032642297,0.02976959218758912,0.02935952365803881,0.029405442249207263,0.02682204042364951,0.026784625566330083
