class_name,accuracy,default_confidence,frame_confidence
front raises 134,0.86,0.26235348703606953,0.5233807656784425
surfing crowd 336,0.8541666666666666,0.11505482951732665,0.18689631633258968
presenting weather forecast 254,0.82,0.19802578552727051,0.4485924493672044
deadlifting 88,0.8163265306122449,0.28449351691233965,0.46069488134990744
pull ups 255,0.74,0.22109082857995727,0.3950770243410143
country line dancing 75,0.72,0.47185707085347856,0.5530600574795613
juggling balls 169,0.6938775510204082,0.22831371553588853,0.46721302792434305
snatch weight lifting 318,0.6938775510204082,0.2784499411908859,0.48182746620667666
crawling baby 77,0.68,0.12771685585145617,0.24518505158441695
clean and jerk 59,0.6326530612244898,0.34856371281400944,0.5154786135706976
riding mechanical bull 270,0.6326530612244898,0.22217307888889182,0.3359609384380196
hammer throw 148,0.62,0.20870490682832943,0.43716497683345784
riding or walking with horse 273,0.6041666666666666,0.21335629386999175,0.3791610439415625
golf driving 142,0.58,0.2419736186209494,0.4781247406183173
passing American football (in game) 208,0.58,0.3381514338231892,0.4826518192933536
filling eyebrows 126,0.5714285714285714,0.034280700375799125,0.09141466957281792
shearing sheep 294,0.5714285714285714,0.17539771956069727,0.256313457843086
push up 260,0.5625,0.16510461898788076,0.2958365446937633
skipping rope 311,0.56,0.4088337351091951,0.5351301512488524
golf putting 143,0.5510204081632653,0.23019338524907623,0.46939491473563766
spinning poi 326,0.5510204081632653,0.1473052567398276,0.31553426120903133
skiing slalom 310,0.54,0.18592387904055563,0.42716349231936446
playing tennis 246,0.5306122448979592,0.24820217060729183,0.47357019493143526
dribbling basketball 99,0.52,0.30785025328757915,0.5244537850338298
news anchoring 202,0.52,0.2205292866308318,0.41223431255655507
swimming backstroke 339,0.52,0.11260499126425524,0.22738257677996868
arm wrestling 6,0.5102040816326531,0.1940846796648558,0.24607027636373102
playing squash or racquetball 245,0.5,0.3455431861881775,0.488177900268311
pole vault 253,0.5,0.21502544076781635,0.3720443683812943
tai chi 346,0.5,0.3977066374839542,0.5769268172611769
tapping pen 351,0.4897959183673469,0.03560085793893263,0.09783238748171941
hopscotch 156,0.48,0.2702106001720023,0.43212564345020216
playing cello 223,0.48,0.27799249605038134,0.3997417796632901
squat 330,0.48,0.2631696402714687,0.41975598746244736
throwing axe 356,0.48,0.18296730633844416,0.3499776477225735
massaging back 193,0.46938775510204084,0.06234875812583651,0.13233132255718058
playing accordion 217,0.46938775510204084,0.2105573050720574,0.3310284730097522
capoeira 43,0.46,0.45428824961506226,0.5303193152593654
marching 192,0.46,0.30270069003736105,0.3804185910315577
roller skating 280,0.46,0.31152289334601846,0.44745647912029335
skateboarding 306,0.46,0.24369276269868678,0.4040870125428731
throwing discus 358,0.46,0.23896650508199113,0.4638610543702957
gymnastics tumbling 147,0.4489795918367347,0.21816491407163455,0.38046208879334054
zumba 399,0.4444444444444444,0.49228744026708654,0.5600701524453684
juggling soccer ball 171,0.44,0.2535232768479915,0.4643490106900139
lunge 183,0.44,0.252756688335207,0.526912061827627
sled dog racing 315,0.44,0.19109902980608104,0.33674184248656125
sign language interpreting 303,0.4375,0.21492740962751664,0.39559607592228374
bench pressing 19,0.42,0.18163366831637964,0.26444911079981254
hurling (sport) 161,0.42,0.24751853030343984,0.4323791316648908
long jump 182,0.42,0.31144379679560924,0.47483186155041984
swimming butterfly stroke 341,0.42,0.07630281496558135,0.21098019497786533
tango dancing 348,0.42,0.364985757061845,0.434868293396466
belly dancing 18,0.40816326530612246,0.2975842421073455,0.4278592341714657
jumpstyle dancing 173,0.40816326530612246,0.28887958485426435,0.4367433331849527
playing drums 230,0.40816326530612246,0.20805076094875402,0.3372422607081284
playing poker 242,0.40816326530612246,0.1840429894802469,0.28469846673928667
salsa dancing 283,0.40816326530612246,0.39177058850618474,0.4528664330148343
ice skating 164,0.4,0.276385642501321,0.3953312239143679
shaking head 289,0.4,0.12125722754905922,0.21580969368591757
carrying baby 44,0.3958333333333333,0.21008438739331822,0.30176451899292606
running on treadmill 281,0.3958333333333333,0.15584771702607803,0.274703153622604
cheerleading 55,0.3877551020408163,0.3736797672733604,0.43413148121252426
chopping wood 56,0.3877551020408163,0.21071532964446157,0.36625072938616704
krumping 179,0.3877551020408163,0.3520567196970857,0.46372944443158953
playing ice hockey 235,0.3877551020408163,0.28718542329463226,0.3993003661037302
dying hair 108,0.3829787234042553,0.09252018846618851,0.17477451831259933
frying vegetables 135,0.38,0.04264249702573817,0.16239624746746725
high jump 151,0.38,0.1881824153766284,0.38804317236379665
hitting baseball 153,0.38,0.3092282453258685,0.4632541238968498
javelin throw 166,0.38,0.24733442427441238,0.46504955994848435
jumping into pool 172,0.38,0.14551561267476962,0.3145445327556695
playing bass guitar 221,0.38,0.07455541815602264,0.16877124318937128
playing clarinet 225,0.38,0.31543972077717364,0.4188549411869345
riding camel 268,0.38,0.27159305067781553,0.37104304036205515
vault 376,0.38,0.26193973354057026,0.3946422151345718
washing feet 380,0.38,0.23140068674817657,0.2915092529238072
air drumming 1,0.3673469387755102,0.16953836269377534,0.29264987472885534
bouncing on trampoline 30,0.36,0.24678807098011918,0.40942895689787734
breakdancing 34,0.36,0.3253515628832828,0.42040524470277596
climbing a rope 66,0.36,0.19711485253777053,0.33839412391467333
golf chipping 141,0.36,0.2510028863516439,0.5071469091616251
hurdling 160,0.36,0.18685894039485762,0.3864403648426499
playing harp 234,0.36,0.19121268475976647,0.32028290263532605
shot put 298,0.36,0.3406110241214566,0.5224848263753704
side kick 302,0.36,0.33292573101615697,0.5115077165746397
blowing out candles 27,0.3469387755102041,0.20209036128920882,0.2744131723773421
headbanging 149,0.3469387755102041,0.12871769711056166,0.22008656325786713
tap dancing 349,0.3469387755102041,0.4124533897671553,0.5128381783320641
testifying 354,0.3469387755102041,0.25348777357055563,0.32681876638302293
triple jump 367,0.3469387755102041,0.2934355422476607,0.44678274310719707
using segway 375,0.3469387755102041,0.31251564776192864,0.4590045134918592
yoga 398,0.3469387755102041,0.2347676365503322,0.3599820170583504
dining 91,0.34,0.22206242834381257,0.3165647043730655
giving or receiving award 140,0.34,0.331193525105291,0.40694052194104513
jetskiing 167,0.34,0.09266166018349567,0.25132283376847925
playing didgeridoo 229,0.34,0.2521405374147987,0.41607523787936823
playing kickball 237,0.34,0.3073336005442954,0.4444207801902398
punching bag 258,0.34,0.14503916417784013,0.2780000030294567
situp 305,0.34,0.20163736162236826,0.3340477284128678
skydiving 312,0.34,0.10488712060773238,0.21739961848045652
snowkiting 323,0.34,0.05825753864472031,0.24260945535905973
tobogganing 360,0.34,0.11867777518509379,0.27552134256493116
tying tie 370,0.34,0.0550277881039453,0.1549831455115519
playing volleyball 251,0.3333333333333333,0.381298512461562,0.4595827628521787
riding a bike 267,0.3333333333333333,0.19765924276038999,0.3869730912366396
surfing water 337,0.3333333333333333,0.11945474568449785,0.3018865304556611
eating spaghetti 116,0.32653061224489793,0.1276894305345483,0.2257528486848014
contact juggling 69,0.32,0.19904836922259705,0.36979077622299156
juggling fire 170,0.32,0.21086596618857187,0.3666794008312564
playing guitar 232,0.32,0.15021181649006893,0.27479794176787975
ski jumping 307,0.32,0.08489276518306627,0.2949639336612757
bowling 31,0.30612244897959184,0.1528194037862437,0.3057689577025243
diving cliff 93,0.30612244897959184,0.0778154648912594,0.2370070013859313
hula hooping 159,0.30612244897959184,0.25759971783588126,0.43013241405130737
shuffling cards 301,0.30612244897959184,0.03549727605569214,0.11141196002803
shaving head 292,0.3,0.1613391424746966,0.22052694966804362
stretching leg 334,0.3,0.2038087547554112,0.3716697811744174
swinging legs 343,0.3,0.22195260762333976,0.4501510466538769
trimming or shaving beard 365,0.3,0.10138208461484348,0.16993952904379578
windsurfing 393,0.3,0.08399592255738512,0.25753166224164387
springboard diving 329,0.2916666666666667,0.13662639826252593,0.30981111030452296
grooming horse 146,0.2857142857142857,0.12610243951631708,0.24636835696345094
skiing (not slalom or crosscountry) 308,0.2857142857142857,0.15170363609377144,0.35909528311316813
slacklining 313,0.2857142857142857,0.24693396516248148,0.4518436357734825
archery 5,0.28,0.16865015916201379,0.319826828428449
celebrating 51,0.28,0.2346433860755468,0.3057634406755985
jogging 168,0.28,0.2301902656606962,0.4102218731940476
playing badminton 218,0.28,0.3734409239574415,0.4912462765377279
riding elephant 269,0.28,0.19368548684922415,0.2964461947465854
riding unicycle 275,0.28,0.23603626630179098,0.4444413762353021
scuba diving 286,0.28,0.05944546348163612,0.17054602595972573
dancing macarena 87,0.2653061224489796,0.3692773099113853,0.4358625695170517
playing harmonica 233,0.2653061224489796,0.15379877342952886,0.2647287166477001
riding mountain bike 271,0.2653061224489796,0.13248155763019676,0.3197615134383431
bartending 15,0.26,0.2517123549937802,0.37542196765727115
dancing ballet 84,0.26,0.3652449621745963,0.47630343319528723
finger snapping 127,0.26,0.11034908301821231,0.2621328257434681
making bed 186,0.26,0.15900301976185663,0.27998804486039736
playing piano 241,0.26,0.13060548086940085,0.24287527593576738
dunking basketball 107,0.25,0.20854244832222918,0.3660484823868642
shooting goal (soccer) 297,0.24489795918367346,0.1966394002672571,0.40515530643518116
walking the dog 378,0.24489795918367346,0.1388612704075667,0.2796023646172175
busking 41,0.24,0.43441118815410124,0.5117743877837909
cartwheeling 45,0.24,0.1859546294879782,0.3656707041535578
kicking field goal 174,0.24,0.18078618443469463,0.3859639379435056
petting cat 213,0.24,0.030166602590017848,0.10969242176907944
playing ukulele 249,0.24,0.18260639685942248,0.29863709480107636
riding scooter 274,0.24,0.18921960729933165,0.3893410607242067
skiing crosscountry 309,0.24,0.20139923560697756,0.3961916884868859
swimming breast stroke 340,0.24,0.10551225749689677,0.21884514139760175
exercising arm 119,0.22448979591836735,0.23657098806738755,0.5042698809680439
using computer 373,0.22448979591836735,0.04280055505651127,0.12825745186599974
auctioning 9,0.22,0.33157007710709496,0.3891164005245337
biking through snow 22,0.22,0.10798648288097606,0.28952115493607894
hockey stop 154,0.22,0.19464165739201633,0.3970860036075957
playing saxophone 244,0.22,0.24525755911652516,0.3602265223219766
playing xylophone 252,0.22,0.21207179044070035,0.33413229823074075
pumping fist 256,0.22,0.1428899853213051,0.24260855620030314
pushing cart 262,0.22,0.16973379697230281,0.3001393367322434
stretching arm 333,0.22,0.2190573923191551,0.4474133636764838
tying knot (not on a tie) 369,0.22,0.034304769603100665,0.11572542481111774
parkour 207,0.20833333333333334,0.16394164029677374,0.3533239717952835
beatboxing 16,0.20408163265306123,0.15941545829121573,0.2630825916499777
driving tractor 104,0.20408163265306123,0.13548795502659322,0.2744475287133356
