class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
front raises 134,0.86,0.45014857147872833,0.07455840094163722,0.3475584506789106,0.09840319958668493
surfing crowd 336,0.8541666666666666,0.15450924097704777,0.07560041855248922,0.5016860611538904,0.01923970886499226
presenting weather forecast 254,0.82,0.3809634801312857,0.015088090885332367,0.44389105463463974,0.1420243766858388
deadlifting 88,0.8163265306122449,0.4352533609329818,0.1337336739618304,0.34829325647811604,0.044459839043423655
pull ups 255,0.74,0.36774708276646695,0.07443457365426813,0.35188185698612884,0.07168284991600642
country line dancing 75,0.72,0.5195728624068096,0.42414127920920813,0.3164451698338528,0.012164634913377714
juggling balls 169,0.6938775510204082,0.41142058985840974,0.04520683976118345,0.3744886475597119,0.1467218043390927
snatch weight lifting 318,0.6938775510204082,0.43299692063919765,0.12390296180201803,0.36865558588531383,0.056580468876080925
crawling baby 77,0.68,0.2308628690614429,0.02457084275840876,0.3867576491533859,0.042333725383646575
clean and jerk 59,0.6326530612244898,0.5088965257056475,0.18823090162601636,0.31252076824784647,0.044033420630299254
riding mechanical bull 270,0.6326530612244898,0.3338905130760495,0.11045564395732996,0.35248725573389555,0.02362382054125582
hammer throw 148,0.62,0.36208050443432915,0.05532930963651883,0.4498206870891889,0.0722149889978054
riding or walking with horse 273,0.6041666666666666,0.3592008490597111,0.06751173999263613,0.3898285020010771,0.030781530721716986
golf driving 142,0.58,0.40854112680725896,0.07540611097628992,0.4586142049425413,0.11018787573924314
passing American football (in game) 208,0.58,0.3842804799450244,0.29202238783430506,0.43957499025595914,0.0071466268110366455
filling eyebrows 126,0.5714285714285714,0.0600151024870995,0.008546298330285243,0.8499454120418821,0.10316610187830944
shearing sheep 294,0.5714285714285714,0.24557135950588113,0.1052240800111554,0.4532110787188497,0.028737867920975987
push up 260,0.5625,0.2793415886992523,0.05086764806175945,0.40078912784278653,0.047888597716016494
skipping rope 311,0.56,0.4962393597801446,0.32142811081191497,0.32716461443340966,0.01541779227140047
golf putting 143,0.5510204081632653,0.38655792995256844,0.0738288425272436,0.5394068388919806,0.09472225796532856
spinning poi 326,0.5510204081632653,0.26095438131305987,0.03365613235833969,0.5599719124076441,0.0983387761257055
skiing slalom 310,0.54,0.3362599259537965,0.03558783298463396,0.5801814262817024,0.06440641551576673
playing tennis 246,0.5306122448979592,0.42172585577273547,0.07467848510423508,0.4442695045700035,0.09055095003891074
dribbling basketball 99,0.52,0.49350103992374783,0.12219946644906875,0.3306006511089889,0.06859751470297569
news anchoring 202,0.52,0.3189213796071788,0.12213719089863431,0.42483733016587927,0.07654570517709534
swimming backstroke 339,0.52,0.1596347701533192,0.06557521202445973,0.6991102118621906,0.05305641067954382
arm wrestling 6,0.5102040816326531,0.23992060656367556,0.14824875351354913,0.38073346795512,0.012994268136241167
playing squash or racquetball 245,0.5,0.4772771486233808,0.2138092220889062,0.3681009796770582,0.027210752953270446
pole vault 253,0.5,0.2876913920737765,0.14235948849374233,0.6064895773713842,0.034548928014596865
tai chi 346,0.5,0.5448939817261059,0.25051929124093614,0.317174469259146,0.049386502691918216
tapping pen 351,0.4897959183673469,0.059236062399452574,0.011965652716468947,1.0396451848031147,0.12824591728051177
hopscotch 156,0.48,0.41281712702159695,0.12760407139348637,0.3759473545080997,0.045971718014839215
playing cello 223,0.48,0.39864808552314035,0.15733690687737711,0.3354268827660103,0.05251773103020128
squat 330,0.48,0.40144033637561516,0.12489894262979094,0.34122922082394996,0.03477143262341111
throwing axe 356,0.48,0.2812490889356958,0.08468552364055273,0.5273832668123346,0.06172458069163804
massaging back 193,0.46938775510204084,0.09814277708330378,0.026554739542635927,1.0454594244195405,0.12012399520855246
playing accordion 217,0.46938775510204084,0.32101808730436177,0.10009652345232067,0.3887633343271556,0.06935657868636144
capoeira 43,0.46,0.5092184692049526,0.3993580317162812,0.32517276798189915,0.006222192237844942
marching 192,0.46,0.340166894771838,0.2652344856839987,0.4621526358446476,0.022555766013630504
roller skating 280,0.46,0.43616873411558293,0.1868770549048153,0.332489826841028,0.015507605257917575
skateboarding 306,0.46,0.37629114908133776,0.11109437449125896,0.3593939548397083,0.01856387100283439
throwing discus 358,0.46,0.3760896748662572,0.10184333453937046,0.4545438766292061,0.0686760373960853
gymnastics tumbling 147,0.4489795918367347,0.3083962406662435,0.1279335879699462,0.5189288501516564,0.03620990858954787
zumba 399,0.4444444444444444,0.5460180054388619,0.43855687132784343,0.2997963057552758,0.009589299231069982
juggling soccer ball 171,0.44,0.44434494822792875,0.06270160617047225,0.3402944106515948,0.0742384356655263
lunge 183,0.44,0.4511317078095895,0.05438166810185821,0.3968157556221424,0.10133260464997512
sled dog racing 315,0.44,0.26904816850127783,0.11314989047931466,0.5424393215414651,0.036137319572681445
sign language interpreting 303,0.4375,0.33561258973635333,0.09424222853603575,0.365335973162617,0.097971742441602
bench pressing 19,0.42,0.2664534235397225,0.0968139117389182,0.4070942350645099,0.025039508531127273
hurling (sport) 161,0.42,0.31284828942098514,0.18218877144100742,0.47349667444541427,0.01594155687490321
long jump 182,0.42,0.3756694149647362,0.24721817812678143,0.47831586108407964,0.016756116677677065
swimming butterfly stroke 341,0.42,0.12433484370887954,0.028270785916717684,0.7340242890966355,0.07494400461739514
tango dancing 348,0.42,0.4345266140229523,0.2954449000118999,0.32369676996522573,0.005500392763372391
belly dancing 18,0.40816326530612246,0.41411105302844664,0.18105743158480392,0.3356006504687027,0.038071667006798246
jumpstyle dancing 173,0.40816326530612246,0.4123044465740295,0.16545472424483337,0.35314814836594177,0.0399280171274593
playing drums 230,0.40816326530612246,0.33615318735875527,0.07994833263268196,0.338970771787622,0.06177466939082818
playing poker 242,0.40816326530612246,0.24117875546246864,0.1269072238491696,0.5891035973808768,0.048965656069743776
salsa dancing 283,0.40816326530612246,0.45596353627631747,0.3275776400469174,0.31541901293065744,0.007994790528363396
ice skating 164,0.4,0.3696785355795722,0.18309274940094836,0.38234850124107606,0.016004623942438442
shaking head 289,0.4,0.2061614775225261,0.03635297844334472,0.39054758402299317,0.05004837222307274
