class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
front raises 134,0.86,0.483376053873698,0.06933819545198369,0.6650982050151499,27.486390033543067
surfing crowd 336,0.8541666666666666,0.15333186623490888,0.07101461364163293,0.29813024595343324,0.2936840512881638
presenting weather forecast 254,0.82,0.3685371949372469,0.013270081608383744,0.4844552275133233,16.78122648527423
deadlifting 88,0.8163265306122449,0.3850552710708305,0.11579618947125704,0.6009829142881528,4.785404661250273
pull ups 255,0.74,0.3186973587601274,0.05183925851053662,0.45585586171099624,2.0078490497135255
country line dancing 75,0.72,0.5096538221995036,0.40506125480863775,1.0359757182571137,2.229429491303218
juggling balls 169,0.6938775510204082,0.43371588755266666,0.03550413113827969,0.5379429533606631,42.323381815087345
snatch weight lifting 318,0.6938775510204082,0.4353281956771425,0.14758568198772787,0.6953591207723894,6.898599226072292
crawling baby 77,0.68,0.22151454428213613,0.022117103771368662,0.2829902929538787,3.5855895917849576
clean and jerk 59,0.6326530612244898,0.5248794507223462,0.19271944533760405,0.7907969666611421,12.735098616950676
riding mechanical bull 270,0.6326530612244898,0.3584845572462248,0.11583179850517039,0.5163919277949519,6.1697697286072515
hammer throw 148,0.62,0.38472046712239577,0.07527876356795983,0.5846483786299896,6.127244282877828
riding or walking with horse 273,0.6041666666666666,0.36481289840038894,0.06611427830877127,0.5001942402369433,3.0588316877843336
golf driving 142,0.58,0.431275798592744,0.1038912235593354,0.6412105901634102,13.56537557796274
passing American football (in game) 208,0.58,0.3813437009740759,0.295477365260654,0.9135223960876531,0.7517341295556657
filling eyebrows 126,0.5714285714285714,0.05238005734174792,0.006495857896988623,0.09773779881654998,0.27810146859042756
shearing sheep 294,0.5714285714285714,0.2622767735464683,0.09804914211560092,0.42371632448374685,0.7806203945707114
push up 260,0.5625,0.24879411954938627,0.0236529786788203,0.3477945073724038,5.953286682495643
skipping rope 311,0.56,0.5406441887749567,0.3621170357033058,1.0045097355084591,2.619348812836317
golf putting 143,0.5510204081632653,0.36231498675101287,0.0687553088708259,0.5295693037651723,32.88472056528846
spinning poi 326,0.5510204081632653,0.2889609237827321,0.05399377321890604,0.405574921358724,9.934572771572617
skiing slalom 310,0.54,0.348065411624202,0.042674580696777056,0.5315592086002939,1.3685242546868042
playing tennis 246,0.5306122448979592,0.4238434621878672,0.07746527118770262,0.5979901279071679,10.464837539479564
dribbling basketball 99,0.52,0.4961854998553241,0.14768310922781624,0.7222136668922807,12.854164294068417
news anchoring 202,0.52,0.3017302499841761,0.1131140802582105,0.5603115869756321,6.402033225149847
swimming backstroke 339,0.52,0.15563368029594415,0.06521416394776769,0.3100229442497464,0.3640133718701902
arm wrestling 6,0.5102040816326531,0.2524305428687316,0.16772287600570251,0.4935667676929219,0.4561680075909698
playing squash or racquetball 245,0.5,0.46584729071723097,0.21773619629188817,0.7674170277014812,6.071553948227542
pole vault 253,0.5,0.27937247392866343,0.131191781061667,0.5793603199072165,0.6494433499177226
tai chi 346,0.5,0.5321778485333478,0.26925238700796056,0.8572875384221337,9.576487781051927
tapping pen 351,0.4897959183673469,0.05390707055096904,0.004007074869408901,0.1127115275009433,2.8779324190701687
hopscotch 156,0.48,0.4017895378395362,0.1214602280104602,0.6067589536331125,5.767226950238939
playing cello 223,0.48,0.3795146819927075,0.1595817844938349,0.6056891311256104,9.84235445954791
squat 330,0.48,0.3971388918841326,0.1206215095202128,0.6020141702737586,18.014189212649878
throwing axe 356,0.48,0.2821963712621618,0.09895857748764532,0.5034986306266319,3.873082000650251
massaging back 193,0.46938775510204084,0.10135688222905315,0.03042046873297371,0.17948377328653395,2.707177239769464
playing accordion 217,0.46938775510204084,0.34718744486998354,0.09753679578762026,0.4855400865937816,2.8895041648687387
capoeira 43,0.46,0.505522203346535,0.40245874776133783,0.9699049562070847,0.9720133076415061
marching 192,0.46,0.38275035500349835,0.2971048765712314,0.7776706391242678,0.8161833076350818
roller skating 280,0.46,0.45640103197451,0.18122814615744123,0.718163588049039,1.5567802109897257
skateboarding 306,0.46,0.40362742128725415,0.1764000116984049,0.6500857405692341,1.0322660502166099
throwing discus 358,0.46,0.3894550504896375,0.1048230544858508,0.6389889069969601,7.041134663399621
gymnastics tumbling 147,0.4489795918367347,0.250297757622336,0.08052396593000163,0.47545695660066917,0.600789198154865
zumba 399,0.4444444444444444,0.5265257796613277,0.44543838089876203,1.0706207663681393,1.0023855857444064
juggling soccer ball 171,0.44,0.46313724839245823,0.07950688957660285,0.5937755865301164,18.1631051729822
lunge 183,0.44,0.4369625809280961,0.04226474851546466,0.6096970318158418,43.16357596665748
sled dog racing 315,0.44,0.2738336054342764,0.1250577149965145,0.5484403731762338,0.5848106219662301
sign language interpreting 303,0.4375,0.32846823280240284,0.09101954109736798,0.5069791187567052,16.371513787761668
