class_name,accuracy,default_confidence,frame_confidence
surfing crowd 336,0.625,0.11217323980213685,0.11404256938314634
skiing slalom 310,0.62,0.19536999857867202,0.20108187716247022
presenting weather forecast 254,0.58,0.19090363837348087,0.1965762543195771
tapping pen 351,0.5102040816326531,0.028957073024431144,0.029929679325545435
shearing sheep 294,0.4489795918367347,0.18016295641367852,0.18278046621700272
filling eyebrows 126,0.40816326530612246,0.029437957493896653,0.030294465051732087
front raises 134,0.36,0.27635712754991326,0.28308471271043084
playing kickball 237,0.34,0.3457811512134695,0.3497165347760408
auctioning 9,0.32,0.32838226205331317,0.33036069996998974
deadlifting 88,0.30612244897959184,0.25042573019130066,0.2551055889829935
playing badminton 218,0.3,0.4285635125054253,0.4319244751018204
washing feet 380,0.3,0.24253334426703277,0.24445068300031217
doing nails 97,0.2916666666666667,0.00966638867731815,0.011438496068924515
golf chipping 141,0.28,0.21153783275462965,0.225765754954824
kitesurfing 177,0.28,0.05315262868183632,0.05974116337825948
situp 305,0.28,0.20744312927811237,0.21124351101316474
sign language interpreting 303,0.2708333333333333,0.20974388817210246,0.21361974959349475
feeding fish 124,0.2653061224489796,0.06208659026808388,0.06520062779575742
golf putting 143,0.2653061224489796,0.2155351462444391,0.22956527268918245
riding mechanical bull 270,0.2653061224489796,0.23715817736209746,0.24066133855042826
hockey stop 154,0.26,0.19466579889368127,0.19962070803609752
riding or walking with horse 273,0.25,0.21546358915022867,0.21992952675927138
dancing macarena 87,0.24489795918367346,0.3187565727551057,0.3205387609058963
juggling balls 169,0.24489795918367346,0.23461001076846083,0.24061059109501776
jumpstyle dancing 173,0.24489795918367346,0.321250811034049,0.32502967232281055
spinning poi 326,0.24489795918367346,0.17147734693298713,0.1784288447049939
applying cream 4,0.24,0.078915848103276,0.08091115578060727
frying vegetables 135,0.24,0.051832479570530075,0.05349928557928709
knitting 178,0.24,0.011161779591330774,0.011634077932780047
swimming butterfly stroke 341,0.24,0.05513235367315787,0.05800792594113726
exercising arm 119,0.22448979591836735,0.25471750070538735,0.26104392059950265
arranging flowers 7,0.2,0.1552524641531485,0.15924161528929048
biking through snow 22,0.2,0.12040991168816881,0.1260589411365567
flying kite 130,0.2,0.11143613239526746,0.11723346695205977
hurdling 160,0.2,0.22996346201013634,0.23337078455565177
lunge 183,0.2,0.23961366803204573,0.24629174428817735
stretching leg 334,0.2,0.1955291529107977,0.1992939654096686
bending back 20,0.1875,0.16093762516239538,0.1638022623631368
clean and jerk 59,0.1836734693877551,0.3587994459733221,0.36363103017825515
snowmobiling 324,0.1836734693877551,0.0688854994128711,0.07284389718160879
playing guitar 232,0.18,0.16127653058723165,0.16471112358176868
whistling 392,0.18,0.08702950805381493,0.09115558823368078
windsurfing 393,0.18,0.08100230775585882,0.08377400244245597
drawing 98,0.16666666666666666,0.012833703737475987,0.013565916006046846
exercising with an exercise ball 120,0.16666666666666666,0.1832976549643058,0.18787365299968398
golf driving 142,0.16,0.26758350553159355,0.27265672723705164
playing clarinet 225,0.16,0.42939827503981415,0.43234408673031494
riding elephant 269,0.16,0.17603334185282393,0.17889025341787546
skateboarding 306,0.16,0.2900137161820023,0.29384370461676784
swimming backstroke 339,0.16,0.11042392075679917,0.11241870144022977
waxing back 386,0.16,0.04067340572675069,0.04166321317490405
carrying baby 44,0.14583333333333334,0.20657001012637285,0.20925550581746696
