uniqueID,real_label,real_probability,predicted_label,predicted_probability
2789.1768,0,0.99999917,0,0.99999917
2455.305,10,0.62961644,10,0.62961644
31.045,29,0.46784934,29,0.46784934
943.58,1,0.004124435,24,0.9796575
1836.301,1,0.04513471,19,0.45190722
3257.79,13,0.21808176,23,0.78191686
2442.421,3,0.35834193,3,0.35834193
1668.405,14,0.7461211,14,0.7461211
532.01,5,0.57495946,5,0.57495946
2990.127,13,0.19854152,23,0.3558094
1935.18,27,0.026832381,6,0.42438236
1571.2899,16,0.01414174,10,0.93679935
4371.851,18,0.48775747,18,0.48775747
1073.6709,12,0.00032045296,15,0.695025
4744.954,21,0.06057729,2,0.9315547
3968.293,4,0.9622191,4,0.9622191
1437.53,14,0.99974364,14,0.99974364
1358.7789,27,0.01551609,28,0.5594184
2708.2239,6,0.8627859,6,0.8627859
844.93,10,0.51693773,10,0.51693773
3694.8699,12,0.9697016,12,0.9697016
264.13,25,0.931387,25,0.931387
3522.5493,9,0.6225716,9,0.6225716
8316.313,26,0.7560772,26,0.7560772
335.93597,20,0.036581814,10,0.85638314
2409.401,20,0.041536383,11,0.8689533
1375.64,25,0.060988188,29,0.7650942
2290.836,15,0.10888296,18,0.37960744
3556.8457,8,0.83546394,8,0.83546394
1724.437,17,0.9932708,17,0.9932708
2511.6409,5,0.99615496,5,0.99615496
333.50403,29,0.60465324,29,0.60465324
5068.269,3,0.09747544,12,0.48080248
2586.352,18,0.8238013,18,0.8238013
6887.3066,19,0.111227095,2,0.68023896
3762.8433,20,0.11936469,9,0.5061823
3048.896,12,0.9997905,12,0.9997905
3977.9531,7,0.9991393,7,0.9991393
4298.2964,12,0.99999785,12,0.99999785
616.415,24,0.9987619,24,0.9987619
2928.3364,13,0.17718689,13,0.17718689
543.91003,24,0.99997246,24,0.99997246
2507.2021,17,0.05129155,6,0.21197262
402.801,24,0.92079246,24,0.92079246
3339.041,6,0.9678633,6,0.9678633
646.97595,24,0.9788334,24,0.9788334
881.88403,9,0.18016697,15,0.429983
2511.104,6,0.7621488,6,0.7621488
4691.7393,1,0.011408516,26,0.8617893
323.836,29,0.94090873,29,0.94090873
1694.576,15,0.9911918,15,0.9911918
2127.6162,7,0.9999999,7,0.9999999
634.01196,27,0.14923128,9,0.21375212
2612.391,12,1.0,12,1.0
760.70703,15,0.9930824,15,0.9930824
3564.839,28,0.9934196,28,0.9934196
4453.881,22,0.01983614,8,0.59858686
3701.8633,19,0.15934923,8,0.5188869
2193.309,11,0.9676495,11,0.9676495
1905.2012,17,0.24022557,15,0.28100726
3380.709,9,0.7137225,9,0.7137225
768.839,25,0.9648264,25,0.9648264
3634.895,13,2.5552694e-07,22,0.7798818
3766.5278,1,0.791502,1,0.791502
4501.317,2,0.98574245,2,0.98574245
1729.2191,6,0.00023246086,7,0.95659494
2397.018,13,0.6814459,13,0.6814459
1359.1279,15,0.13771686,26,0.18704234
1426.108,23,0.11775888,13,0.794816
2686.4268,13,0.9615665,13,0.9615665
3644.8599,23,0.9975528,23,0.9975528
4432.3423,6,0.4292368,6,0.4292368
2171.5723,9,0.10299614,21,0.20450096
1434.176,23,0.040114623,13,0.9598091
3020.3809,18,0.85810554,18,0.85810554
1007.411,2,0.5158338,2,0.5158338
5914.354,6,0.028835647,22,0.75858325
5951.7754,2,0.97782034,2,0.97782034
4175.993,23,0.43698406,23,0.43698406
6180.895,3,0.99636227,3,0.99636227
3070.765,21,0.38329342,2,0.48154533
513.31506,29,0.492,29,0.492
2889.719,25,0.55821884,25,0.55821884
190.89,22,0.024301762,20,0.50286514
1744.063,16,0.99999714,16,0.99999714
2017.47,10,0.71325386,10,0.71325386
3213.387,11,0.9915405,11,0.9915405
3244.757,17,0.04216052,4,0.3749718
3249.4219,6,0.8734153,6,0.8734153
7549.453,27,0.8459601,27,0.8459601
3694.176,0,0.9999299,0,0.9999299
1602.9639,25,0.58333576,25,0.58333576
8927.973,21,0.39038357,21,0.39038357
2141.796,14,0.020844964,24,0.6190258
1654.54,6,0.7671859,6,0.7671859
2926.844,18,0.8711278,18,0.8711278
1302.155,17,0.92471594,17,0.92471594
3936.979,4,0.98121715,4,0.98121715
6348.6826,9,0.030456252,10,0.3447555
1275.303,22,0.6918951,22,0.6918951
3102.5571,22,0.972671,22,0.972671
1311.603,23,2.802072e-05,7,0.9842041
5601.8604,21,0.8610428,21,0.8610428
550.456,23,0.050646946,26,0.27072975
3135.455,0,1.0,0,1.0
966.14905,16,0.11307832,29,0.43251622
2759.0054,7,1.0,7,1.0
2875.2778,5,0.99439865,5,0.99439865
3485.277,24,0.97600025,24,0.97600025
505.14005,27,0.122120716,20,0.5620315
2973.5027,9,0.9879,9,0.9879
3784.552,14,0.30102348,14,0.30102348
2368.728,24,0.9995277,24,0.9995277
1403.5239,14,1.0,14,1.0
1371.034,20,0.99960965,20,0.99960965
777.939,8,0.351667,27,0.5119348
5582.7803,10,0.0032079516,18,0.3125164
5255.391,2,0.9848125,2,0.9848125
244.40906,10,0.0063611255,15,0.79618794
1906.109,19,0.20726827,1,0.7680714
1247.583,9,0.16025996,26,0.2925263
1031.0371,15,0.7928738,15,0.7928738
1838.707,14,0.3644636,29,0.5203104
3066.308,12,0.99920684,12,0.99920684
2471.743,21,0.9709886,21,0.9709886
4988.542,1,0.94273716,1,0.94273716
2100.9329,21,0.026518391,8,0.6552048
3189.2988,13,0.9637938,13,0.9637938
6538.9985,25,0.9997838,25,0.9997838
667.08496,16,0.99999964,16,0.99999964
1070.7319,20,0.16871548,10,0.68274766
437.66998,15,0.96298736,15,0.96298736
5027.419,19,0.00010698324,25,0.95505345
3158.15,27,0.998478,27,0.998478
8083.9116,19,0.042151783,4,0.95197874
2474.489,16,0.9036527,16,0.9036527
3979.1548,19,0.49700367,19,0.49700367
787.44293,1,0.4992724,1,0.4992724
664.53796,16,0.008656954,12,0.48790872
1902.1641,3,0.6802912,3,0.6802912
200.61401,28,0.09812417,29,0.3927905
223.39899,25,0.52013004,25,0.52013004
5879.3506,4,0.9963631,4,0.9963631
1788.302,18,0.009737517,28,0.19244103
166.30713,9,0.23024078,20,0.6132986
2759.789,27,0.13696449,11,0.2992625
3507.981,20,0.97353,20,0.97353
3016.6023,8,0.9999933,8,0.9999933
3335.414,12,0.9999484,12,0.9999484
1038.707,11,0.055550158,15,0.29446995
4390.1157,23,0.82632935,23,0.82632935
3438.27,4,0.9676656,4,0.9676656
478.79898,8,0.18311237,3,0.26982763
3046.1523,4,0.26234668,13,0.4750109
1632.102,3,0.540679,3,0.540679
2062.791,10,0.66293234,10,0.66293234
2206.935,17,0.95752823,17,0.95752823
1167.936,26,0.04506575,29,0.5734511
2544.115,23,0.76707935,23,0.76707935
958.042,28,0.952733,28,0.952733
886.037,14,0.99999964,14,0.99999964
51.294,15,0.1234351,27,0.14289217
1946.96,12,0.8374915,12,0.8374915
3048.2388,7,0.6303892,7,0.6303892
121.240005,29,0.15307352,24,0.6639405
3948.836,12,0.92184025,12,0.92184025
86.29399,12,0.04906723,15,0.36066052
372.261,29,0.5381023,29,0.5381023
6590.9473,1,0.19676898,18,0.7075686
6494.9834,2,0.075078264,21,0.78229874
2215.7402,1,0.0658786,15,0.26702324
2269.77,25,0.9786604,25,0.9786604
5287.3516,2,0.9970529,2,0.9970529
2329.365,13,0.008624427,27,0.6834577
2532.144,20,0.039929565,15,0.20946401
218.128,28,0.38198277,25,0.47695097
1833.0549,11,0.0780791,9,0.38328105
2258.63,16,0.11849312,6,0.8384958
3631.88,12,0.9159531,12,0.9159531
821.77795,28,0.8905326,28,0.8905326
4325.501,2,0.026544735,27,0.22807834
2694.656,26,0.5149926,26,0.5149926
1883.055,14,0.9998772,14,0.9998772
3130.1758,23,0.99044997,23,0.99044997
3908.137,13,0.64982957,13,0.64982957
1471.4391,16,0.8371567,16,0.8371567
3538.3628,3,0.9639779,3,0.9639779
856.62506,10,0.5487978,10,0.5487978
3070.0952,14,0.9475103,14,0.9475103
4338.374,15,0.9553009,15,0.9553009
3793.4229,16,0.08290103,12,0.73381203
721.55505,5,0.9823428,5,0.9823428
370.11002,28,0.9970293,28,0.9970293
2827.5662,4,0.64614016,4,0.64614016
3854.432,7,0.083745256,14,0.23600009
1190.521,16,0.09149379,22,0.5318884
1632.446,18,0.8042194,18,0.8042194
5028.665,19,0.3018492,15,0.30696777
2236.5278,17,0.432936,17,0.432936
1502.031,5,0.9951639,5,0.9951639
4629.1343,11,0.030047307,6,0.29729924
503.93802,25,0.95852685,25,0.95852685
2742.345,22,0.99895763,22,0.99895763
3553.3643,20,0.0042192917,2,0.9028516
1814.5121,10,0.83799,10,0.83799
1542.0889,6,0.5556638,6,0.5556638
868.89905,4,0.2932035,9,0.30057943
2239.667,15,0.9854784,15,0.9854784
7155.8735,1,0.4340061,1,0.4340061
6614.551,8,0.9463015,8,0.9463015
4115.828,11,0.9236741,11,0.9236741
6772.824,20,0.98523164,20,0.98523164
3113.2327,29,0.5689048,29,0.5689048
2876.891,14,0.0012278082,25,0.7733464
4193.239,10,0.39474988,2,0.5720677
1947.643,7,0.93270594,7,0.93270594
916.22003,7,0.8918442,7,0.8918442
23.247997,28,0.26024717,29,0.3108402
2704.802,27,0.4244981,27,0.4244981
1645.821,13,0.99101615,13,0.99101615
4091.3838,8,0.059606478,11,0.641853
2648.804,12,0.99601847,12,0.99601847
57.97696,0,0.7240189,0,0.7240189
7270.09,21,0.86202556,21,0.86202556
2393.6062,20,0.995522,20,0.995522
2259.184,28,0.5313654,28,0.5313654
