uniqueID,real_label,real_probability,predicted_label,predicted_probability
2789.1768,0,0.99999833,0,0.99999833
2455.305,10,0.64999276,10,0.64999276
31.045,29,0.48254675,29,0.48254675
943.58,1,0.06887263,24,0.86648506
1836.301,1,0.0002562368,19,0.63927954
3257.79,13,0.3482063,23,0.65179324
2442.421,3,0.76414585,3,0.76414585
1668.405,14,0.8948635,14,0.8948635
532.01,5,0.014247468,10,0.6051095
2990.127,13,0.5032705,13,0.5032705
1935.18,27,0.014512448,22,0.74569225
1571.2899,16,0.016272115,23,0.38920993
4371.851,18,0.9146785,18,0.9146785
1073.6709,12,0.014268184,15,0.81964165
4744.954,21,0.13373095,2,0.86527467
3968.293,4,0.8523961,4,0.8523961
1437.53,14,0.989303,14,0.989303
1358.7789,27,0.088403314,28,0.39409265
2708.2239,6,0.9999901,6,0.9999901
844.93,10,0.8808337,10,0.8808337
3694.8699,12,0.9984151,12,0.9984151
264.13,25,0.999998,25,0.999998
3522.5493,9,0.92534953,9,0.92534953
8316.313,26,0.5568379,26,0.5568379
335.93597,20,0.092987925,10,0.42131495
2409.401,20,0.31526726,20,0.31526726
1375.64,25,0.8605639,25,0.8605639
2290.836,15,0.00012782605,18,0.96466744
3556.8457,8,0.991227,8,0.991227
1724.437,17,0.99999976,17,0.99999976
2511.6409,5,0.99993443,5,0.99993443
333.50403,29,0.9860809,29,0.9860809
5068.269,3,0.05544855,1,0.3581167
2586.352,18,0.988586,18,0.988586
6887.3066,19,0.034317546,18,0.84257156
3762.8433,20,0.2499729,9,0.45118764
3048.896,12,0.9999902,12,0.9999902
3977.9531,7,0.99996984,7,0.99996984
4298.2964,12,1.0,12,1.0
616.415,24,0.97912985,24,0.97912985
2928.3364,13,0.98776114,13,0.98776114
543.91003,24,0.9995408,24,0.9995408
2507.2021,17,0.48269463,17,0.48269463
402.801,24,0.71586,24,0.71586
3339.041,6,0.9842972,6,0.9842972
646.97595,24,0.033258867,25,0.96531814
881.88403,9,0.1890262,15,0.7841254
2511.104,6,0.98461306,6,0.98461306
4691.7393,1,0.11709971,26,0.5868533
323.836,29,0.9987789,29,0.9987789
1694.576,15,0.9998988,15,0.9998988
2127.6162,7,1.0,7,1.0
634.01196,27,0.11409189,29,0.36892033
2612.391,12,1.0,12,1.0
760.70703,15,0.98981535,15,0.98981535
3564.839,28,0.9902056,28,0.9902056
4453.881,22,0.005673458,29,0.30591983
3701.8633,19,0.98751605,19,0.98751605
2193.309,11,0.97536373,11,0.97536373
1905.2012,17,0.9587515,17,0.9587515
3380.709,9,0.83553207,9,0.83553207
768.839,25,0.999619,25,0.999619
3634.895,13,1.4544896e-05,27,0.51962644
3766.5278,1,0.91091263,1,0.91091263
4501.317,2,0.9998859,2,0.9998859
1729.2191,6,0.43935984,6,0.43935984
