uniqueID,real_label,real_probability,predicted_label,predicted_probability
2021.4199,66,5.4991727e-08,313,0.99937695
2119.23,200,0.46642262,200,0.46642262
314.87302,326,0.21666788,170,0.28005555
2283.147,175,9.9164834e-05,262,0.5501073
1930.924,45,0.99917644,45,0.99917644
346.61603,379,0.029173054,125,0.48475355
146.41699,46,0.008207312,390,0.049565837
895.963,238,0.0062625506,91,0.43741712
2205.7158,355,0.08194145,176,0.12423342
1498.8301,100,0.0033779035,243,0.39135143
5098.708,359,4.753888e-06,360,0.4869091
744.75195,385,0.024240032,104,0.2838468
99.66499,81,0.009353783,82,0.049584392
70.282,21,0.0019037764,371,0.05046284
438.939,163,0.014672382,281,0.3404273
2092.252,34,0.015049889,360,0.21954264
76.706,249,0.007160939,371,0.073076375
3943.924,184,0.00012663277,295,0.7555607
1562.866,18,0.99708635,18,0.99708635
844.93,156,0.13632204,358,0.85121274
108.827,114,1.9931856e-09,370,0.9827475
946.552,351,0.98205525,351,0.98205525
1120.19,317,0.14386436,317,0.14386436
268.71,389,0.0010742419,326,0.08626017
2416.9468,244,4.349544e-05,356,0.11506416
2103.07,254,0.99824905,254,0.99824905
187.23502,366,0.0011251783,199,0.118849546
3935.83,223,0.0040233,41,0.5737972
1950.632,312,0.94212294,312,0.94212294
8176.6416,107,0.011284313,251,0.34492034
598.384,189,0.015031948,284,0.34085184
2702.712,227,0.029157702,49,0.57219076
952.46405,164,0.033214793,235,0.40797445
1806.6449,2,0.08595032,202,0.2088313
6004.17,311,0.97766966,311,0.97766966
3959.521,189,0.00015426028,356,0.8707391
142.737,362,0.036377262,135,0.23911916
1619.902,77,0.015141002,360,0.94385177
322.02396,203,0.00055833143,393,0.10174615
1073.7781,104,0.30264643,104,0.30264643
2789.1768,6,0.73561084,6,0.73561084
125.913994,393,0.8982611,393,0.8982611
1351.775,221,0.00024603523,317,0.0865403
18.118996,63,0.007185681,323,0.06708379
2351.068,67,7.926735e-06,88,0.94042724
5592.623,69,0.00012661853,166,0.74678314
3417.8413,330,0.00011017151,318,0.9558623
2003.6,26,0.13769348,37,0.22280842
1637.8369,19,0.9973156,19,0.9973156
324.13397,126,0.020306233,365,0.3614584
90.79901,211,0.0033858083,132,0.089235015
776.11194,2,0.017628687,32,0.07185425
4550.289,399,0.05271477,192,0.7311511
956.402,116,0.34664157,116,0.34664157
308.209,355,0.008098689,398,0.101049006
