uniqueID,real_label,real_probability,predicted_label,predicted_probability
496.36514,2,0.8934959,2,0.8934959
1284.0858,2,0.9983974,2,0.9983974
3287.7236,0,0.6608695,0,0.6608695
2379.396,2,0.99409014,2,0.99409014
3339.2222,2,0.9860745,2,0.9860745
4101.368,2,0.9994154,2,0.9994154
2909.666,1,0.08491929,2,0.84806484
3003.2363,2,0.9999473,2,0.9999473
2021.1879,1,0.26401967,0,0.44535372
1011.7301,2,0.9460546,2,0.9460546
3058.151,2,0.84666824,2,0.84666824
732.7019,2,0.83934426,2,0.83934426
747.5705,2,0.3032232,0,0.49882618
1493.3281,2,0.9546185,2,0.9546185
8207.964,1,0.67489177,1,0.67489177
3119.0854,2,0.99984705,2,0.99984705
2782.6982,2,0.9997502,2,0.9997502
8138.1924,2,0.98948646,2,0.98948646
1841.7986,2,0.9413516,2,0.9413516
3433.5579,2,0.99997103,2,0.99997103
9505.65,2,0.20490836,0,0.4881283
4113.0273,2,0.99938273,2,0.99938273
736.4011,1,0.2619318,0,0.5121505
7381.042,2,0.98661774,2,0.98661774
1272.5884,1,0.13095318,2,0.66474324
556.12036,2,0.7528613,2,0.7528613
