uniqueID,real_label,real_probability,predicted_label,predicted_probability
2369.6,1,0.99730814,1,0.99730814
2821.3696,0,0.9946662,0,0.9946662
909.4546,4,0.99969625,4,0.99969625
2578.6028,0,0.99652475,0,0.99652475
507.15228,4,0.19239576,2,0.79455936
3824.8433,1,0.9996338,1,0.9996338
4697.821,0,0.9973435,0,0.9973435
1993.1332,2,0.9999995,2,0.9999995
615.6216,0,0.99537575,0,0.99537575
1946.0227,0,0.13764343,2,0.848109
254.19647,0,0.4310362,2,0.436669
2318.5798,4,1.0,4,1.0
2004.3302,3,0.9999951,3,0.9999951
1721.1566,2,0.9677124,2,0.9677124
2489.9253,2,0.94572437,2,0.94572437
4824.3145,3,1.0,3,1.0
1936.7526,0,0.050692722,2,0.5506999
978.76904,2,0.99931145,2,0.99931145
5418.009,1,0.9726564,1,0.9726564
477.36084,2,0.8766262,2,0.8766262
1742.4956,3,1.0,3,1.0
3309.0063,1,0.19337758,2,0.63678885
1598.6465,4,0.9999999,4,0.9999999
1240.1504,4,0.9955711,4,0.9955711
2028.1136,4,1.0,4,1.0
607.9228,0,0.9286584,0,0.9286584
1041.139,4,0.9436084,4,0.9436084
7085.1934,0,0.86888915,0,0.86888915
587.60254,2,0.9999529,2,0.9999529
5618.591,0,0.6227777,0,0.6227777
455.9259,2,0.399368,2,0.399368
3814.8767,1,0.70085466,1,0.70085466
3299.5972,1,0.4349286,0,0.5452895
1128.5032,4,0.99847287,4,0.99847287
6127.991,1,0.99512595,1,0.99512595
108.29584,3,0.98588485,3,0.98588485
2015.7928,0,0.73366743,0,0.73366743
3601.6313,1,0.9280059,1,0.9280059
5461.2676,0,0.9656082,0,0.9656082
2892.3545,1,0.90484023,1,0.90484023
1513.7745,2,0.53271574,2,0.53271574
1449.203,1,0.82308847,1,0.82308847
1511.3264,3,0.99888057,3,0.99888057
480.2248,0,0.6627073,0,0.6627073
638.0181,0,0.20153591,2,0.58608234
2817.9946,1,0.99985826,1,0.99985826
2108.5425,0,0.99631727,0,0.99631727
1713.0945,1,0.9997967,1,0.9997967
2015.4236,1,0.9643711,1,0.9643711
5639.4185,3,0.98892003,3,0.98892003
2374.4763,4,0.9999999,4,0.9999999
1550.8726,3,1.0,3,1.0
1858.0739,3,0.9999999,3,0.9999999
1659.76,1,0.045555446,0,0.8863981
1943.223,2,0.9999819,2,0.9999819
348.15137,4,0.8636584,4,0.8636584
163.18623,1,0.04464034,2,0.5743116
655.8332,2,0.9784111,2,0.9784111
404.3484,0,0.1831365,2,0.59695774
5568.3755,0,0.14910989,2,0.57416147
2483.287,2,0.013850368,4,0.9804144
78.99712,2,0.9679473,2,0.9679473
6780.9355,3,0.2189106,0,0.73213613
1898.9526,2,0.98742163,2,0.98742163
936.5577,2,0.9996834,2,0.9996834
229.51431,1,0.41701698,2,0.46625105
8628.73,1,0.006284135,0,0.9529502
1846.822,1,0.9989188,1,0.9989188
1742.332,0,0.2923641,3,0.44640234
1241.0103,4,0.9900322,4,0.9900322
6462.4897,1,0.9999807,1,0.9999807
4415.2017,0,0.42162338,3,0.55544585
1976.3192,4,0.9536264,4,0.9536264
1493.4456,1,0.99902666,1,0.99902666
791.63715,2,0.99994826,2,0.99994826
8222.37,3,0.9944035,3,0.9944035
1737.9961,4,0.9999988,4,0.9999988
5815.526,3,0.9999999,3,0.9999999
1805.6929,0,0.94512403,0,0.94512403
798.84235,2,0.999997,2,0.999997
3006.3984,4,0.9998357,4,0.9998357
862.9731,1,0.5857125,1,0.5857125
2612.1367,3,0.99995327,3,0.99995327
2231.972,1,0.9997713,1,0.9997713
4715.111,3,0.9999999,3,0.9999999
596.6264,2,0.9685136,2,0.9685136
3379.3384,2,0.9997452,2,0.9997452
2928.7424,1,0.9997336,1,0.9997336
5600.369,1,0.9999397,1,0.9999397
6051.12,0,0.9989513,0,0.9989513
7.2178025,2,0.8010067,2,0.8010067
7720.407,0,0.9963898,0,0.9963898
3839.0786,3,1.0,3,1.0
126.112656,4,0.9957201,4,0.9957201
334.50635,0,0.96374255,0,0.96374255
88.728096,0,0.17512442,2,0.61698866
1932.0138,2,0.9880304,2,0.9880304
354.21204,0,0.0034031621,1,0.97046417
846.3284,2,0.4670224,3,0.47074187
1976.6472,1,0.98299485,1,0.98299485
1833.2128,1,0.059826035,2,0.8021131
3836.184,3,0.99997675,3,0.99997675
2822.8896,0,0.862047,0,0.862047
2283.853,4,1.0,4,1.0
8674.446,2,0.0003914007,0,0.9806693
186.50273,2,0.63290924,2,0.63290924
2085.9692,0,0.3770299,4,0.56014353
707.3132,2,0.08113015,3,0.77589506
1693.0684,0,0.97510433,0,0.97510433
2737.9192,3,1.0,3,1.0
2092.0708,4,0.9999732,4,0.9999732
208.873,2,0.9305993,2,0.9305993
1641.9662,4,0.9978502,4,0.9978502
3565.9875,0,0.948031,0,0.948031
2088.5059,3,0.71267736,3,0.71267736
6305.9097,3,1.0,3,1.0
7022.213,4,1.0,4,1.0
2109.9663,0,0.999918,0,0.999918
6988.2256,0,0.9958723,0,0.9958723
177.41504,0,0.26133016,2,0.6078362
479.4164,2,0.9943468,2,0.9943468
2347.4224,1,0.58251,1,0.58251
4934.496,2,0.9386792,2,0.9386792
3235.4766,2,0.97753954,2,0.97753954
3590.5635,4,0.9998597,4,0.9998597
9028.367,4,0.96691716,4,0.96691716
2451.5938,1,0.00037394214,4,0.48347175
2452.6943,3,0.9999993,3,0.9999993
1178.4236,0,0.038510926,2,0.9193121
437.7496,4,0.99991703,4,0.99991703
7528.098,3,1.0,3,1.0
1741.0796,0,0.9820809,0,0.9820809
1290.5831,1,0.99318475,1,0.99318475
10931.995,0,0.9999995,0,0.9999995
138.97382,2,0.93285865,2,0.93285865
1262.4564,1,0.9943152,1,0.9943152
6143.823,3,0.9998542,3,0.9998542
4399.754,4,1.0,4,1.0
2715.459,1,0.7408475,1,0.7408475
