uniqueID,real_label,real_probability,predicted_label,predicted_probability
13787.23,5,0.99871063,5,0.99871063
2765.1792,7,0.99746346,7,0.99746346
9034.129,0,0.7623872,0,0.7623872
5468.761,2,0.055014424,0,0.47554284
1370.9552,5,0.9173407,5,0.9173407
1163.9658,5,0.26733208,2,0.38652727
10979.383,5,0.27345303,1,0.6980411
592.1528,2,0.53571343,2,0.53571343
1006.0217,5,0.28621167,2,0.6663324
2393.059,7,0.9275565,7,0.9275565
5709.497,1,0.951405,1,0.951405
2189.9688,7,0.09421758,3,0.9054895
397.2781,7,0.076789916,1,0.33886164
5943.4575,5,0.89390117,5,0.89390117
5170.8394,2,0.93523175,2,0.93523175
3839.6787,0,0.26650983,1,0.50775033
110.938736,2,0.56390494,2,0.56390494
5958.244,7,0.979393,7,0.979393
5159.3896,1,0.46474123,1,0.46474123
1720.9619,2,0.8654717,2,0.8654717
6170.3906,0,0.8991042,0,0.8991042
7054.169,1,0.7860971,1,0.7860971
1170.1855,1,0.43667683,1,0.43667683
3570.8174,5,0.99991345,5,0.99991345
3993.6196,7,0.9998215,7,0.9998215
977.99194,3,0.013578441,0,0.4489479
9964.802,5,1.0,5,1.0
491.97296,2,0.5033079,2,0.5033079
3798.396,1,0.9990559,1,0.9990559
5601.044,0,0.19984242,2,0.3989081
3941.7935,0,0.518653,0,0.518653
5885.0337,5,0.9849236,5,0.9849236
4150.149,5,0.9903785,5,0.9903785
7647.406,1,0.9479943,1,0.9479943
4402.3237,7,0.99800736,7,0.99800736
2971.4277,7,0.37488794,0,0.59423834
2546.3826,5,0.65482587,5,0.65482587
8475.286,5,0.052108184,1,0.9409056
1432.7683,1,0.93141204,1,0.93141204
7953.548,1,0.7971036,1,0.7971036
5451.7285,5,0.008632323,1,0.9824827
160.82535,2,0.46116197,2,0.46116197
4971.7803,0,0.3620601,0,0.3620601
9087.258,7,0.08145699,5,0.7586561
7784.793,1,0.98972136,1,0.98972136
2547.4277,7,0.9877714,7,0.9877714
5957.0957,7,0.49032795,7,0.49032795
2730.7847,2,0.93697804,2,0.93697804
1458.2515,0,0.15908511,1,0.40475735
2880.7905,0,0.16015324,2,0.3588036
10132.24,0,0.33216977,1,0.6667044
4909.3076,1,0.97889256,1,0.97889256
5785.4424,1,0.9587766,1,0.9587766
6823.4854,0,0.3187988,1,0.55484265
362.30887,2,0.26669088,2,0.26669088
448.1917,2,0.560549,2,0.560549
1291.4177,1,0.9944786,1,0.9944786
2782.6843,2,0.3401153,2,0.3401153
5352.8843,1,0.99658823,1,0.99658823
7912.2324,1,0.74192077,1,0.74192077
33.20388,2,0.42585087,2,0.42585087
4747.921,7,0.996503,7,0.996503
959.6727,1,0.23860025,2,0.65789276
3587.1865,5,0.9999505,5,0.9999505
2697.0933,7,0.9851531,7,0.9851531
3058.0981,1,0.55958456,1,0.55958456
3744.2065,2,0.80728126,2,0.80728126
3124.6455,5,0.9970182,5,0.9970182
5652.493,0,0.31784225,5,0.45819858
5453.623,6,0.9956565,6,0.9956565
3739.8022,1,0.74076027,1,0.74076027
3225.2861,5,0.3286897,1,0.6408423
2441.9023,1,0.99846566,1,0.99846566
3299.3506,7,0.0014533286,0,0.9970395
4050.5361,5,0.98779047,5,0.98779047
537.9889,7,0.68932253,7,0.68932253
3737.3545,0,0.4054706,1,0.5386623
2444.9114,2,0.98110217,2,0.98110217
1722.7761,1,0.6948486,1,0.6948486
991.12225,7,0.84002876,7,0.84002876
7734.4907,5,0.85919046,5,0.85919046
6850.6724,1,0.97906864,1,0.97906864
11922.42,0,0.8584813,0,0.8584813
1887.5558,0,0.4051309,0,0.4051309
2411.7224,5,0.99972445,5,0.99972445
4123.6416,7,0.9663105,7,0.9663105
1253.7413,2,0.5849907,2,0.5849907
430.4896,5,0.15773927,2,0.7873166
5696.6646,5,0.92971545,5,0.92971545
3017.9192,7,0.99559826,7,0.99559826
681.5584,2,0.55404633,2,0.55404633
1932.5098,2,0.6314647,2,0.6314647
1394.6482,0,0.5439417,0,0.5439417
3425.9575,5,0.4158207,5,0.4158207
1594.7377,1,0.45960894,1,0.45960894
9406.205,5,0.9999999,5,0.9999999
198.02785,2,0.42410007,2,0.42410007
2936.3357,1,0.8350126,1,0.8350126
3918.188,5,0.9438469,5,0.9438469
521.0557,0,0.15657131,2,0.40487614
3225.8616,7,0.9793651,7,0.9793651
888.09,2,0.54612005,2,0.54612005
4438.9453,1,0.9984415,1,0.9984415
2869.8108,1,0.64529014,1,0.64529014
6142.9736,5,0.9999598,5,0.9999598
458.22995,1,0.8046009,1,0.8046009
4073.71,0,0.3673042,0,0.3673042
3955.984,0,0.043134805,1,0.81680995
1406.1897,0,0.32813355,0,0.32813355
2093.0576,5,0.9997807,5,0.9997807
6276.343,2,0.9974607,2,0.9974607
3465.756,5,0.9996196,5,0.9996196
2614.4077,7,0.87641454,7,0.87641454
1256.0387,0,0.25681135,1,0.30786642
1219.4238,2,0.9523311,2,0.9523311
1598.6222,7,0.89777255,7,0.89777255
1784.7755,7,0.8141617,7,0.8141617
7403.8203,1,0.9468925,1,0.9468925
0.0,2,0.38436994,2,0.38436994
3210.411,2,0.9810347,2,0.9810347
3902.5615,5,0.7412166,5,0.7412166
13389.785,0,0.80283517,0,0.80283517
7099.4346,0,0.19420876,2,0.7323008
1773.7229,5,0.43767825,5,0.43767825
4742.871,1,0.97314286,1,0.97314286
2053.1606,7,0.08132032,2,0.81031954
3820.169,1,0.97591716,1,0.97591716
11564.595,5,0.9999639,5,0.9999639
9927.244,2,0.14414963,0,0.8079569
5054.732,0,0.22942738,7,0.5645054
4645.999,7,0.9909973,7,0.9909973
705.38184,1,0.28171486,2,0.33160764
3884.9526,5,0.9999976,5,0.9999976
7183.6943,5,0.97537255,5,0.97537255
2844.7427,1,0.9043431,1,0.9043431
6202.3115,5,0.9994777,5,0.9994777
4406.9995,1,0.87498033,1,0.87498033
1861.0021,0,0.23674418,2,0.2776966
4040.6482,6,0.968093,6,0.968093
12280.184,1,0.673084,1,0.673084
1466.468,5,0.12176068,2,0.73312587
5704.734,1,0.987588,1,0.987588
9293.93,5,0.82394534,5,0.82394534
1674.8281,7,0.72904843,7,0.72904843
3910.82,6,0.9995877,6,0.9995877
5169.975,1,0.928041,1,0.928041
2070.3018,5,0.15178783,1,0.6389985
4295.2656,2,0.7855212,2,0.7855212
2210.6592,0,0.16686085,5,0.48892948
5300.617,5,0.62934744,5,0.62934744
2745.0508,2,0.8799184,2,0.8799184
7390.875,0,0.2809047,1,0.4169843
1726.1636,0,0.12965271,2,0.46252823
2660.4883,3,0.48013067,7,0.5010941
2376.4663,1,0.3721166,1,0.3721166
2978.5405,1,0.5388976,1,0.5388976
1251.5094,4,0.024750201,2,0.7959461
2674.864,5,0.99911743,5,0.99911743
6339.935,7,0.87275636,7,0.87275636
6906.0815,0,0.86482245,0,0.86482245
2297.1409,5,0.9060429,5,0.9060429
2438.4478,7,0.99497074,7,0.99497074
2879.9614,5,0.99699914,5,0.99699914
2971.8667,7,0.9296945,7,0.9296945
1551.9568,5,0.24755903,2,0.6181695
1333.3174,6,0.5156399,6,0.5156399
5837.3076,0,0.64580977,0,0.64580977
2142.4175,7,0.8859369,7,0.8859369
3061.1045,1,0.898684,1,0.898684
4050.9985,2,0.36700192,1,0.58909446
3895.3535,5,0.25484374,2,0.43221265
9743.161,7,0.643368,7,0.643368
4668.3975,7,0.7512924,7,0.7512924
2942.975,2,0.9460632,2,0.9460632
5915.59,0,0.91036004,0,0.91036004
4371.8906,5,0.9975925,5,0.9975925
835.5013,1,0.34637633,1,0.34637633
1820.2338,2,0.97128534,2,0.97128534
5237.529,1,0.93302256,1,0.93302256
2487.5293,0,0.7994293,0,0.7994293
4697.05,7,0.68644965,7,0.68644965
5704.63,5,0.8643606,5,0.8643606
7995.749,5,0.97668356,5,0.97668356
2421.4338,2,0.86295086,2,0.86295086
4609.4536,5,0.97865033,5,0.97865033
4555.0283,5,0.41851917,1,0.4332647
548.7611,2,0.6141585,2,0.6141585
3851.9705,2,0.6416369,2,0.6416369
2876.5366,2,0.8657881,2,0.8657881
3705.0332,2,0.58714515,2,0.58714515
3374.6238,1,0.20070872,2,0.42062497
793.0934,0,0.42496192,1,0.47609374
6915.398,5,0.32123873,1,0.6437372
393.80817,7,0.21614331,2,0.24005498
4118.616,0,0.22042067,2,0.76280653
7879.3374,1,0.99999833,1,0.99999833
2719.5657,1,0.9554356,1,0.9554356
7903.822,5,0.99869245,5,0.99869245
