uniqueID,real_label,real_probability,predicted_label,predicted_probability
2173.759,2,0.9905009,2,0.9905009
2826.6082,2,0.9849231,2,0.9849231
2516.035,1,0.8396727,1,0.8396727
1627.26,1,0.38324288,1,0.38324288
4049.209,1,0.65452987,1,0.65452987
2790.57,2,0.799448,2,0.799448
1175.2091,2,0.2088716,0,0.47944283
699.729,2,0.37079674,0,0.4342283
816.81604,2,0.82954293,2,0.82954293
1412.9539,2,0.9967996,2,0.9967996
1051.988,2,0.9999317,2,0.9999317
79.999985,2,0.225765,0,0.5396065
2457.2979,2,0.80865294,2,0.80865294
5674.0034,2,0.8376222,2,0.8376222
3988.0771,2,0.7345629,2,0.7345629
1166.299,0,0.69269896,0,0.69269896
61.532997,2,0.19822223,0,0.5402033
3887.053,0,0.6838942,0,0.6838942
238.88602,2,0.9055465,2,0.9055465
2836.327,0,0.7344963,0,0.7344963
5269.3057,2,0.9999856,2,0.9999856
2882.887,2,0.98800045,2,0.98800045
2145.622,1,0.7444717,1,0.7444717
