uniqueID,real_label,real_probability,predicted_label,predicted_probability
2173.759,2,0.9917606,2,0.9917606
2826.6082,2,0.9845025,2,0.9845025
2516.035,1,0.6947736,1,0.6947736
1627.26,1,0.43795553,1,0.43795553
4049.209,1,0.6883703,1,0.6883703
2790.57,2,0.8253923,2,0.8253923
1175.2091,2,0.22308385,0,0.4163603
699.729,2,0.31115732,0,0.43867967
816.81604,2,0.8810077,2,0.8810077
1412.9539,2,0.9966593,2,0.9966593
1051.988,2,0.99991715,2,0.99991715
79.999985,2,0.1832833,0,0.58007944
2457.2979,2,0.75062543,2,0.75062543
5674.0034,2,0.8862456,2,0.8862456
3988.0771,2,0.74925387,2,0.74925387
1166.299,0,0.8343532,0,0.8343532
61.532997,2,0.2065533,0,0.49262154
3887.053,0,0.71604866,0,0.71604866
238.88602,2,0.9174402,2,0.9174402
2836.327,0,0.8169098,0,0.8169098
5269.3057,2,0.99998844,2,0.99998844
2882.887,2,0.99039865,2,0.99039865
2145.622,1,0.8135742,1,0.8135742
