uniqueID,real_label,real_probability,predicted_label,predicted_probability
2173.759,2,0.9999982,2,0.9999982
2826.6082,2,0.9874473,2,0.9874473
2516.035,1,0.75245875,1,0.75245875
1627.26,1,0.11364365,2,0.88633186
4049.209,1,0.99981934,1,0.99981934
2790.57,2,0.99974614,2,0.99974614
1175.2091,2,0.986262,2,0.986262
699.729,2,0.9992095,2,0.9992095
816.81604,2,0.9978188,2,0.9978188
1412.9539,2,0.9966472,2,0.9966472
1051.988,2,0.99996364,2,0.99996364
79.999985,2,0.9984548,2,0.9984548
2457.2979,2,0.31152993,1,0.6872827
5674.0034,2,0.99304235,2,0.99304235
3988.0771,2,0.9972095,2,0.9972095
1166.299,0,0.9999621,0,0.9999621
61.532997,2,0.99836165,2,0.99836165
3887.053,0,0.98878783,0,0.98878783
238.88602,2,0.99585414,2,0.99585414
2836.327,0,0.99514645,0,0.99514645
5269.3057,2,0.9999999,2,0.9999999
2882.887,2,0.9997061,2,0.9997061
2145.622,1,0.00058571826,2,0.99941325
