uniqueID,real_label,real_probability,predicted_label,predicted_probability
731.694,2,0.9997918,2,0.9997918
315.90802,2,0.96628475,2,0.96628475
1831.7618,1,0.30020472,2,0.68162835
5538.274,3,0.99912244,3,0.99912244
1213.791,2,0.99991035,2,0.99991035
2350.375,1,0.95251876,1,0.95251876
490.978,4,0.67075104,4,0.67075104
190.92697,4,0.9843129,4,0.9843129
4996.853,4,0.9637677,4,0.9637677
1479.387,1,0.9386378,1,0.9386378
842.3469,1,0.9575606,1,0.9575606
1325.4839,1,0.5918616,1,0.5918616
2839.664,1,0.99833196,1,0.99833196
3739.019,4,0.82090926,4,0.82090926
1306.3201,4,0.9999956,4,0.9999956
570.61206,0,0.97188073,0,0.97188073
25.816002,4,0.301047,2,0.3492931
8956.598,0,0.418889,4,0.49563602
4388.01,3,0.33447254,1,0.6350785
2367.626,3,0.9999981,3,0.9999981
3351.4731,0,0.58854663,0,0.58854663
2269.879,3,0.99998605,3,0.99998605
2155.238,4,0.9996673,4,0.9996673
1059.877,0,0.98339313,0,0.98339313
566.67804,2,0.92710745,2,0.92710745
4645.91,0,0.83742225,0,0.83742225
2436.7632,1,0.9997539,1,0.9997539
3611.1367,1,0.9999368,1,0.9999368
1496.519,0,0.6166501,0,0.6166501
1423.551,3,0.99999607,3,0.99999607
695.58203,1,0.9158761,1,0.9158761
2766.221,1,0.99572855,1,0.99572855
7.671,0,0.40371865,2,0.40672255
2325.2878,4,0.99837554,4,0.99837554
6067.1,1,0.71202356,1,0.71202356
2726.978,4,0.97744364,4,0.97744364
927.085,3,0.87381697,3,0.87381697
1129.506,4,0.99843806,4,0.99843806
2566.246,4,0.9999808,4,0.9999808
1401.3519,2,0.99291456,2,0.99291456
6.564,0,0.40104985,0,0.40104985
1563.5089,2,0.91815263,2,0.91815263
1661.505,4,0.9990965,4,0.9990965
6497.348,4,0.73518145,4,0.73518145
1337.515,0,0.5383048,0,0.5383048
2835.024,3,1.0,3,1.0
3118.082,4,0.9999994,4,0.9999994
3352.622,4,0.94740134,4,0.94740134
1202.832,4,0.99532974,4,0.99532974
215.36002,2,0.98730785,2,0.98730785
687.744,2,0.9604142,2,0.9604142
268.914,2,0.99897027,2,0.99897027
825.104,2,0.98952186,2,0.98952186
423.698,2,0.92395127,2,0.92395127
1333.02,3,0.99485767,3,0.99485767
3243.369,1,0.99909365,1,0.99909365
5498.413,0,0.9943399,0,0.9943399
866.0189,4,0.99992347,4,0.99992347
5097.5713,0,0.9665327,0,0.9665327
4119.289,3,1.0,3,1.0
4859.329,0,0.53581375,0,0.53581375
194.01602,2,0.8030795,2,0.8030795
2137.938,4,0.998511,4,0.998511
4040.184,0,0.99795794,0,0.99795794
724.501,3,0.42221975,3,0.42221975
382.07,0,0.93574053,0,0.93574053
2659.2231,3,0.9335249,3,0.9335249
1677.4431,4,0.99702364,4,0.99702364
5335.7188,3,0.0672705,0,0.92591596
2373.064,3,0.9998894,3,0.9998894
3295.1265,1,0.8835363,1,0.8835363
1105.4861,4,0.9998658,4,0.9998658
1570.6589,2,0.9812073,2,0.9812073
698.97797,2,0.9516123,2,0.9516123
4652.627,0,0.38629958,1,0.56875294
2604.0059,4,0.99995327,4,0.99995327
2610.891,3,0.9998585,3,0.9998585
2772.5688,4,0.99956197,4,0.99956197
1133.2529,2,0.8406644,2,0.8406644
1208.9519,2,0.9573318,2,0.9573318
2909.705,1,0.8708517,1,0.8708517
350.59003,4,0.56647635,4,0.56647635
1577.197,4,0.975047,4,0.975047
1635.169,3,0.9999907,3,0.9999907
5034.144,0,0.80057585,0,0.80057585
323.086,1,0.48123282,1,0.48123282
2389.224,4,0.99486524,4,0.99486524
6423.6714,0,0.35344073,3,0.5398854
733.765,2,0.9986628,2,0.9986628
2752.898,0,0.82612216,0,0.82612216
5532.111,3,0.9992011,3,0.9992011
983.92896,3,0.99994624,3,0.99994624
1831.897,0,0.79350275,0,0.79350275
541.64905,2,0.5765838,2,0.5765838
4609.6943,1,0.98165053,1,0.98165053
2684.3022,3,0.7319663,3,0.7319663
3853.232,3,0.99939656,3,0.99939656
2811.8738,3,0.20964469,1,0.39322314
246.41599,2,0.9229301,2,0.9229301
1592.031,2,0.91775846,2,0.91775846
32.730003,2,0.6325331,2,0.6325331
1078.9191,0,0.9866961,0,0.9866961
1506.6301,1,0.9989497,1,0.9989497
2480.1938,1,0.32442933,2,0.62047285
2736.512,4,0.9661161,4,0.9661161
6972.3228,4,0.36838418,4,0.36838418
1979.137,4,0.9987796,4,0.9987796
900.76196,3,0.65714836,3,0.65714836
3381.541,0,0.5020783,0,0.5020783
7120.7236,0,0.9919813,0,0.9919813
