uniqueID,real_label,real_probability,predicted_label,predicted_probability
731.694,2,0.99893326,2,0.99893326
315.90802,2,0.9465166,2,0.9465166
1831.7618,1,0.09641353,2,0.826638
5538.274,3,0.9991122,3,0.9991122
1213.791,2,0.99967074,2,0.99967074
2350.375,1,0.9239029,1,0.9239029
490.978,4,0.710445,4,0.710445
190.92697,4,0.96760464,4,0.96760464
4996.853,4,0.9286557,4,0.9286557
1479.387,1,0.9386064,1,0.9386064
842.3469,1,0.9660008,1,0.9660008
1325.4839,1,0.6164286,1,0.6164286
2839.664,1,0.9946168,1,0.9946168
3739.019,4,0.8984954,4,0.8984954
1306.3201,4,0.9999889,4,0.9999889
570.61206,0,0.9464938,0,0.9464938
25.816002,4,0.25908262,2,0.36821872
8956.598,0,0.31048685,4,0.5507868
4388.01,3,0.20055105,1,0.78496283
2367.626,3,0.99998856,3,0.99998856
3351.4731,0,0.5163579,0,0.5163579
2269.879,3,0.9999056,3,0.9999056
2155.238,4,0.99912983,4,0.99912983
1059.877,0,0.96860695,0,0.96860695
566.67804,2,0.87081295,2,0.87081295
4645.91,0,0.79885423,0,0.79885423
2436.7632,1,0.99922276,1,0.99922276
3611.1367,1,0.9998447,1,0.9998447
1496.519,0,0.37153113,1,0.4410226
1423.551,3,0.9999732,3,0.9999732
695.58203,1,0.9084708,1,0.9084708
2766.221,1,0.9971745,1,0.9971745
7.671,0,0.45524472,0,0.45524472
2325.2878,4,0.9996753,4,0.9996753
6067.1,1,0.67953426,1,0.67953426
2726.978,4,0.97973585,4,0.97973585
927.085,3,0.9075691,3,0.9075691
1129.506,4,0.99793446,4,0.99793446
2566.246,4,0.9999651,4,0.9999651
1401.3519,2,0.9767512,2,0.9767512
6.564,0,0.42852995,0,0.42852995
1563.5089,2,0.8202588,2,0.8202588
1661.505,4,0.99767655,4,0.99767655
6497.348,4,0.7249738,4,0.7249738
1337.515,0,0.56305766,0,0.56305766
2835.024,3,1.0,3,1.0
3118.082,4,0.99999857,4,0.99999857
3352.622,4,0.9411429,4,0.9411429
1202.832,4,0.984253,4,0.984253
215.36002,2,0.9650301,2,0.9650301
687.744,2,0.8789673,2,0.8789673
268.914,2,0.99620014,2,0.99620014
825.104,2,0.9735398,2,0.9735398
423.698,2,0.8356002,2,0.8356002
1333.02,3,0.9850981,3,0.9850981
3243.369,1,0.99740195,1,0.99740195
5498.413,0,0.9923977,0,0.9923977
866.0189,4,0.99987054,4,0.99987054
5097.5713,0,0.964656,0,0.964656
4119.289,3,0.9999999,3,0.9999999
4859.329,0,0.73516935,0,0.73516935
194.01602,2,0.5723652,2,0.5723652
2137.938,4,0.9992465,4,0.9992465
4040.184,0,0.9939908,0,0.9939908
724.501,3,0.28079918,2,0.31707597
382.07,0,0.9214296,0,0.9214296
2659.2231,3,0.93455553,3,0.93455553
1677.4431,4,0.996563,4,0.996563
5335.7188,3,0.13755101,0,0.82229114
2373.064,3,0.999736,3,0.999736
3295.1265,1,0.88799226,1,0.88799226
1105.4861,4,0.99975973,4,0.99975973
1570.6589,2,0.97020245,2,0.97020245
698.97797,2,0.9061436,2,0.9061436
4652.627,0,0.34736934,1,0.6066813
2604.0059,4,0.99991596,4,0.99991596
2610.891,3,0.9991953,3,0.9991953
2772.5688,4,0.9997913,4,0.9997913
1133.2529,2,0.6806577,2,0.6806577
1208.9519,2,0.9079501,2,0.9079501
2909.705,1,0.8161856,1,0.8161856
350.59003,4,0.5062291,4,0.5062291
1577.197,4,0.84361935,4,0.84361935
1635.169,3,0.9999447,3,0.9999447
5034.144,0,0.819461,0,0.819461
323.086,1,0.49808338,1,0.49808338
2389.224,4,0.9953349,4,0.9953349
6423.6714,0,0.2273518,3,0.56284666
733.765,2,0.9952863,2,0.9952863
2752.898,0,0.68867445,0,0.68867445
5532.111,3,0.99878126,3,0.99878126
983.92896,3,0.999864,3,0.999864
1831.897,0,0.79182565,0,0.79182565
541.64905,2,0.45497194,2,0.45497194
4609.6943,1,0.9793449,1,0.9793449
2684.3022,3,0.5496898,3,0.5496898
3853.232,3,0.9992047,3,0.9992047
2811.8738,3,0.25360045,1,0.4178323
246.41599,2,0.8548962,2,0.8548962
