uniqueID,real_label,real_probability,predicted_label,predicted_probability
731.694,2,0.89867944,2,0.89867944
315.90802,2,0.97822124,2,0.97822124
1831.7618,1,0.002691272,0,0.99730515
5538.274,3,1.0,3,1.0
1213.791,2,0.98658514,2,0.98658514
2350.375,1,0.0051604286,2,0.9937629
490.978,4,0.9012951,4,0.9012951
190.92697,4,0.9996785,4,0.9996785
4996.853,4,0.99996257,4,0.99996257
1479.387,1,0.5795531,1,0.5795531
842.3469,1,0.0049234172,2,0.9949523
1325.4839,1,0.0069521656,3,0.64534086
2839.664,1,0.99790823,1,0.99790823
3739.019,4,0.9991198,4,0.9991198
1306.3201,4,0.9999951,4,0.9999951
570.61206,0,0.060034864,3,0.6180362
25.816002,4,0.07886465,3,0.49163058
8956.598,0,0.9334788,0,0.9334788
4388.01,3,0.00029834863,1,0.99964786
2367.626,3,0.99999166,3,0.99999166
3351.4731,0,0.33799678,3,0.59458387
2269.879,3,0.98138267,3,0.98138267
2155.238,4,0.9995946,4,0.9995946
1059.877,0,0.00071884686,2,0.97030544
566.67804,2,0.26820567,4,0.7219949
4645.91,0,1.0731878e-14,2,1.0
2436.7632,1,0.2101402,2,0.78822047
3611.1367,1,0.76852137,1,0.76852137
1496.519,0,0.011761464,4,0.9316835
1423.551,3,0.9712332,3,0.9712332
695.58203,1,0.4566488,1,0.4566488
2766.221,1,0.0029586002,2,0.9970413
7.671,0,0.040891934,3,0.6622621
2325.2878,4,0.81324273,4,0.81324273
6067.1,1,0.9744981,1,0.9744981
2726.978,4,0.8181372,4,0.8181372
927.085,3,0.25505805,2,0.6726017
1129.506,4,0.05917752,2,0.9212459
2566.246,4,0.9999988,4,0.9999988
1401.3519,2,0.7844644,2,0.7844644
6.564,0,0.03922315,3,0.6551538
1563.5089,2,0.8419391,2,0.8419391
1661.505,4,0.9999831,4,0.9999831
6497.348,4,0.025202308,0,0.9569686
1337.515,0,5.5830995e-05,2,0.986013
2835.024,3,0.9999999,3,0.9999999
3118.082,4,0.9996948,4,0.9996948
3352.622,4,0.7167839,4,0.7167839
1202.832,4,0.99990857,4,0.99990857
215.36002,2,0.9261739,2,0.9261739
687.744,2,0.8847232,2,0.8847232
268.914,2,0.99966466,2,0.99966466
825.104,2,0.9678659,2,0.9678659
423.698,2,0.6561359,2,0.6561359
1333.02,3,0.05182663,2,0.94624037
3243.369,1,0.8232166,1,0.8232166
5498.413,0,0.9987047,0,0.9987047
866.0189,4,0.99999845,4,0.99999845
5097.5713,0,0.080956064,1,0.83352435
4119.289,3,1.0,3,1.0
4859.329,0,6.132386e-05,1,0.99993813
194.01602,2,0.74784774,2,0.74784774
2137.938,4,0.9999547,4,0.9999547
4040.184,0,0.99215615,0,0.99215615
724.501,3,0.3935829,4,0.46802017
382.07,0,0.006577251,2,0.6579701
2659.2231,3,0.918402,3,0.918402
1677.4431,4,0.9999895,4,0.9999895
5335.7188,3,0.13297272,1,0.56926554
2373.064,3,0.99734527,3,0.99734527
3295.1265,1,0.00078887376,0,0.9991973
1105.4861,4,0.9993869,4,0.9993869
1570.6589,2,0.93900806,2,0.93900806
698.97797,2,0.99626863,2,0.99626863
4652.627,0,2.6686917e-09,1,0.99971646
2604.0059,4,0.8106942,4,0.8106942
2610.891,3,0.27634016,2,0.72251
2772.5688,4,0.9999995,4,0.9999995
1133.2529,2,0.737754,2,0.737754
1208.9519,2,0.9771606,2,0.9771606
2909.705,1,5.429931e-08,0,0.99999964
350.59003,4,0.063733265,2,0.78812945
1577.197,4,0.9999856,4,0.9999856
1635.169,3,0.99999213,3,0.99999213
5034.144,0,0.5848328,0,0.5848328
323.086,1,0.04363475,2,0.69802254
2389.224,4,0.99999964,4,0.99999964
6423.6714,0,7.2718547e-09,3,0.99000764
733.765,2,0.47153613,1,0.5002462
2752.898,0,0.59817356,0,0.59817356
5532.111,3,0.99995744,3,0.99995744
983.92896,3,0.7054408,3,0.7054408
1831.897,0,0.17568836,1,0.64736164
541.64905,2,0.17969313,3,0.5345066
4609.6943,1,0.9708327,1,0.9708327
2684.3022,3,0.5374407,3,0.5374407
3853.232,3,0.018765306,1,0.9802296
2811.8738,3,0.044510107,2,0.94790816
246.41599,2,0.81634843,2,0.81634843
1592.031,2,0.3635125,2,0.3635125
32.730003,2,0.43345678,3,0.49857914
1078.9191,0,0.03746501,2,0.7407798
1506.6301,1,0.0048872903,2,0.99468803
2480.1938,1,0.004244387,3,0.9309319
2736.512,4,0.99729425,4,0.99729425
6972.3228,4,3.5455674e-08,1,0.99999714
1979.137,4,0.99999356,4,0.99999356
900.76196,3,0.9157509,3,0.9157509
3381.541,0,0.026683418,4,0.59112835
7120.7236,0,1.329128e-05,4,0.9733002
2464.07,3,1.0,3,1.0
244.281,0,0.007795815,2,0.9045149
3006.7822,1,0.9494277,1,0.9494277
825.12,3,0.000527884,2,0.78292984
3385.0198,4,0.99999833,4,0.99999833
1555.967,0,0.50898314,0,0.50898314
1891.513,1,0.9909986,1,0.9909986
2153.959,4,1.0,4,1.0
115.16399,0,0.00075645634,2,0.751862
4789.4805,0,2.9339444e-05,1,0.51032984
312.268,3,0.884143,3,0.884143
1433.101,0,0.0002811028,2,0.84447956
2173.574,4,0.91564715,4,0.91564715
5002.479,4,1.0,4,1.0
1785.551,3,0.9995529,3,0.9995529
1594.4209,1,0.028221494,2,0.95911217
2497.4458,1,0.8478174,1,0.8478174
2740.122,1,0.27085173,2,0.7291482
1901.331,3,0.9999987,3,0.9999987
1667.4391,4,0.99995863,4,0.99995863
1452.6389,2,0.9514443,2,0.9514443
2085.57,3,8.447523e-05,4,0.99964905
1153.917,1,0.85895,1,0.85895
1291.206,1,0.6824999,1,0.6824999
5444.0825,3,0.017534172,1,0.7134118
3213.8694,1,0.22531584,0,0.7712764
362.917,2,0.96485305,2,0.96485305
3458.5222,3,8.134081e-05,0,0.938079
