uniqueID,real_label,real_probability,predicted_label,predicted_probability
6409.223,1,0.0032004812,0,0.98833954
4840.802,1,0.7138125,1,0.7138125
5842.742,3,0.7622056,3,0.7622056
687.49,2,0.3932303,1,0.57918394
4918.998,1,0.36765766,1,0.36765766
190.06898,2,0.99738294,2,0.99738294
1054.685,2,0.9999622,2,0.9999622
310.72504,2,0.30817133,0,0.5916295
-6.9029965,2,0.106077865,0,0.41902408
3470.8818,3,1.0,3,1.0
687.744,2,0.98293245,2,0.98293245
2719.932,2,0.9589763,2,0.9589763
1216.832,2,0.9999989,2,0.9999989
2194.605,1,0.99936134,1,0.99936134
1195.0901,1,0.99919766,1,0.99919766
566.458,3,0.9504923,3,0.9504923
392.3311,2,0.9976006,2,0.9976006
5310.8203,3,0.8040245,3,0.8040245
3437.7778,1,0.99909794,1,0.99909794
488.041,1,0.0040033525,2,0.96795905
2835.024,3,1.0,3,1.0
1640.655,1,0.85518867,1,0.85518867
201.463,1,0.87330973,1,0.87330973
946.464,2,0.9966878,2,0.9966878
6499.174,1,0.98402345,1,0.98402345
2201.906,1,0.70557374,1,0.70557374
1732.2681,1,0.98229593,1,0.98229593
1683.0449,2,0.9999317,2,0.9999317
118.48,2,0.8694513,2,0.8694513
2067.64,0,0.045639776,1,0.8539916
1665.0891,2,0.9999901,2,0.9999901
2210.318,1,0.9995473,1,0.9995473
1750.9989,4,0.99997437,4,0.99997437
1851.042,3,0.9996513,3,0.9996513
4359.6035,0,0.99196905,0,0.99196905
7631.1343,1,0.4916183,1,0.4916183
2760.505,2,0.7796728,2,0.7796728
2083.5999,1,0.99987507,1,0.99987507
1178.406,1,0.99938405,1,0.99938405
179.766,2,0.98481464,2,0.98481464
821.93097,3,0.9963612,3,0.9963612
2132.5938,1,0.9726537,1,0.9726537
3228.4111,0,0.004307586,2,0.97928864
2356.6162,2,0.16488062,4,0.7451954
1001.654,0,0.70866823,0,0.70866823
1101.465,2,0.9994843,2,0.9994843
2650.7969,3,0.9997656,3,0.9997656
710.49304,2,0.9538939,2,0.9538939
1762.3889,0,0.84392893,0,0.84392893
2264.697,3,1.0,3,1.0
2047.9291,2,0.49147183,2,0.49147183
337.596,2,0.96133995,2,0.96133995
6568.3223,0,0.98843586,0,0.98843586
1033.829,0,0.93671566,0,0.93671566
1452.6389,2,0.9993451,2,0.9993451
1146.036,3,0.9991968,3,0.9991968
1520.87,2,0.98318106,2,0.98318106
109.71801,1,0.16647838,0,0.45535538
1434.729,2,0.9614135,2,0.9614135
2766.14,1,0.9974215,1,0.9974215
2025.1831,2,0.9942036,2,0.9942036
2462.843,1,0.99999845,1,0.99999845
810.4199,1,0.36676466,0,0.49221444
3897.397,2,0.5894825,2,0.5894825
7120.7236,0,0.9994875,0,0.9994875
3765.332,0,0.39625844,3,0.42415386
2325.2878,4,0.9994622,4,0.9994622
7153.502,3,0.011895049,1,0.8866824
5955.815,1,0.82318354,1,0.82318354
2447.096,2,0.98539746,2,0.98539746
582.0499,0,0.9612985,0,0.9612985
2286.1602,2,0.99997723,2,0.99997723
1701.032,2,0.9998865,2,0.9998865
794.81995,2,0.99780315,2,0.99780315
3210.0122,3,1.0,3,1.0
4859.329,0,0.9560371,0,0.9560371
1884.4181,1,0.99816376,1,0.99816376
2373.064,3,0.9999995,3,0.9999995
1610.336,2,0.99977285,2,0.99977285
1654.2909,0,0.96695775,0,0.96695775
2129.181,2,0.99996245,2,0.99996245
2070.529,2,0.9999789,2,0.9999789
960.3969,2,0.8838642,2,0.8838642
843.4811,2,0.994755,2,0.994755
6130.3325,0,0.9243264,0,0.9243264
885.549,2,0.9998079,2,0.9998079
1591.3151,4,0.69223905,4,0.69223905
2506.444,1,0.99634725,1,0.99634725
946.98584,0,0.01636728,1,0.98309535
686.015,1,0.24835977,2,0.6029626
259.643,2,0.25581577,3,0.734025
1664.8269,2,0.81426716,2,0.81426716
237.424,2,0.9976108,2,0.9976108
3010.2358,3,0.9999999,3,0.9999999
2372.9949,2,0.938413,2,0.938413
1726.9459,1,0.98973525,1,0.98973525
2170.567,2,0.9999939,2,0.9999939
21.048,0,0.51210946,0,0.51210946
211.90399,2,0.9848445,2,0.9848445
3118.082,4,0.99999905,4,0.99999905
546.694,2,0.99951327,2,0.99951327
3124.1958,1,0.99835795,1,0.99835795
1901.646,1,0.9677459,1,0.9677459
2691.682,3,0.9999889,3,0.9999889
1367.376,4,0.99692947,4,0.99692947
453.99097,1,0.9975535,1,0.9975535
1464.583,0,0.99860054,0,0.99860054
3381.541,0,0.2858625,1,0.6838073
2536.54,3,1.0,3,1.0
1943.9869,1,0.9999683,1,0.9999683
554.14197,2,0.993026,2,0.993026
604.149,2,0.9819229,2,0.9819229
1161.605,4,0.9954405,4,0.9954405
1646.699,1,0.99987733,1,0.99987733
280.734,2,0.9992611,2,0.9992611
3023.562,2,0.9998429,2,0.9998429
948.54407,1,0.08605367,3,0.9139301
1043.2979,2,0.6551649,2,0.6551649
4657.03,2,0.97372717,2,0.97372717
2351.291,1,0.9997118,1,0.9997118
4645.91,0,0.5586157,0,0.5586157
314.726,0,0.87779135,0,0.87779135
196.832,1,0.056000352,2,0.73003167
393.902,0,0.6406953,0,0.6406953
1920.381,1,0.9979963,1,0.9979963
1153.8451,2,0.9708576,2,0.9708576
5519.193,1,0.3989095,0,0.4549842
1839.2048,2,0.9999789,2,0.9999789
5532.111,3,0.9999976,3,0.9999976
151.161,0,0.6535296,0,0.6535296
1872.6162,3,1.0,3,1.0
2089.164,0,0.015206234,1,0.9741726
1664.5928,1,0.9993375,1,0.9993375
2208.821,1,0.9997942,1,0.9997942
5895.271,3,0.99999905,3,0.99999905
243.73001,2,0.92058873,2,0.92058873
6295.907,3,0.012062711,1,0.92146945
1604.106,0,0.2952345,4,0.53846085
2797.138,1,0.99931574,1,0.99931574
319.22202,2,0.99185354,2,0.99185354
1812.054,2,0.9973252,2,0.9973252
644.512,2,0.9999366,2,0.9999366
2452.53,1,0.99577713,1,0.99577713
2916.073,2,0.5920488,2,0.5920488
1995.984,1,0.9999496,1,0.9999496
6151.16,0,0.9870077,0,0.9870077
3288.427,3,0.37745965,1,0.6158032
4388.01,3,0.5412386,3,0.5412386
4303.717,0,8.7924955e-06,3,0.99939656
2546.591,3,0.9999995,3,0.9999995
442.11197,2,0.99757177,2,0.99757177
230.96399,2,0.9584697,2,0.9584697
140.64603,2,0.9495542,2,0.9495542
4761.454,1,0.9989178,1,0.9989178
2441.827,1,0.7490456,1,0.7490456
1708.4789,3,0.9849087,3,0.9849087
249.06403,1,0.9611368,1,0.9611368
2694.5132,0,0.05276329,2,0.90539014
2028.3549,1,0.9999347,1,0.9999347
715.988,2,0.99064445,2,0.99064445
927.085,3,0.9963349,3,0.9963349
433.252,1,0.86465484,1,0.86465484
612.165,2,0.9683136,2,0.9683136
2020.428,3,1.0,3,1.0
2618.2021,1,0.92784804,1,0.92784804
615.163,2,0.95990205,2,0.95990205
883.469,2,0.9993197,2,0.9993197
4543.606,4,0.3697127,0,0.42722332
5314.4795,0,0.97791916,0,0.97791916
245.72699,2,0.8129677,2,0.8129677
147.70102,2,0.98683584,2,0.98683584
