uniqueID,real_label,real_probability,predicted_label,predicted_probability
6409.223,1,0.0018817707,0,0.9917134
4840.802,1,0.6947452,1,0.6947452
5842.742,3,0.7826872,3,0.7826872
687.49,2,0.58947676,2,0.58947676
4918.998,1,0.28743193,4,0.3538108
190.06898,2,0.9988556,2,0.9988556
1054.685,2,0.99995255,2,0.99995255
310.72504,2,0.44495168,0,0.46769118
-6.9029965,2,0.12367743,0,0.5585736
3470.8818,3,1.0,3,1.0
687.744,2,0.9919159,2,0.9919159
2719.932,2,0.98921317,2,0.98921317
1216.832,2,0.9999987,2,0.9999987
2194.605,1,0.9971232,1,0.9971232
1195.0901,1,0.9997197,1,0.9997197
566.458,3,0.8306924,3,0.8306924
392.3311,2,0.9978599,2,0.9978599
5310.8203,3,0.95151913,3,0.95151913
3437.7778,1,0.99939454,1,0.99939454
488.041,1,0.0038971372,2,0.9625031
2835.024,3,1.0,3,1.0
1640.655,1,0.7378938,1,0.7378938
201.463,1,0.82331383,1,0.82331383
946.464,2,0.99939394,2,0.99939394
6499.174,1,0.9880008,1,0.9880008
2201.906,1,0.61962336,1,0.61962336
1732.2681,1,0.9749289,1,0.9749289
1683.0449,2,0.9999207,2,0.9999207
118.48,2,0.8899293,2,0.8899293
2067.64,0,0.05317659,1,0.8278625
1665.0891,2,0.9999888,2,0.9999888
2210.318,1,0.9997433,1,0.9997433
1750.9989,4,0.99996984,4,0.99996984
1851.042,3,0.999238,3,0.999238
4359.6035,0,0.9937452,0,0.9937452
7631.1343,1,0.66997856,1,0.66997856
2760.505,2,0.8700251,2,0.8700251
2083.5999,1,0.999395,1,0.999395
1178.406,1,0.99812466,1,0.99812466
179.766,2,0.9874041,2,0.9874041
821.93097,3,0.99294925,3,0.99294925
2132.5938,1,0.9584883,1,0.9584883
3228.4111,0,0.0022172679,2,0.9914483
2356.6162,2,0.18202698,4,0.75871515
1001.654,0,0.6608388,0,0.6608388
1101.465,2,0.9993999,2,0.9993999
2650.7969,3,0.9983558,3,0.9983558
710.49304,2,0.95225734,2,0.95225734
1762.3889,0,0.5732913,0,0.5732913
2264.697,3,1.0,3,1.0
2047.9291,2,0.35770532,2,0.35770532
337.596,2,0.9865247,2,0.9865247
6568.3223,0,0.98613924,0,0.98613924
1033.829,0,0.96051526,0,0.96051526
1452.6389,2,0.99989986,2,0.99989986
1146.036,3,0.9984144,3,0.9984144
1520.87,2,0.99604803,2,0.99604803
109.71801,1,0.082010604,0,0.5327783
1434.729,2,0.96750355,2,0.96750355
2766.14,1,0.99381834,1,0.99381834
2025.1831,2,0.9962203,2,0.9962203
2462.843,1,0.99999857,1,0.99999857
810.4199,1,0.23879619,0,0.6073881
3897.397,2,0.5411823,2,0.5411823
7120.7236,0,0.99953115,0,0.99953115
3765.332,0,0.38221073,0,0.38221073
2325.2878,4,0.9996637,4,0.9996637
7153.502,3,0.005112759,1,0.94792575
5955.815,1,0.8929994,1,0.8929994
2447.096,2,0.9899658,2,0.9899658
582.0499,0,0.9721963,0,0.9721963
2286.1602,2,0.9999721,2,0.9999721
1701.032,2,0.9999509,2,0.9999509
794.81995,2,0.9985655,2,0.9985655
3210.0122,3,1.0,3,1.0
4859.329,0,0.83071226,0,0.83071226
1884.4181,1,0.99654573,1,0.99654573
2373.064,3,0.99999833,3,0.99999833
1610.336,2,0.99979395,2,0.99979395
1654.2909,0,0.9641845,0,0.9641845
2129.181,2,0.99997306,2,0.99997306
2070.529,2,0.99999046,2,0.99999046
960.3969,2,0.9471561,2,0.9471561
843.4811,2,0.99825376,2,0.99825376
6130.3325,0,0.8939261,0,0.8939261
885.549,2,0.99967754,2,0.99967754
1591.3151,4,0.5955687,4,0.5955687
2506.444,1,0.99478453,1,0.99478453
946.98584,0,0.015490972,1,0.9842869
686.015,1,0.19614859,2,0.7419596
259.643,2,0.7637052,2,0.7637052
1664.8269,2,0.9020661,2,0.9020661
237.424,2,0.99813133,2,0.99813133
3010.2358,3,0.99999976,3,0.99999976
2372.9949,2,0.96666414,2,0.96666414
1726.9459,1,0.98027694,1,0.98027694
2170.567,2,0.9999906,2,0.9999906
21.048,0,0.5876075,0,0.5876075
211.90399,2,0.9831861,2,0.9831861
3118.082,4,0.9999995,4,0.9999995
546.694,2,0.99975437,2,0.99975437
3124.1958,1,0.9990409,1,0.9990409
1901.646,1,0.97104216,1,0.97104216
2691.682,3,0.99991834,3,0.99991834
1367.376,4,0.99806076,4,0.99806076
453.99097,1,0.989377,1,0.989377
1464.583,0,0.998779,0,0.998779
3381.541,0,0.44257835,1,0.47757643
2536.54,3,1.0,3,1.0
1943.9869,1,0.9999697,1,0.9999697
554.14197,2,0.99800414,2,0.99800414
604.149,2,0.9928457,2,0.9928457
1161.605,4,0.9960258,4,0.9960258
1646.699,1,0.99955934,1,0.99955934
280.734,2,0.9990395,2,0.9990395
3023.562,2,0.99991965,2,0.99991965
948.54407,1,0.2030735,3,0.7967955
1043.2979,2,0.6446777,2,0.6446777
4657.03,2,0.9870948,2,0.9870948
2351.291,1,0.999691,1,0.999691
4645.91,0,0.4140677,2,0.5587774
314.726,0,0.8866378,0,0.8866378
196.832,1,0.036783792,2,0.79263264
393.902,0,0.5956008,0,0.5956008
1920.381,1,0.9981244,1,0.9981244
1153.8451,2,0.98782545,2,0.98782545
5519.193,1,0.2933567,0,0.53546673
1839.2048,2,0.9999809,2,0.9999809
5532.111,3,0.9999895,3,0.9999895
151.161,0,0.58942765,0,0.58942765
1872.6162,3,1.0,3,1.0
2089.164,0,0.107195854,1,0.87140185
1664.5928,1,0.9989366,1,0.9989366
2208.821,1,0.999801,1,0.999801
5895.271,3,0.99999774,3,0.99999774
243.73001,2,0.9513608,2,0.9513608
6295.907,3,0.008811248,1,0.8940331
1604.106,0,0.22421251,4,0.66276544
2797.138,1,0.9996662,1,0.9996662
319.22202,2,0.99375075,2,0.99375075
1812.054,2,0.99791926,2,0.99791926
644.512,2,0.9999738,2,0.9999738
2452.53,1,0.99593556,1,0.99593556
