uniqueID,real_label,real_probability,predicted_label,predicted_probability
6409.223,1,0.006460579,0,0.9852255
4840.802,1,0.9173296,1,0.9173296
5842.742,3,0.9693633,3,0.9693633
687.49,2,0.7093038,2,0.7093038
4918.998,1,0.19419613,4,0.55501676
190.06898,2,0.9989786,2,0.9989786
1054.685,2,0.99998844,2,0.99998844
310.72504,2,0.409086,0,0.5252884
-6.9029965,2,0.08361428,0,0.48778173
3470.8818,3,1.0,3,1.0
687.744,2,0.99185705,2,0.99185705
2719.932,2,0.9783245,2,0.9783245
1216.832,2,1.0,2,1.0
2194.605,1,0.9998934,1,0.9998934
1195.0901,1,0.9999137,1,0.9999137
566.458,3,0.99639696,3,0.99639696
392.3311,2,0.9991345,2,0.9991345
5310.8203,3,0.9814031,3,0.9814031
3437.7778,1,0.9998884,1,0.9998884
488.041,1,0.0040898668,2,0.9613339
2835.024,3,1.0,3,1.0
1640.655,1,0.8447239,1,0.8447239
201.463,1,0.92508286,1,0.92508286
946.464,2,0.9973139,2,0.9973139
6499.174,1,0.9979982,1,0.9979982
2201.906,1,0.97508764,1,0.97508764
1732.2681,1,0.98296714,1,0.98296714
1683.0449,2,0.99999547,2,0.99999547
118.48,2,0.906311,2,0.906311
2067.64,0,0.012757297,1,0.9063489
1665.0891,2,0.99999726,2,0.99999726
2210.318,1,0.99999285,1,0.99999285
1750.9989,4,0.9999944,4,0.9999944
1851.042,3,0.9998399,3,0.9998399
4359.6035,0,0.9955082,0,0.9955082
7631.1343,1,0.87420684,1,0.87420684
2760.505,2,0.7799666,2,0.7799666
2083.5999,1,0.99996734,1,0.99996734
1178.406,1,0.99964964,1,0.99964964
179.766,2,0.9921055,2,0.9921055
821.93097,3,0.99876285,3,0.99876285
2132.5938,1,0.99588746,1,0.99588746
3228.4111,0,0.00047045638,2,0.9945017
2356.6162,2,0.25003415,4,0.6356868
1001.654,0,0.7303644,0,0.7303644
1101.465,2,0.9999187,2,0.9999187
2650.7969,3,0.99978524,3,0.99978524
710.49304,2,0.98494303,2,0.98494303
1762.3889,0,0.92309403,0,0.92309403
2264.697,3,1.0,3,1.0
2047.9291,2,0.4743192,2,0.4743192
337.596,2,0.97723085,2,0.97723085
6568.3223,0,0.96545726,0,0.96545726
1033.829,0,0.9429143,0,0.9429143
1452.6389,2,0.9999422,2,0.9999422
1146.036,3,0.9998242,3,0.9998242
1520.87,2,0.99538666,2,0.99538666
109.71801,1,0.121489406,0,0.55856234
1434.729,2,0.96035886,2,0.96035886
2766.14,1,0.9989579,1,0.9989579
2025.1831,2,0.9986786,2,0.9986786
2462.843,1,1.0,1,1.0
810.4199,1,0.4296394,1,0.4296394
3897.397,2,0.37504706,4,0.4281935
7120.7236,0,0.99946755,0,0.99946755
3765.332,0,0.2234212,3,0.49014407
2325.2878,4,0.99995816,4,0.99995816
7153.502,3,0.0008226198,1,0.79704875
5955.815,1,0.9252003,1,0.9252003
2447.096,2,0.99684024,2,0.99684024
582.0499,0,0.97947264,0,0.97947264
2286.1602,2,0.99998486,2,0.99998486
1701.032,2,0.99998236,2,0.99998236
794.81995,2,0.9998099,2,0.9998099
3210.0122,3,1.0,3,1.0
4859.329,0,0.6800192,0,0.6800192
1884.4181,1,0.9995772,1,0.9995772
2373.064,3,0.99999964,3,0.99999964
1610.336,2,0.99994373,2,0.99994373
1654.2909,0,0.940918,0,0.940918
2129.181,2,0.99998975,2,0.99998975
2070.529,2,0.9999994,2,0.9999994
960.3969,2,0.9608974,2,0.9608974
843.4811,2,0.99784136,2,0.99784136
6130.3325,0,0.7830713,0,0.7830713
885.549,2,0.9999157,2,0.9999157
1591.3151,4,0.88000757,4,0.88000757
2506.444,1,0.99668664,1,0.99668664
946.98584,0,0.0070522595,1,0.9928924
686.015,1,0.15596426,2,0.7978356
259.643,2,0.21015055,3,0.78763425
1664.8269,2,0.9255917,2,0.9255917
237.424,2,0.99904686,2,0.99904686
3010.2358,3,1.0,3,1.0
2372.9949,2,0.9656882,2,0.9656882
1726.9459,1,0.9959065,1,0.9959065
2170.567,2,0.9999957,2,0.9999957
21.048,0,0.5865832,0,0.5865832
211.90399,2,0.98907125,2,0.98907125
3118.082,4,1.0,4,1.0
546.694,2,0.99987924,2,0.99987924
3124.1958,1,0.99978346,1,0.99978346
1901.646,1,0.9485053,1,0.9485053
2691.682,3,0.99998665,3,0.99998665
1367.376,4,0.999065,4,0.999065
