uniqueID,real_label,real_probability,predicted_label,predicted_probability
6409.223,1,0.023323938,0,0.96624184
4840.802,1,0.39684924,0,0.60233617
5842.742,3,0.70059854,3,0.70059854
687.49,2,0.6561444,2,0.6561444
4918.998,1,0.11502274,0,0.8175988
190.06898,2,0.8763752,2,0.8763752
1054.685,2,0.87666726,2,0.87666726
310.72504,2,0.741761,2,0.741761
-6.9029965,2,0.23773809,1,0.4248735
3470.8818,3,1.0,3,1.0
687.744,2,0.98481154,2,0.98481154
2719.932,2,0.92894125,2,0.92894125
1216.832,2,0.9993099,2,0.9993099
2194.605,1,0.3286352,1,0.3286352
1195.0901,1,0.11504724,0,0.78530675
566.458,3,0.58290285,3,0.58290285
392.3311,2,0.8384792,2,0.8384792
5310.8203,3,0.008357791,0,0.95324755
3437.7778,1,0.37499145,1,0.37499145
488.041,1,0.013970628,2,0.91782975
2835.024,3,0.99979097,3,0.99979097
1640.655,1,0.7950644,1,0.7950644
201.463,1,0.21806674,0,0.5857871
946.464,2,0.92804694,2,0.92804694
6499.174,1,0.26058438,0,0.73932326
2201.906,1,0.28167403,0,0.41893715
1732.2681,1,0.47704706,1,0.47704706
1683.0449,2,0.9331547,2,0.9331547
118.48,2,0.6280185,2,0.6280185
2067.64,0,0.07268702,3,0.70624036
1665.0891,2,0.9498872,2,0.9498872
2210.318,1,0.52350897,1,0.52350897
1750.9989,4,0.9989945,4,0.9989945
1851.042,3,0.8112517,3,0.8112517
4359.6035,0,0.89062566,0,0.89062566
7631.1343,1,0.8084867,1,0.8084867
2760.505,2,0.99382764,2,0.99382764
2083.5999,1,0.6562199,1,0.6562199
1178.406,1,0.3500456,0,0.5203624
179.766,2,0.88743734,2,0.88743734
821.93097,3,0.15248781,2,0.8288446
2132.5938,1,0.60068905,1,0.60068905
3228.4111,0,0.76052535,0,0.76052535
2356.6162,2,0.11308951,4,0.81522506
1001.654,0,0.4740711,0,0.4740711
1101.465,2,0.9310188,2,0.9310188
2650.7969,3,0.69838864,3,0.69838864
710.49304,2,0.9933361,2,0.9933361
1762.3889,0,0.7333545,0,0.7333545
