uniqueID,real_label,real_probability,predicted_label,predicted_probability
948.564,1,0.97571903,1,0.97571903
1740.7649,3,0.1834353,1,0.30376625
174.57898,1,0.94490576,1,0.94490576
4303.717,0,1.8780593e-05,5,0.9997969
879.36304,7,0.9950605,7,0.9950605
731.694,2,0.9967008,2,0.9967008
233.73706,1,0.9999974,1,0.9999974
2172.562,2,0.10194849,5,0.8879543
1337.515,0,0.49202517,0,0.49202517
1603.225,2,0.99837303,2,0.99837303
-9.422999,2,0.23089112,0,0.41435966
2086.434,2,0.99821365,2,0.99821365
592.536,5,0.63943076,5,0.63943076
1568.9689,0,0.6204849,0,0.6204849
1653.088,2,0.98096174,2,0.98096174
343.06104,1,0.9892546,1,0.9892546
4008.055,5,0.9979377,5,0.9979377
1762.3889,0,0.40654916,2,0.56833816
4539.483,1,1.0,1,1.0
2267.283,1,0.99615365,1,0.99615365
6663.6016,0,0.62467015,0,0.62467015
3406.7402,5,1.0,5,1.0
351.26697,2,0.79874885,2,0.79874885
0.59800005,0,0.3702886,0,0.3702886
1872.6162,5,1.0,5,1.0
657.25696,2,0.99622345,2,0.99622345
2170.567,2,0.32082772,6,0.67752427
1061.595,0,0.10673549,7,0.631321
2197.741,1,0.5363767,1,0.5363767
335.01804,0,0.23606242,2,0.6067447
3347.5288,5,0.9999392,5,0.9999392
2052.509,1,0.99997187,1,0.99997187
2605.001,2,0.8905163,2,0.8905163
4948.689,1,0.04196672,5,0.9536625
262.391,7,0.87819266,7,0.87819266
1390.4131,2,0.21422823,0,0.41019744
6525.877,1,0.99999523,1,0.99999523
2710.124,5,1.0,5,1.0
2380.489,2,0.9523758,2,0.9523758
2502.8188,6,0.99949276,6,0.99949276
2571.027,2,0.8564994,2,0.8564994
3895.631,1,0.950454,1,0.950454
1473.119,2,0.03527169,0,0.8818865
1364.439,2,0.14230959,5,0.84991205
566.67804,2,0.9746373,2,0.9746373
7847.34,0,0.21076488,1,0.7739567
2972.2559,5,0.99999726,5,0.99999726
1804.269,6,0.81541127,6,0.81541127
6693.595,5,0.9485116,5,0.9485116
