uniqueID,real_label,real_probability,predicted_label,predicted_probability
3488.7031,1,0.09784201,2,0.8792715
3436.5972,0,0.12582842,2,0.77423066
911.7842,4,0.99988973,4,0.99988973
3540.562,0,0.066792645,1,0.93319994
506.84265,4,0.00724737,2,0.98871475
5800.0,1,0.9644394,1,0.9644394
6922.6973,0,0.19478408,1,0.59355545
2745.0508,2,0.9999999,2,0.9999999
949.68036,0,1.5754382e-05,2,0.91045004
2543.5828,0,9.071047e-05,2,0.9781902
331.69092,0,1.7567139e-06,2,0.989556
2411.6497,4,1.0,4,1.0
3146.0947,3,0.9997062,3,0.9997062
2371.1106,2,0.99868745,2,0.99868745
3276.7327,2,0.99996233,2,0.99996233
5838.9746,3,1.0,3,1.0
2820.7358,0,5.1456627e-05,3,0.9630524
1061.2367,2,0.99958867,2,0.99958867
8202.701,1,0.9679481,1,0.9679481
688.8717,2,0.9873338,2,0.9873338
2674.864,3,0.9999807,3,0.9999807
5128.2246,1,0.6125887,1,0.6125887
1765.9192,4,0.99957985,4,0.99957985
1353.0775,4,0.8947293,4,0.8947293
2028.1136,4,0.99999297,4,0.99999297
883.66223,0,3.980693e-06,2,0.9631137
1082.6611,4,0.96617246,4,0.96617246
10483.1875,0,2.1923904e-06,1,0.9999975
1227.5396,2,0.117593125,3,0.8769847
7753.774,0,0.022610202,2,0.77368766
661.0143,2,0.97943753,2,0.97943753
5631.7627,1,0.98054254,1,0.98054254
4727.736,1,0.99763167,1,0.99763167
1128.5032,4,0.5592594,4,0.5592594
9232.904,1,0.57084864,1,0.57084864
191.09094,3,0.24238846,2,0.7565798
3413.6785,0,0.0066190613,3,0.53810257
5678.923,1,0.99993217,1,0.99993217
7747.3457,0,0.018105248,3,0.91170317
4389.7817,1,0.044115745,3,0.9558285
2046.9233,2,0.9927337,2,0.9927337
2295.9885,1,0.21600157,3,0.49061283
2166.9854,3,0.99893206,3,0.99893206
642.9519,0,7.78363e-05,2,0.88502663
702.01636,0,1.5611125e-05,2,0.9862548
4305.3667,1,0.9999032,1,0.9999032
2329.8955,0,0.05767055,2,0.8771548
2959.5957,1,0.99999976,1,0.99999976
3058.0981,1,0.9827304,1,0.9827304
7723.1567,3,0.9991748,3,0.9991748
2545.2288,4,0.9995988,4,0.9995988
2411.7224,3,0.999985,3,0.999985
3088.138,3,0.99952996,3,0.99952996
2322.1565,1,0.012613177,2,0.92291725
2942.975,2,0.99997675,2,0.99997675
348.15137,4,0.06955937,2,0.92848486
253.46082,1,0.0013166129,2,0.98693687
766.3014,2,0.9999597,2,0.9999597
417.264,0,7.279752e-06,2,0.99682367
6745.9688,0,2.4459879e-11,3,0.9548418
2483.8777,2,2.352428e-10,4,0.9999995
116.57948,2,0.9855192,2,0.9855192
7504.822,3,0.008411715,4,0.9898454
2399.986,2,0.2228155,3,0.77395594
1194.2478,2,0.9925607,2,0.9925607
379.92337,1,0.06673456,2,0.90530217
11956.404,1,3.820898e-05,0,0.994975
3050.4082,1,0.8854907,1,0.8854907
2388.325,0,6.1188046e-05,3,0.8311962
1285.539,4,0.99415016,4,0.99415016
10191.269,1,1.0,1,1.0
6326.8154,0,0.04485882,1,0.95061135
2207.4565,4,0.19192597,2,0.8073471
2265.726,1,0.0035643256,2,0.99358034
1012.5598,2,0.99849916,2,0.99849916
10582.475,3,0.43608284,1,0.4598814
1809.2303,4,0.9999932,4,0.9999932
8371.66,3,0.99995947,3,0.99995947
2722.584,0,0.01295285,2,0.77025354
875.5132,2,0.9998716,2,0.9998716
3006.3984,4,0.99999976,4,0.99999976
1339.6797,1,0.00495497,3,0.64015865
3776.0747,3,0.9955835,3,0.9955835
3255.1575,1,0.8649649,1,0.8649649
6811.926,3,0.9998635,3,0.9998635
919.8185,2,0.99994373,2,0.99994373
5250.71,2,0.5842644,2,0.5842644
4472.5317,1,0.9996761,1,0.9996761
7953.548,1,0.13296421,3,0.46017215
8184.343,0,0.41460243,3,0.56770355
7.2178025,2,0.99208754,2,0.99208754
11113.071,0,0.9726643,0,0.9726643
6025.0312,3,1.0,3,1.0
126.112656,4,0.422387,2,0.57276136
521.0557,0,1.2228371e-05,2,0.96124554
122.940506,0,7.773976e-07,2,0.9933571
2565.8032,2,0.92232627,2,0.92232627
951.5286,0,6.2126673e-09,2,0.9999386
1057.6575,2,0.62084526,2,0.62084526
3135.2144,1,0.9999926,1,0.9999926
2799.7805,1,0.17149687,3,0.48718125
5327.892,3,0.9868182,3,0.9868182
4473.6113,0,0.32504663,0,0.32504663
2348.6465,4,1.0,4,1.0
12646.195,2,2.62563e-06,0,0.99802554
273.75128,2,0.99950767,2,0.99950767
2627.7366,0,9.2319056e-07,2,0.80347466
1008.23364,2,0.9945528,2,0.9945528
2428.4575,0,0.00045608776,3,0.47661084
4040.476,3,0.9999882,3,0.9999882
2193.424,4,0.9999956,4,0.9999956
574.89197,2,0.9992163,2,0.9992163
1790.8564,4,0.47564733,2,0.52289885
5111.381,0,0.28310174,1,0.55164236
3019.6694,3,0.0018182764,2,0.99815315
8298.558,3,1.0,3,1.0
7410.8125,4,1.0,4,1.0
2968.0417,0,0.02314567,2,0.5035963
10848.212,0,0.9902096,0,0.9902096
233.57928,0,2.3466328e-06,2,0.99212706
681.5584,2,0.98425496,2,0.98425496
3305.517,1,0.9930636,1,0.9930636
5941.1616,2,0.00890278,4,0.8544127
3523.078,2,0.99120563,2,0.99120563
4502.205,4,0.22983776,2,0.7700499
11254.654,4,0.0408431,0,0.63367385
2996.297,1,0.0005220162,4,0.9336102
3495.4404,3,0.93306965,3,0.93306965
1253.4779,0,7.1621307e-06,2,0.54332644
437.74957,4,0.050413653,2,0.94028205
10852.208,3,1.0,3,1.0
2424.9932,0,0.009123957,2,0.42367938
1927.1968,1,0.986324,1,0.986324
14292.297,0,8.874753e-21,3,0.99998987
194.4852,2,0.99785465,2,0.99785465
1830.8247,1,0.5378107,1,0.5378107
8306.744,3,3.555371e-05,0,0.9999615
6368.1367,4,0.9999926,4,0.9999926
4550.8247,1,0.10373285,2,0.89571524
15.866447,0,4.8885255e-07,2,0.9924539
2143.7236,3,0.0046631116,1,0.58498544
3461.9492,0,0.049150225,2,0.5414887
2271.5999,3,0.9629756,3,0.9629756
3899.5647,4,0.99999833,4,0.99999833
6006.887,3,0.77536345,3,0.77536345
2569.195,3,0.9500247,3,0.9500247
6042.1377,1,0.99634796,1,0.99634796
1897.3091,4,0.9999989,4,0.9999989
3115.763,3,0.999977,3,0.999977
1594.7377,1,0.26035887,2,0.7232162
9023.473,1,0.9994831,1,0.9994831
4134.383,2,0.9995722,2,0.9995722
6698.687,1,0.9999889,1,0.9999889
3198.9292,4,1.0,4,1.0
3991.9111,1,0.059774317,3,0.51041186
1538.4799,3,0.9998987,3,0.9998987
108.08776,3,0.10614094,2,0.89265084
3623.3057,3,0.9999999,3,0.9999999
6186.549,2,0.00059498777,0,0.96815044
705.31213,2,0.9999193,2,0.9999193
1180.0753,0,0.0013138866,2,0.9517464
7099.4346,0,0.0039331266,1,0.99596405
3616.9556,0,0.00016144253,1,0.9356659
7941.0195,0,0.0022585224,3,0.9941837
4051.4146,4,1.0,4,1.0
3993.6196,4,0.9999962,4,0.9999962
2371.5288,1,0.9960188,1,0.9960188
2926.0933,2,0.9985953,2,0.9985953
4127.0713,4,0.9983,4,0.9983
9855.367,1,0.9925022,1,0.9925022
1454.2766,1,0.8603399,1,0.8603399
2866.9854,3,0.99278355,3,0.99278355
1628.0264,3,0.46855915,2,0.50542814
2942.775,2,0.9962289,2,0.9962289
2116.0488,3,0.16195455,2,0.8344784
2093.0576,3,0.9999995,3,0.9999995
11564.595,3,0.9505373,3,0.9505373
6244.454,4,0.954437,4,0.954437
5696.6646,3,0.99858665,3,0.99858665
1472.1093,3,0.8851554,3,0.8851554
6717.1543,0,0.8283479,0,0.8283479
3187.0947,2,0.9999784,2,0.9999784
1752.1328,1,0.022595791,2,0.6150514
2833.0808,3,0.9972257,3,0.9972257
1029.4917,2,0.99630105,2,0.99630105
21.470467,4,0.0014338478,2,0.9852621
4612.8745,1,0.0053820657,3,0.78417224
5837.3076,0,0.00010094578,2,0.64977527
2346.184,1,0.99758923,1,0.99758923
1819.4307,3,0.9998894,3,0.9998894
610.4326,2,0.99316025,2,0.99316025
6508.6123,4,0.99991953,4,0.99991953
3201.6797,0,0.0044343085,2,0.76663667
741.8157,4,0.18461367,2,0.8025394
0.33371955,2,0.9918609,2,0.9918609
2047.5988,2,0.1150159,3,0.88421
1446.7529,3,0.11586623,2,0.86579627
251.95618,2,0.6049186,2,0.6049186
592.1528,2,0.918419,2,0.918419
254.26804,3,0.051409382,2,0.94767684
4824.3457,0,0.007958428,1,0.988316
1285.0728,2,0.99909353,2,0.99909353
8901.338,4,0.9975273,4,0.9975273
4484.566,4,0.22008784,3,0.5106961
3272.2522,2,0.99858594,2,0.99858594
9118.853,0,0.99891126,0,0.99891126
7290.2056,1,0.00056617847,3,0.9993092
1231.217,2,0.19082767,4,0.80514294
3374.6238,1,0.5137973,1,0.5137973
8856.705,1,0.9999807,1,0.9999807
2235.8062,3,0.9976277,3,0.9976277
5000.3057,0,0.001116223,1,0.99375373
5237.4443,3,0.9999201,3,0.9999201
9765.018,2,3.00332e-05,0,0.74267846
235.6483,0,1.1236106e-05,2,0.97905684
1995.729,0,0.0011092997,2,0.7331926
5455.657,1,0.9737075,1,0.9737075
1163.1731,4,0.76585287,4,0.76585287
3894.3535,2,0.9988254,2,0.9988254
533.4714,2,0.9977704,2,0.9977704
2210.6592,0,3.5518653e-05,3,0.909145
8.70031,2,0.99193805,2,0.99193805
1058.3518,2,0.916227,2,0.916227
10440.609,1,1.0,1,1.0
3656.0698,0,3.9235845e-05,1,0.9943321
1736.8259,3,0.9999727,3,0.9999727
5110.1885,1,0.82287896,1,0.82287896
5610.501,3,0.9999738,3,0.9999738
2370.4634,4,0.9991773,4,0.9991773
2473.3408,0,0.00019822264,3,0.720274
2492.5137,3,0.0006054435,2,0.9688833
5507.326,1,0.89417416,1,0.89417416
3589.7693,1,0.0018193431,3,0.9980574
6395.716,0,0.0006210889,3,0.9992748
4453.715,0,0.13788635,1,0.57516485
4878.6895,1,0.99999833,1,0.99999833
5915.0796,4,0.7152784,4,0.7152784
5674.0195,3,0.819014,3,0.819014
7533.001,3,0.9998153,3,0.9998153
4930.9575,3,0.9996822,3,0.9996822
4133.037,1,0.30846512,2,0.6366952
4610.9043,3,0.9997434,3,0.9997434
7108.3643,1,0.99935335,1,0.99935335
5169.975,1,0.99981505,1,0.99981505
837.3815,3,0.9994199,3,0.9994199
1102.1664,2,0.99869555,2,0.99869555
3283.9033,3,0.0001938888,2,0.9998061
1765.6069,0,0.00060671766,1,0.48069778
3995.7227,1,0.10655914,3,0.6885252
171.26263,2,0.99735355,2,0.99735355
2004.2708,4,0.9999999,4,0.9999999
5915.59,0,0.05144776,2,0.9478219
3711.0745,1,0.9999801,1,0.9999801
517.6415,2,0.8070071,2,0.8070071
7033.692,3,0.9993511,3,0.9993511
5542.365,3,0.99999905,3,0.99999905
6415.1514,0,0.018446663,2,0.82380605
4046.6,3,0.9994154,3,0.9994154
235.28954,2,0.99802077,2,0.99802077
5054.732,0,6.325705e-06,2,0.84510136
1406.1897,0,0.0013459683,3,0.60487217
6729.127,1,0.0016500687,3,0.9917536
3379.8691,4,0.9999999,4,0.9999999
10262.357,3,0.0008191332,0,0.7387669
1470.0546,0,0.0002722554,3,0.7612997
3902.5615,3,0.91549295,3,0.91549295
1205.8762,4,0.0153493965,2,0.97975475
3311.01,2,0.9888993,2,0.9888993
3506.431,0,5.4717977e-05,3,0.9714857
4680.867,3,0.010481515,1,0.98951834
5895.709,1,0.92149633,1,0.92149633
3190.794,1,0.9996773,1,0.9996773
1069.736,0,2.0555168e-05,2,0.92460036
0.0,2,0.9926439,2,0.9926439
100.41299,0,8.510879e-07,2,0.99368757
3097.2747,1,0.038738698,2,0.95241547
6024.758,2,0.0008157039,3,0.99054784
777.1899,3,0.17562303,2,0.8242193
8936.497,0,3.674743e-26,3,0.99996746
1044.8667,2,0.99976057,2,0.99976057
6194.51,0,0.2805491,4,0.38685337
8671.919,0,0.99461305,0,0.99461305
9560.672,3,0.99999726,3,0.99999726
3524.67,0,0.0035668986,2,0.99612325
3065.6494,3,0.99992967,3,0.99992967
8990.266,3,1.0,3,1.0
673.6449,2,0.7503614,2,0.7503614
3543.4312,2,0.9968765,2,0.9968765
3934.6597,2,0.8816669,2,0.8816669
2132.0996,4,0.99995935,4,0.99995935
10917.049,2,5.86297e-05,4,0.47487393
2592.7231,4,0.99999976,4,0.99999976
11304.085,1,1.0,1,1.0
21.315718,2,0.9917395,2,0.9917395
3511.4233,1,0.9996557,1,0.9996557
8452.768,1,0.9905556,1,0.9905556
1916.2546,4,0.99817574,4,0.99817574
5194.314,3,0.98692894,3,0.98692894
7910.9346,1,7.212093e-05,3,0.9999279
3487.0684,4,1.0,4,1.0
0.0,2,0.9926439,2,0.9926439
6142.9736,3,0.9999994,3,0.9999994
597.0263,2,0.8393007,2,0.8393007
6109.706,4,0.43317297,2,0.5668243
2790.6885,1,0.9999244,1,0.9999244
4375.8975,4,1.0,4,1.0
2748.807,0,9.007979e-05,3,0.48671168
103.06772,2,0.9509493,2,0.9509493
5050.99,3,0.9999348,3,0.9999348
3412.1702,1,0.023821635,2,0.9023933
2185.9204,0,0.00024216335,2,0.98345953
2240.3323,4,0.99999976,4,0.99999976
3681.3828,3,0.99915683,3,0.99915683
