uniqueID,real_label,real_probability,predicted_label,predicted_probability
2369.6,1,0.64026195,1,0.64026195
2821.3696,0,0.25243482,4,0.38557467
909.4546,4,0.58566666,4,0.58566666
2578.6028,0,0.40225387,1,0.45961398
507.15228,4,0.29695034,4,0.29695034
3824.8433,1,0.8448832,1,0.8448832
4697.821,0,0.49445984,0,0.49445984
1993.1332,2,0.7580858,2,0.7580858
615.6216,0,0.38310662,0,0.38310662
1946.0227,0,0.29976055,0,0.29976055
254.19647,0,0.31523487,0,0.31523487
2318.5798,4,0.9616706,4,0.9616706
2004.3302,3,0.9959877,3,0.9959877
1721.1566,2,0.28646612,2,0.28646612
2489.9253,2,0.13683245,3,0.36756587
4824.3145,3,0.99986124,3,0.99986124
1936.7526,0,0.2557127,3,0.28308865
978.76904,2,0.40230334,2,0.40230334
5418.009,1,0.56407064,1,0.56407064
477.36084,2,0.2987814,2,0.2987814
1742.4956,3,0.9992798,3,0.9992798
3309.0063,1,0.37595677,1,0.37595677
1598.6465,4,0.9374445,4,0.9374445
1240.1504,4,0.5035238,4,0.5035238
2028.1136,4,0.93703413,4,0.93703413
607.9228,0,0.37277275,0,0.37277275
1041.139,4,0.42506617,4,0.42506617
7085.1934,0,0.28991923,1,0.543057
587.60254,2,0.43081897,2,0.43081897
5618.591,0,0.21583056,3,0.42103922
455.9259,2,0.22358713,0,0.31678912
3814.8767,1,0.48064098,1,0.48064098
3299.5972,1,0.3208933,0,0.38415733
1128.5032,4,0.69927526,4,0.69927526
6127.991,1,0.8474561,1,0.8474561
108.29584,3,0.6638059,3,0.6638059
2015.7928,0,0.24044034,1,0.6434262
3601.6313,1,0.37194285,3,0.5874942
5461.2676,0,0.47556037,0,0.47556037
2892.3545,1,0.43847743,3,0.51538926
1513.7745,2,0.22100478,0,0.3145629
1449.203,1,0.34943202,1,0.34943202
1511.3264,3,0.93786997,3,0.93786997
480.2248,0,0.27466366,0,0.27466366
638.0181,0,0.23000015,2,0.30533504
2817.9946,1,0.74074167,1,0.74074167
2108.5425,0,0.22620526,4,0.5310663
1713.0945,1,0.732433,1,0.732433
2015.4236,1,0.71588016,1,0.71588016
5639.4185,3,0.9525258,3,0.9525258
2374.4763,4,0.9629065,4,0.9629065
1550.8726,3,0.9998523,3,0.9998523
1858.0739,3,0.99793977,3,0.99793977
1659.76,1,0.3060025,1,0.3060025
1943.223,2,0.60916495,2,0.60916495
348.15137,4,0.24850556,0,0.2573074
163.18623,1,0.16157766,2,0.29285553
655.8332,2,0.33106834,3,0.36133325
404.3484,0,0.26470548,0,0.26470548
5568.3755,0,0.38116476,0,0.38116476
2483.287,2,0.1390194,4,0.6846577
78.99712,2,0.33611336,2,0.33611336
6780.9355,3,0.6844603,3,0.6844603
1898.9526,2,0.3094933,3,0.43132406
936.5577,2,0.48357135,2,0.48357135
229.51431,1,0.26755124,0,0.29615703
8628.73,1,0.3184437,1,0.3184437
1846.822,1,0.701817,1,0.701817
1742.332,0,0.20648557,1,0.33098096
1241.0103,4,0.34914774,4,0.34914774
6462.4897,1,0.86051595,1,0.86051595
4415.2017,0,0.09190894,3,0.6738284
1976.3192,4,0.79021525,4,0.79021525
1493.4456,1,0.35726705,3,0.6044806
791.63715,2,0.5474288,2,0.5474288
8222.37,3,0.9501327,3,0.9501327
1737.9961,4,0.8323515,4,0.8323515
5815.526,3,0.99554414,3,0.99554414
1805.6929,0,0.4037154,0,0.4037154
798.84235,2,0.6779883,2,0.6779883
3006.3984,4,0.8994689,4,0.8994689
862.9731,1,0.24316593,0,0.26806507
2612.1367,3,0.97967654,3,0.97967654
2231.972,1,0.76618147,1,0.76618147
4715.111,3,0.99342984,3,0.99342984
596.6264,2,0.3378219,2,0.3378219
3379.3384,2,0.5860333,2,0.5860333
2928.7424,1,0.9103659,1,0.9103659
5600.369,1,0.925644,1,0.925644
6051.12,0,0.374699,1,0.40341094
7.2178025,2,0.29424027,2,0.29424027
7720.407,0,0.5662001,0,0.5662001
3839.0786,3,0.9999951,3,0.9999951
126.112656,4,0.4050001,4,0.4050001
334.50635,0,0.4182512,0,0.4182512
88.728096,0,0.21584637,2,0.33734897
1932.0138,2,0.33383903,2,0.33383903
354.21204,0,0.21428348,2,0.29155353
846.3284,2,0.24087389,3,0.38713104
1976.6472,1,0.59296864,1,0.59296864
1833.2128,1,0.27532312,1,0.27532312
3836.184,3,0.94442993,3,0.94442993
2822.8896,0,0.38105863,0,0.38105863
2283.853,4,0.99069476,4,0.99069476
8674.446,2,0.08978523,0,0.48783523
186.50273,2,0.29324666,2,0.29324666
2085.9692,0,0.19290626,4,0.31827596
707.3132,2,0.1826389,0,0.35360256
1693.0684,0,0.39658177,0,0.39658177
2737.9192,3,0.9999962,3,0.9999962
2092.0708,4,0.91294026,4,0.91294026
208.873,2,0.3402212,2,0.3402212
1641.9662,4,0.7495394,4,0.7495394
3565.9875,0,0.611677,0,0.611677
2088.5059,3,0.4643374,3,0.4643374
6305.9097,3,0.99724966,3,0.99724966
