uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A002,0,0.0032194396,3,0.98596907,0.003219439648091793,0.00010224548168480396,6.217587866785834e-08,0.985969066619873,0.009986946359276772,7.873531444602122e-07,8.29961432913251e-10,0.0003037096466869116,0.0004099083598703146,7.797637408657465e-06
S001C001P022R001A003,1,0.61368304,1,0.61368304,0.12137368321418762,0.6136830449104309,0.0002899397222790867,0.22846168279647827,0.0020585134625434875,0.005199669394642115,7.232793564071471e-07,0.02808227203786373,0.0007855583680793643,6.491087697213516e-05
S001C001P022R001A004,2,0.9999671,2,0.9999671,1.1196703286753262e-12,2.0478537976487132e-08,0.999967098236084,8.372184723270948e-09,1.4753197774552973e-07,2.787278496896306e-08,1.8367314780221022e-08,3.2745891076046973e-05,1.0800595084958786e-08,1.4180361773696859e-08
S001C001P022R001A006,3,0.999616,3,0.999616,4.397041266201995e-05,0.00021503896277863532,3.403940354473889e-06,0.9996160268783569,2.4376529836445116e-05,2.6879649794864235e-07,9.613174256628554e-09,7.293064845725894e-05,2.3714581402600743e-05,1.9050203547976707e-07
S001C001P022R001A008,4,0.99962044,4,0.99962044,3.774746073759161e-05,1.0146446811631904e-06,6.8144254683488725e-09,2.3450509161193622e-06,0.9996204376220703,0.00032866213587112725,2.45474363058662e-10,9.816100828174967e-06,4.803930142571744e-09,6.430980192817515e-09
S001C001P022R001A009,5,0.99896,5,0.99896,1.0517548787447595e-07,1.5215049643302336e-05,5.9733040735920895e-09,0.001023335033096373,1.2591249287652317e-06,0.998960018157959,1.5256703235835833e-13,2.3384982839047552e-08,1.2945437610767385e-08,3.85372844746712e-09
S001C001P022R001A010,6,0.67817116,6,0.67817116,7.667628233321011e-05,0.000958694436121732,0.057241667062044144,0.023714765906333923,0.0010453728027641773,1.3107923280131217e-07,0.6781711578369141,0.22014085948467255,0.018613571301102638,3.7168472772464156e-05
S001C001P022R001A013,7,0.8292905,7,0.8292905,5.3385484477530554e-08,0.0008061929256655276,0.1637064516544342,8.813651948003098e-05,3.902742264472181e-06,1.9604502909942312e-08,2.18758486880688e-06,0.829290509223938,0.005570630542933941,0.0005319062038324773
S001C001P022R001A014,8,0.3233272,1,0.5360695,0.1129535511136055,0.5360695123672485,0.00031093729194253683,0.006697801873087883,0.003368298290297389,0.0029643611051142216,0.003400872927159071,0.010758335702121258,0.3233272135257721,0.00014920001558493823
S001C001P022R001A015,9,0.999418,9,0.999418,3.335995923947621e-10,1.4934715864001191e-06,1.7788319374347633e-13,1.4274846860118373e-09,1.9681248818181896e-12,5.177360818710286e-13,1.3209598692665026e-10,1.9772674608731222e-09,0.0005804491811431944,0.9994180202484131
S001C001P022R002A002,0,0.60531545,0,0.60531545,0.6053154468536377,0.0004894838784821332,1.6505372002484364e-07,0.3457791805267334,0.040798090398311615,0.006301389541476965,5.086977505897039e-10,0.00016205260180868208,0.0010695824166759849,8.462158439215273e-05
S001C001P022R002A003,1,0.00017994619,5,0.9507473,0.005288342945277691,0.00017994618974626064,5.043677083449438e-05,0.04286712780594826,0.0008389170398004353,0.9507473111152649,1.726708775962038e-10,2.1267880583764054e-05,6.168093023006804e-06,4.71072041818843e-07
S001C001P022R002A004,2,1.0,2,1.0,6.936240573199954e-15,1.4317382002193568e-10,1.0,2.1234121128088645e-09,1.8164601767178823e-11,1.2484621843278365e-11,9.172229815945787e-12,1.975689478683762e-08,5.130222982541177e-11,1.978899856480698e-11
S001C001P022R002A006,3,0.9956369,3,0.9956369,0.0012990674003958702,0.00027157316799275577,6.035215119482018e-05,0.9956368803977966,0.0014591313665732741,3.6362098398967646e-06,6.153330559754977e-06,0.0008501092088408768,0.0004129128355998546,1.6491351573222346e-07
S001C001P022R002A008,4,0.9983467,4,0.9983467,0.00029102806001901627,1.8072300008498132e-05,8.842092391603273e-09,2.0808488443435635e-07,0.9983466863632202,0.0012648147530853748,1.0943255119855166e-06,4.296878614695743e-05,3.49436049873475e-05,1.8239992982671538e-07
S001C001P022R002A009,5,0.9983082,5,0.9983082,2.1734047450649996e-08,1.258899374079192e-05,1.863033283200366e-08,0.0016792058013379574,3.365573775226949e-08,0.9983081817626953,5.235669465656441e-16,8.001901363741126e-09,3.82770454221415e-10,9.767238233482356e-12
S001C001P022R002A010,6,0.7893674,6,0.7893674,4.057246769662015e-07,5.003074329579249e-05,0.12928059697151184,0.002327906433492899,0.0009591009584255517,1.236637530155349e-07,0.7893673777580261,0.06844816356897354,0.00956386886537075,2.377024429733865e-06
S001C001P022R002A013,7,0.9979056,7,0.9979056,4.335513636988253e-08,0.000936158059630543,3.941310569643974e-05,1.0107976322615286e-06,1.4211616417014739e-07,5.01092334292963e-10,1.4812751032877713e-05,0.9979056119918823,0.001101347734220326,1.5195112155197421e-06
S001C001P022R002A014,8,0.93077356,8,0.93077356,0.00020450055308174342,0.03933348134160042,6.393854710040614e-05,0.009767343290150166,3.1268449674826115e-05,0.004637114703655243,1.1695072998918477e-06,0.015184001997113228,0.9307735562324524,3.5650837162393145e-06
S001C001P022R002A015,9,0.9956404,9,0.9956404,1.712924468932897e-09,1.7296915757469833e-05,6.564456552123066e-13,2.456156096286577e-07,2.945093058315251e-10,1.6421560292134707e-12,1.7307737465444006e-09,4.2090185559118254e-08,0.0043420749716460705,0.9956403970718384
S001C001P022R003A002,0,0.99558854,0,0.99558854,0.9955885410308838,0.0018464281456544995,5.571259293901676e-07,0.0009205418755300343,0.0001385792129440233,0.0012412756914272904,7.145507652239758e-08,5.37084779352881e-05,0.00020885979756712914,1.277947490052611e-06
S001C001P022R003A003,1,0.16056725,0,0.64059937,0.6405993700027466,0.1605672538280487,0.0027314217295497656,0.040805134922266006,0.02975466288626194,0.019631242379546165,0.002064460190013051,0.006239152979105711,0.09652294963598251,0.0010843040654435754
S001C001P022R003A004,2,0.9994087,2,0.9994087,9.037005099798989e-08,2.5161430130538065e-06,0.9994087219238281,1.4086670489632525e-05,0.00010534779721638188,1.053957748808898e-05,0.00042217597365379333,5.478263574332232e-06,2.9495140552171506e-05,1.6419076018792111e-06
S001C001P022R003A006,3,0.9963291,3,0.9963291,0.0005047231097705662,0.0015663853846490383,9.406188837601803e-06,0.996329128742218,0.0005150783690623939,3.3911528589669615e-06,1.1668728916447435e-07,0.0006210758583620191,0.00044004747178405523,1.0614584425638895e-05
S001C001P022R003A008,4,0.99999607,4,0.99999607,7.42475378956442e-08,4.749021620398253e-09,6.746844055660617e-11,8.650991958347731e-07,0.9999960660934448,1.8418260196995107e-06,1.2195135526416045e-11,1.17784713893343e-06,3.144262628040906e-09,1.2258860593306053e-09
S001C001P022R003A009,5,0.9997002,5,0.9997002,3.2723899039410753e-06,0.00018993638514075428,1.630331922797268e-07,9.666526602813974e-05,6.439312869588321e-07,0.9997001886367798,2.3142796815207867e-13,9.029070497490466e-06,8.334174594892829e-08,1.4630572309215495e-09
S001C001P022R003A010,6,0.43137375,6,0.43137375,5.420114757725969e-05,0.0007878647302277386,0.08894165605306625,0.34649941325187683,0.00712098041549325,1.4311757468021824e-06,0.4313737452030182,0.05898814648389816,0.06589171290397644,0.000340815371600911
S001C001P022R003A013,7,0.53407997,7,0.53407997,3.8685393519699574e-05,0.003692297963425517,0.3010861277580261,0.119501493871212,0.003511334303766489,1.1354132993801613e-06,0.005979566369205713,0.5340799689292908,0.03166025131940842,0.00044906686525791883
S001C001P022R003A014,8,0.04636265,5,0.716301,0.05764267221093178,0.06932064890861511,0.09501921385526657,7.160956556617748e-06,9.842227154877037e-05,0.7163010239601135,0.010382327251136303,0.004611490294337273,0.04636264964938164,0.00025439794990234077
S001C001P022R003A015,9,0.9992065,9,0.9992065,1.768201229879196e-08,7.657801688765176e-06,3.420372318707621e-11,4.21338164358076e-09,5.603839059453719e-10,5.1306712350873696e-11,2.514520858198921e-08,1.2203241794850328e-07,0.0007857673335820436,0.9992064833641052
S001C001P022R004A008,4,1.0,4,1.0,9.337637330020243e-10,5.586509588262345e-10,2.2423475836558238e-12,7.247512034957992e-10,1.0,1.9049116062319627e-08,1.743109268037557e-10,1.721564757417582e-08,3.714841628754684e-11,1.1616810811909684e-11
