uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A001,0,1.3718679e-05,7,0.5819238,1.3718678928853478e-05,0.000145896861795336,4.2916712118312716e-05,9.254444433004494e-11,0.0011227838695049286,3.4862765460275114e-05,0.0018118919106200337,0.58192378282547,0.41490408778190613,4.6501508421670223e-08
S001C001P022R001A002,1,0.06840213,7,0.27343947,0.03141641616821289,0.06840212643146515,0.08578431606292725,1.633423198654782e-05,0.08050627261400223,0.19458352029323578,0.2648860216140747,0.2734394669532776,0.0009640745702199638,1.446544160899066e-06
S001C001P022R001A003,2,0.27809754,2,0.27809754,0.015013596974313259,0.07227165997028351,0.278097540140152,8.040021930355579e-05,0.042479708790779114,0.22887660562992096,0.22293700277805328,0.12409664690494537,0.016145551577210426,1.2759453511534957e-06
S001C001P022R001A004,3,0.9991917,3,0.9991917,0.0007102875970304012,8.264571249583241e-09,5.9722293372033164e-05,0.9991917014122009,6.0846655287605245e-06,1.259726286662044e-05,1.661938222241588e-05,8.189126710078654e-09,1.4322861119353547e-08,2.924807631643489e-06
S001C001P022R001A005,4,0.09598351,5,0.59946835,0.0004457394534256309,2.6680510927690193e-05,0.0003140910994261503,1.4303471289167646e-05,0.09598351269960403,0.5994683504104614,0.30319520831108093,0.0005514419171959162,1.507851408177885e-07,4.6184496227397176e-07
S001C001P022R001A006,5,0.6657776,5,0.6657776,0.0002668880333658308,1.4879949048918206e-05,5.273896022117697e-05,5.351820391297224e-07,0.05744649097323418,0.6657776236534119,0.276278555393219,0.0001622266718186438,7.710676186434284e-08,4.36367173506369e-08
S001C001P022R001A007,6,0.47759825,6,0.47759825,1.4055173778615426e-05,2.4999259551350406e-08,1.1949877261940856e-05,7.233109222681833e-09,0.16032573580741882,0.3620191216468811,0.47759824991226196,3.090400423388928e-05,5.769862365667677e-09,8.327191158841174e-10
S001C001P022R001A008,7,0.99941325,7,0.99941325,1.1091836313426029e-05,4.0201495721703395e-05,7.506990868932917e-07,2.3154878014963742e-09,0.00012512422108557075,0.0001062008595908992,0.0002066813176497817,0.999413251876831,9.661217336542904e-05,4.910209128183851e-08
S001C001P022R001A009,8,0.99992514,8,0.99992514,3.7003681541136757e-07,6.315664657918774e-10,6.314060738077387e-05,1.473416549359341e-12,9.097242354982882e-07,1.0981236187035393e-07,6.070097242627526e-06,4.223832092975499e-06,0.9999251365661621,1.4440886637531736e-12
S001C001P022R001A010,9,0.35068652,0,0.64106196,0.6410619616508484,0.00010926065442617983,0.001676257117651403,0.0002529385674279183,0.001262796577066183,0.0040096091106534,0.0009109410457313061,2.948489236587193e-05,1.713001154257654e-07,0.35068652033805847
S001C001P022R002A001,0,0.008181328,6,0.33065203,0.00818132795393467,0.03552663326263428,0.10522176325321198,3.1828510600462323e-06,0.042327817529439926,0.3025977611541748,0.33065202832221985,0.040256258100271225,0.1352330595254898,2.209532254937585e-07
S001C001P022R002A002,1,0.08321712,8,0.7841284,0.0003726758877746761,0.08321712166070938,0.00729566952213645,6.360831150686863e-08,0.007978301495313644,0.0411495603621006,0.05482625216245651,0.021032007411122322,0.7841284275054932,2.3530521531256454e-08
S001C001P022R002A003,2,0.037318625,8,0.94182706,6.353501521516591e-05,0.017565667629241943,0.037318624556064606,3.1819288870416074e-10,0.0006768293678760529,0.00028316513635218143,0.0019871732220053673,0.00027797440998256207,0.9418270587921143,2.8833877507850048e-09
S001C001P022R002A004,3,0.99999917,3,0.99999917,7.311085141736839e-07,8.592052416767082e-12,4.084489901856614e-08,0.9999991655349731,4.243009055215907e-09,2.0817372714532212e-08,5.331211916370648e-09,3.68622493640558e-11,9.687280491665895e-12,6.887963976964784e-09
S001C001P022R002A005,4,0.1022651,6,0.49592507,1.4962425666453782e-05,5.339030053619354e-07,4.659692876884947e-06,1.0772021497018613e-08,0.10226509720087051,0.4017169177532196,0.49592506885528564,7.264128362294286e-05,1.7553173847772996e-07,6.132482077703116e-09
S001C001P022R002A006,5,0.1781283,6,0.5011118,9.50092653511092e-05,2.255900881209527e-06,8.869505109032616e-05,8.072206725273645e-08,0.31965410709381104,0.17812830209732056,0.5011118054389954,0.0009173938306048512,2.221184786321828e-06,9.602936756891722e-08
S001C001P022R002A007,6,0.10495857,5,0.8855091,2.9497897457986255e-07,9.953960500297399e-08,2.8199616508572944e-07,1.1584417869414665e-09,0.00951395183801651,0.8855090737342834,0.10495857149362564,1.7735294022713788e-05,2.3839115570467584e-08,4.323148609930438e-12
S001C001P022R002A008,7,0.9723908,7,0.9723908,1.1847306268464308e-05,0.00014787435065954924,0.0009107677033171058,1.8630286202636626e-09,0.00012136061559431255,3.866010729325353e-07,1.9574958059820347e-05,0.9723907709121704,0.026391414925456047,6.01099782215897e-06
S001C001P022R002A009,8,0.9999883,8,0.9999883,6.436565769263325e-08,1.0237186792716457e-10,6.886290520924376e-06,2.6570423378863284e-13,8.773260873340405e-08,1.536603555507554e-08,6.270376502470754e-07,3.958576598961372e-06,0.999988317489624,5.407249965166429e-14
S001C001P022R002A010,9,0.4610413,0,0.5285413,0.5285413265228271,3.407189069548622e-05,0.0015614847652614117,0.002513854531571269,0.004413744900375605,0.0004981764941476285,0.0013447655364871025,5.0841823394875973e-05,4.581088717259263e-07,0.46104130148887634
S001C001P022R003A001,0,6.745927e-06,8,0.9357441,6.745926839357708e-06,0.022290602326393127,0.0419384203851223,1.6016731052559408e-08,1.6557527260374627e-06,5.5986262736951176e-08,6.990332622081041e-06,1.1379904208297376e-05,0.9357441067695618,2.62241712789546e-08
S001C001P022R003A002,1,0.9729785,1,0.9729785,3.8844596019771416e-06,0.9729784727096558,0.0015696666669100523,5.639861466733009e-09,0.0033874614164233208,0.0015952051617205143,0.00933930929750204,3.1005834898678586e-05,0.011095020920038223,2.6677076103709396e-09
S001C001P022R003A003,2,0.24872355,1,0.6281077,0.08801933377981186,0.6281077265739441,0.24872355163097382,0.0004296557162888348,0.007125338539481163,0.0004468651895876974,0.005053535103797913,0.0028489381074905396,0.00046081244363449514,0.01878420077264309
S001C001P022R003A004,3,0.91647184,3,0.91647184,0.017684081569314003,4.0719005482969806e-06,0.012141677550971508,0.9164718389511108,0.006621628068387508,0.01485466118901968,0.012118581682443619,0.010526797734200954,0.008444181643426418,0.0011324931401759386
S001C001P022R003A005,4,0.26096517,6,0.6728616,0.0010011361446231604,5.912423262088851e-07,0.0010899400804191828,1.2473469723772723e-05,0.26096516847610474,0.05891896039247513,0.6728615760803223,0.0033309203572571278,0.0018130938988178968,6.099874099163571e-06
S001C001P022R003A006,5,0.22493021,6,0.44117913,0.0006240849033929408,0.0013723003212362528,0.00039627583464607596,2.804061125516455e-07,0.3121359646320343,0.22493021190166473,0.4411791265010834,0.019345076754689217,1.5758789231767878e-05,1.015018142425106e-06
S001C001P022R003A007,6,0.6158987,6,0.6158987,0.00013653315545525402,1.5923676528473152e-06,0.0005596214323304594,0.00030252893338911235,0.15011939406394958,0.23247432708740234,0.6158987283706665,0.00046248891158029437,4.4462063669925556e-05,3.644154276116751e-07
S001C001P022R003A008,7,1.0,7,1.0,7.697117943017417e-11,1.0153938800883111e-10,5.263733893201561e-12,5.029625397808338e-14,1.8486787212168565e-08,6.525899820530867e-10,6.4179430658839465e-09,1.0,2.9235746268341245e-08,1.3421304866090278e-11
