uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
S001C001P022R001A002,4,0.58537036,4,0.58537036,0.001624712604098022,0.00021985200874041766,0.006735039874911308,0.4060499966144562,0.5853703618049622
S001C001P022R001A004,2,1.0,2,1.0,1.2635315157442234e-13,1.9414424928809737e-11,1.0,3.907709572592566e-11,5.734554676820394e-14
S001C001P022R001A009,0,0.9999137,0,0.9999137,0.9999136924743652,9.537488576683018e-10,5.160908131074393e-06,8.006978896446526e-05,1.1054552260247874e-06
S001C001P022R001A010,1,0.9718375,1,0.9718375,3.774851364823917e-08,0.9718375205993652,0.0003601822245400399,0.027801567688584328,6.637480964855058e-07
S001C001P022R001A014,3,0.010191991,4,0.9788889,0.010816392488777637,1.4151728464639746e-05,8.855271153151989e-05,0.010191990993916988,0.9788889288902283
S001C001P022R002A002,4,0.9983296,4,0.9983296,0.00045950448838993907,2.0456529910006793e-06,5.25032592122443e-05,0.0011563791194930673,0.9983295798301697
S001C001P022R002A004,2,1.0,2,1.0,3.8003443707940177e-13,1.3348010197145044e-11,1.0,9.200549350163456e-11,3.906660287151045e-14
S001C001P022R002A009,0,0.99999654,0,0.99999654,0.999996542930603,9.35340338514834e-09,5.089107730782416e-07,1.9672579583129846e-06,9.162027367892733e-07
S001C001P022R002A010,1,0.9830322,1,0.9830322,4.57291848832142e-09,0.9830322265625,0.0023733724374324083,0.01459429133683443,9.454704752442922e-08
S001C001P022R002A014,3,0.87791777,3,0.87791777,0.11710818111896515,0.00020553231297526509,0.0007141332025639713,0.8779177665710449,0.004054364748299122
S001C001P022R003A002,4,0.99962485,4,0.99962485,0.00011182269372511655,6.392821774170443e-07,4.444573278306052e-05,0.00021825650765094906,0.9996248483657837
S001C001P022R003A004,2,0.99328905,2,0.99328905,0.00656470749527216,8.432204595010262e-06,0.993289053440094,0.0001263875310542062,1.1521511623868719e-05
S001C001P022R003A009,0,0.99999726,0,0.99999726,0.9999972581863403,8.2043314364455e-09,1.503103703726083e-07,2.26309703066363e-06,3.2009532446863886e-07
