uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A002,0,0.0011933268,3,0.9987392,0.0011933267815038562,6.690237910333963e-07,8.361516232006927e-14,0.9987391829490662,6.677419150946662e-05,1.7468292708589656e-13,5.938471065402932e-18,1.0831049251924796e-10,1.4646173163157528e-09,4.1046208315922983e-13
S001C001P022R001A003,1,0.03657978,3,0.96153134,0.001040975796058774,0.03657978028059006,7.601195367579194e-11,0.9615313410758972,0.0008474359638057649,2.0560078084486122e-08,6.71063465212951e-13,4.367898043255991e-07,8.621974956213307e-08,2.6614305204120114e-10
S001C001P022R001A004,2,1.0,2,1.0,1.8127412234777305e-24,1.1579405678060847e-18,1.0,3.97174907020399e-17,9.64870399288091e-21,2.5076775883099604e-23,1.4388307942832327e-22,1.7695326337574015e-14,6.7089545829653844e-21,8.141015452634962e-25
S001C001P022R001A006,3,1.0,3,1.0,4.4569878343558855e-10,3.6054949248409685e-08,4.582419789632693e-17,1.0,1.792244241904939e-09,1.3528551843001839e-19,4.399460590307703e-18,8.968424093647176e-12,2.4721554664486334e-11,5.0754288645732806e-18
S001C001P022R001A008,4,1.0,4,1.0,9.383545916089496e-20,3.843277150521185e-14,1.519883629489954e-20,2.145368951933513e-11,1.0,4.7554634095188875e-18,2.3714637567041896e-13,2.1338214124852694e-17,7.381744276786734e-19,2.083172139329685e-20
S001C001P022R001A009,5,1.0,5,1.0,2.3656610736902476e-22,2.642969856511563e-18,7.105110884916084e-17,5.263092777709258e-19,1.4797440277768657e-14,1.0,3.796531532590872e-29,6.680622403740657e-24,1.1773701718553121e-17,1.293950980796035e-18
S001C001P022R001A010,6,1.0,6,1.0,8.550906691519281e-24,7.04144605019154e-21,1.6268141720034789e-19,3.9470735843172636e-15,1.626676847097098e-20,2.242965746624574e-25,1.0,2.1600709966079046e-16,4.351427750680571e-24,1.037794404675188e-23
S001C001P022R001A013,7,1.0,7,1.0,2.0836796760277974e-21,1.658956826078306e-12,6.798320933976143e-11,9.709244330426874e-16,2.0880511930869952e-18,1.0046525239452486e-24,3.327403290370855e-19,1.0,8.63510063453532e-09,2.804251813362442e-20
S001C001P022R001A014,8,0.97295064,8,0.97295064,1.6542041691991471e-07,0.0018682654481381178,2.1478645528816287e-09,0.000776930944994092,0.008385882712900639,0.01601327210664749,4.714783244708087e-06,4.756149962759082e-08,0.9729506373405457,7.085469710954584e-11
S001C001P022R001A015,9,1.0,9,1.0,7.296965372583437e-20,8.290097404979539e-17,6.224587827733735e-21,1.2102924636518735e-20,1.3360218972760164e-21,1.6358192590700134e-26,2.018340404792421e-20,5.517343263783238e-24,1.052691445704813e-14,1.0
