uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability,10_class_probability,11_class_probability,12_class_probability,13_class_probability,14_class_probability
S001C001P022R001A001,0,3.0373202e-22,8,0.9999982,3.037320220024977e-22,2.0346768735293676e-22,2.5536575114129874e-19,3.1976585637258408e-18,1.8083899991621494e-13,1.6224899318705802e-21,2.715029867594865e-10,1.8247991420139442e-06,0.9999982118606567,4.997632233092773e-24,1.1163256023270306e-19,1.2533435471524647e-19,2.8467063438987825e-17,7.018109992641711e-19,2.779277023862638e-25
S001C001P022R001A002,1,0.10519805,5,0.60092777,3.22667261798415e-07,0.10519804805517197,5.918345813427095e-09,7.776946946667918e-14,0.0242551788687706,0.6009277701377869,0.26833561062812805,5.224122787694796e-07,4.262490696776283e-13,5.2641655068866474e-17,9.566854259901447e-07,0.0012815995141863823,1.7641353655672987e-10,1.114649439415416e-08,2.670775423041505e-08
S001C001P022R001A003,2,0.10033566,11,0.56741655,0.004590974655002356,3.8191169551282655e-06,0.10033565759658813,2.577624780286669e-09,0.003126960713416338,0.3164214491844177,0.006732938811182976,1.8807821106747724e-05,8.722979032427247e-07,4.817658272315839e-09,0.0011588202323764563,0.5674165487289429,0.00019194482592865825,8.829869102555676e-07,3.2064255606201186e-07
S001C001P022R001A004,3,1.0,3,1.0,1.6172223879073327e-13,7.88795479069685e-25,8.146744030366627e-22,1.0,4.1793911141178335e-20,5.448660135408271e-15,4.223764202197051e-16,7.04722338978234e-21,7.717332077339511e-22,2.997028123771637e-24,4.34296126622033e-13,2.745134255679885e-16,1.2561544686373605e-13,2.1603478642986838e-19,9.320844401345851e-24
S001C001P022R001A005,4,0.18810399,5,0.772502,1.1346744344109538e-07,3.842475925115718e-13,0.0001230852649314329,6.079045711260278e-09,0.18810398876667023,0.7725020051002502,0.038517870008945465,5.367892299545929e-05,1.2122713857060097e-12,5.852845060871914e-05,0.0006101445760577917,2.852013858500868e-05,1.2101609991876927e-10,1.9925089418393327e-06,3.225445258103754e-11
S001C001P022R001A006,5,0.082405336,11,0.45515516,1.5482216397799675e-08,1.569413599078473e-09,1.3477962568231305e-07,2.988422658680291e-15,0.37240126729011536,0.08240533620119095,0.09003709256649017,8.50225098658619e-12,6.735557606500362e-18,1.8676181808406785e-16,9.262079743166396e-07,0.4551551640033722,1.8420406533437017e-08,1.1079132403168934e-11,5.755437257695412e-15
S001C001P022R001A007,6,0.9511178,6,0.9511178,2.599441658018148e-13,2.1680446868406708e-17,5.2825775573523207e-14,1.4757276427173194e-18,0.03851255774497986,0.01036960817873478,0.9511178135871887,2.589468223179736e-11,3.227549899998768e-21,8.299402846577623e-24,1.0012174466236812e-12,4.4261561527036974e-08,1.2650267660653525e-13,5.832501453437131e-17,9.16869544550165e-20
S001C001P022R001A008,7,1.0,7,1.0,1.7777946050363207e-17,1.0797242550538573e-23,4.947836845098363e-13,2.227471244561889e-19,2.0675379810985994e-11,1.5187472861364487e-13,5.387153684976347e-15,1.0,6.765786301600653e-19,5.761146582017318e-08,1.3492907947982923e-16,6.511668484762288e-16,6.4067814536949725e-15,2.3481494319208173e-20,1.2300065962334387e-23
S001C001P022R001A009,8,1.0,8,1.0,2.2194225626868023e-26,3.342690956020881e-29,8.713763105749536e-26,1.7938767383935168e-19,2.1540872536236515e-25,1.6117337061428086e-22,1.4387630504528866e-17,6.342764585377386e-19,1.0,1.0549933228935409e-32,2.20147058448918e-26,1.7997838200716809e-28,2.03325140312296e-31,2.479378189411288e-24,1.344572983827822e-25
S001C001P022R001A010,9,1.0,9,1.0,1.520415390809937e-11,4.7070208552938163e-26,4.65918572389786e-16,7.969094727475551e-19,1.983504630335288e-20,7.77049563139823e-17,1.476376061087375e-24,1.1280637738368464e-22,2.5696595482726298e-26,1.0,7.295848517197777e-21,1.1561580349450635e-17,3.527566117629468e-16,6.886177120437108e-22,8.063841880530482e-24
S001C001P022R001A011,10,1.1657758e-08,11,0.99270636,4.527937580434127e-09,8.181683597285883e-08,2.2146930689359579e-07,2.114937912300885e-11,0.0026203072629868984,0.004608116112649441,6.479449803009629e-05,8.000993201306983e-10,3.314644999447003e-12,9.779533627352066e-09,1.1657758314242983e-08,0.9927063584327698,5.197988220406735e-11,2.844531468010336e-12,1.4018262462292541e-12
S001C001P022R001A012,11,0.99980885,11,0.99980885,7.109654011350219e-12,8.478063136863057e-06,3.873222922945452e-12,2.0414168267054653e-14,0.00017827359260991216,1.4037742346317827e-07,3.9976939660846256e-06,1.0822988555717061e-12,6.181265842582533e-19,2.410370351663832e-13,1.74107597672446e-07,0.9998088479042053,3.700429448538073e-14,1.8671125409652767e-11,2.1241322034626364e-09
S001C001P022R001A013,12,1.0,12,1.0,3.2545258941149915e-14,1.0679641848915302e-22,3.1076406335647575e-18,7.374157708073259e-12,3.183276891403264e-19,8.28085961733467e-19,7.524985282306163e-18,8.812058463103973e-22,2.5979782989153833e-25,1.118145173240013e-23,5.093182853818743e-15,7.422699535741979e-16,1.0,2.744146576638684e-11,2.6876576237857636e-23
S001C001P022R001A014,13,5.40474e-07,8,0.9677067,2.2359716855824274e-10,2.3027055956470477e-11,3.43888387988045e-07,4.616173665539236e-09,0.009986896067857742,4.026262558909366e-06,0.022112548351287842,0.00018455841927789152,0.9677066802978516,3.7189458907960216e-06,3.908547085984537e-08,5.180061179999029e-07,3.455911772032305e-12,5.40473990895407e-07,4.747460020590455e-13
S001C001P022R001A015,14,1.0,14,1.0,1.6871475626603603e-18,1.682962028760842e-19,3.2328389687680273e-19,3.366712132847661e-21,1.6605996227625833e-16,1.783622754196247e-17,2.276439797503269e-15,2.6644265031641207e-21,1.3728829337411016e-24,1.574717121295571e-21,2.1465471312600608e-19,5.2515341386486294e-14,1.7633993979709712e-19,6.893695548215381e-14,1.0
S001C001P022R002A001,0,3.3996925e-09,6,0.9916272,3.3996925274948353e-09,3.3672860964270362e-15,3.3912928021351263e-09,8.042848662626056e-07,4.479096787690651e-06,0.007974204607307911,0.9916272163391113,1.0225194273516536e-06,0.0003921916359104216,4.0101446104818844e-16,2.871193283127127e-10,4.608822834484272e-08,1.2394171626517458e-11,2.193679537066534e-13,8.702883384651208e-14
S001C001P022R002A002,1,0.8287041,1,0.8287041,6.81357096254942e-06,0.8287041187286377,8.041896762733813e-06,2.2380659825405047e-10,0.0036757057532668114,0.14010359346866608,0.01901283673942089,5.46995761396829e-06,1.4768222911243356e-07,6.075541736372259e-10,6.265825192031116e-08,0.008338642306625843,1.2513838498762198e-07,2.9272037238570192e-08,0.00014460616512224078
S001C001P022R002A003,2,1.5372355e-10,8,1.0,7.305119779487529e-14,5.061496198294907e-15,1.5372354777998254e-10,3.2485190540904193e-16,1.5453182353533657e-12,6.074872863862796e-15,7.403969104480268e-11,4.648998200296184e-11,1.0,5.106318399434819e-21,1.5786871321917667e-13,4.685822042882481e-13,3.691616917754839e-15,5.296652860008545e-17,1.0942050156015153e-20
S001C001P022R002A004,3,1.0,3,1.0,1.528131440831082e-11,5.629125642913961e-24,2.230518594482147e-16,1.0,7.109574067158085e-20,1.8684769443472193e-12,6.305309024196275e-16,8.9532664654729e-19,2.0240351714723723e-23,2.0851438018678876e-20,9.04845816329658e-12,2.1307397014823663e-16,1.097094567970025e-10,8.524129299583452e-18,6.574095668396006e-22
S001C001P022R002A005,4,0.59683985,4,0.59683985,1.82926035430242e-11,5.914149920661915e-13,5.836191530050883e-09,5.141078649458593e-16,0.5968398451805115,0.3230012059211731,0.08015881478786469,2.8742126456648975e-09,1.7324665912236386e-19,1.5843158293290064e-19,4.4159695344880845e-10,1.4985535301548225e-07,5.199768740582478e-11,1.32395445115914e-16,7.765451153150636e-17
S001C001P022R002A006,5,1.3306027e-06,4,0.9602253,2.6183395729351133e-12,2.19159282735526e-12,8.459784262004888e-11,1.4547756458379126e-16,0.9602252840995789,1.3306026858117548e-06,7.231685594888404e-05,5.73176082334717e-14,3.942460737288504e-21,4.057546585913485e-15,4.382910105960036e-07,0.03970056772232056,2.0999070537985887e-11,1.6592995866204774e-09,1.4696084315300208e-14
S001C001P022R002A007,6,0.0016001479,5,0.99826497,3.7020303408083835e-14,1.3834537015125897e-17,7.926012548110234e-14,5.06422933538768e-17,0.00013482430949807167,0.9982649683952332,0.0016001479234546423,1.6097127970848835e-12,2.8880390701829546e-20,6.304504864006791e-25,4.131290448627922e-11,6.53670184647126e-08,2.417179245068577e-16,3.8140412961564674e-18,5.670677392260758e-23
S001C001P022R002A008,7,0.99999976,7,0.99999976,1.2924728128027585e-11,4.033370026856886e-10,8.66259342036102e-10,2.552989563068351e-19,2.058768444612724e-07,7.191277196123835e-13,3.5597586076768772e-12,0.9999997615814209,1.492088570753669e-11,1.4394925529348512e-10,1.6287250953310461e-13,3.974698608438798e-12,5.248709800120821e-10,4.175009296614185e-12,2.602063293678978e-18
S001C001P022R002A009,8,1.0,8,1.0,1.9577894478992673e-26,4.2451208655652315e-30,1.4867363291278236e-23,3.597508946218258e-25,2.6117007808807357e-25,1.1359266502463282e-23,3.930447683725276e-19,4.884339958412239e-20,1.0,2.9470036545832674e-35,3.0126108784184566e-28,2.7160041854732116e-28,9.276149183285147e-32,1.9126022082455224e-29,1.2773561084961823e-31
S001C001P022R002A010,9,1.0,9,1.0,1.2211859670187286e-13,6.094693915349396e-23,2.2082912526022573e-19,2.2465595357958014e-20,1.0361108448680804e-20,7.55795029087278e-19,7.038910405117557e-24,2.8503117178735805e-22,1.5638061191846503e-26,1.0,4.9267248868699124e-20,2.8356549627608902e-18,7.762758349384531e-18,1.0389779750095765e-17,8.211320215622456e-24
S001C001P022R002A011,10,1.630017e-06,6,0.64487034,7.598757747473428e-06,1.2649615577231543e-08,2.807805458360235e-06,3.6998405903432285e-06,0.0001539337245048955,0.2294171303510666,0.6448703408241272,4.4695105316350237e-05,0.0005748224793933332,9.13762880465352e-13,1.6300169818350696e-06,0.12492311745882034,1.9290358466150792e-07,1.4907582945866693e-09,4.494028615908974e-08
S001C001P022R002A012,11,1.1057275e-06,5,0.9488787,9.145522312792309e-07,7.312123684322103e-10,1.349687863694271e-05,3.4756510169930976e-11,0.0003929130907636136,0.9488787055015564,0.04968370124697685,0.00021849916083738208,0.0008102998835965991,9.809994664338037e-16,2.758709172212548e-07,1.1057275060011307e-06,7.355970867151118e-12,3.673375622778585e-13,1.8020640775911817e-15
S001C001P022R002A013,12,0.9987387,12,0.9987387,0.0008026150171644986,3.6253842809752523e-12,0.00045826626592315733,4.8396965552982216e-14,2.6936642986399775e-15,9.946373152186494e-14,3.871025536944674e-16,7.850733143432608e-18,1.0261279502142053e-21,1.0963730545654471e-07,1.9019048835833274e-10,3.514032584917004e-07,0.998738706111908,6.478700909084978e-10,1.5121630336789593e-10
S001C001P022R002A014,13,0.02769698,8,0.94219047,2.2674497834884733e-09,9.432163166830931e-14,6.279545772258643e-10,4.199437686480678e-09,0.0279160737991333,7.699667037286417e-08,0.0019584987312555313,0.00023799923656042665,0.9421904683113098,2.938275756037001e-08,2.2782007391697334e-09,2.1870599081763586e-11,8.199219081461706e-09,0.02769698016345501,7.223606157680251e-10
S001C001P022R002A015,14,1.0,14,1.0,1.880991362668283e-09,4.676027518216134e-17,8.760840597627547e-15,6.801541862124854e-21,3.4933611570528285e-18,1.0636623646684165e-15,1.832114894118188e-18,2.0025969013902163e-26,1.144577022831665e-25,1.5110971619270509e-19,3.751552598525639e-16,3.242696042238258e-11,5.991919671555291e-17,1.7426287192770507e-12,1.0
S001C001P022R003A001,0,1.3714905e-24,8,1.0,1.3714904956357734e-24,1.460422009650521e-18,1.2433780725668607e-20,3.0483909399832e-20,6.2596530925567054e-24,5.857462184583605e-28,2.19432326186663e-22,7.775393628358971e-23,1.0,4.8395531851564395e-26,4.764393229816343e-27,5.343243338330384e-26,4.874104214284351e-27,2.3690295728644137e-22,2.1307126887043707e-26
S001C001P022R003A002,1,0.99997926,1,0.99997926,1.0323303843706721e-11,0.9999792575836182,3.3264974108604406e-11,1.688453374790755e-16,3.943822335372715e-08,5.031133842869906e-10,1.9988263488812663e-08,3.606454579418994e-10,1.029390528373142e-08,2.957421888085494e-16,1.8126836837106808e-12,2.073359974019695e-05,4.192878683140222e-12,6.367188026823456e-12,2.0876302075922837e-10
S001C001P022R003A003,2,0.9777654,2,0.9777654,0.00293555436655879,1.2125326520617818e-07,0.9777653813362122,6.679284946312092e-13,9.775302896741778e-05,5.804638902873194e-08,6.565381127643377e-09,1.004931604597914e-07,1.985815593520267e-15,0.0008755095186643302,0.000501709058880806,0.017823664471507072,4.204306947031e-08,1.6907861777326616e-09,2.1096997846609122e-12
S001C001P022R003A004,3,0.99986625,3,0.99986625,5.55825067749538e-07,6.315213976759715e-12,1.5626095972720577e-08,0.999866247177124,2.4405625964618594e-08,5.115410021971911e-05,1.070827124749485e-06,3.443316381890327e-05,2.858072285782942e-12,1.0878799944213924e-10,4.649685070035048e-05,3.2436034302918415e-08,1.0580730069875699e-08,2.528462328399428e-09,2.3696569012576774e-11
S001C001P022R003A005,4,0.083811045,6,0.91403776,3.1456110605176946e-07,9.731877304887393e-14,2.021127265550149e-08,6.195239321549195e-10,0.08381104469299316,0.00020715725258924067,0.9140377640724182,4.287021965865279e-06,2.7708832450734633e-10,8.834315411845937e-17,0.0011403737589716911,7.968417321535526e-07,3.5644327454065206e-06,0.0007946944679133594,1.4072984856443316e-14
S001C001P022R003A006,5,0.011514268,4,0.8436569,1.7682765474091866e-08,5.24127399467722e-12,4.391581820417656e-10,1.4959874515514194e-15,0.8436568975448608,0.011514267884194851,0.12757299840450287,7.58130802580581e-09,1.9792699346621225e-15,1.3868768600992093e-13,4.538779649010394e-06,0.017251204699277878,1.7909213001487956e-10,3.846663432227615e-08,3.244425669964024e-13
S001C001P022R003A007,6,0.5459183,6,0.5459183,8.836715803539619e-10,5.6356595991736026e-15,4.729757030474957e-09,5.911364731048252e-10,0.14248737692832947,0.31158751249313354,0.5459182858467102,1.079190603547886e-08,1.5269531417061444e-08,4.800953471578717e-12,1.3325787051599036e-07,9.964956149133286e-08,4.4344133128936675e-14,6.61792182654608e-06,3.00911392657626e-16
S001C001P022R003A008,7,1.0,7,1.0,5.050923841726227e-31,6.166337093034033e-34,4.529138826514865e-31,1.1552195418087398e-31,1.259124127168036e-28,5.033677910198533e-28,1.036722352651217e-30,1.0,9.235807600437087e-36,2.537777398852526e-32,6.2609567375878776e-27,5.823355794901954e-27,2.154760990140517e-25,5.502110754939466e-37,4.143359299315619e-41
