uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A001,0,2.55449e-19,8,0.9999999,2.5544901203983103e-19,7.877945863573276e-16,9.994786990767721e-21,1.0649318420632241e-17,1.4925170474522353e-13,9.294791859743257e-22,9.367211325182756e-14,9.445426485399366e-08,0.9999998807907104,2.5236649589595315e-23
S001C001P022R001A002,1,0.9991037,1,0.9991037,1.8015802197623998e-05,0.9991037249565125,2.658741227179462e-09,8.024025779755639e-13,1.605067154741846e-05,0.0002550616627559066,0.000606513989623636,6.362303111018264e-07,1.5250895977949458e-13,1.9072291803106583e-17
S001C001P022R001A003,2,0.08198395,5,0.8169296,0.0016229781322181225,4.6627206984339864e-07,0.08198395371437073,1.582473707628651e-08,0.00028642252436839044,0.8169295787811279,0.09917590022087097,5.91722198350908e-07,6.72058604322956e-08,1.2710579117003462e-13
S001C001P022R001A004,3,1.0,3,1.0,6.831254015761336e-16,1.0354879134389801e-25,2.205798110848977e-20,1.0,1.4016224184172741e-24,2.2810086485530057e-18,5.961047719451648e-18,2.872263104158563e-21,4.0980281250722474e-25,2.90297228537379e-22
S001C001P022R001A005,4,0.003276421,5,0.8712419,7.416209086841263e-07,9.66223279164069e-09,6.310586741165025e-06,3.778541923793455e-09,0.0032764209900051355,0.8712419271469116,0.12547336518764496,1.2100458661734592e-06,1.2143323846469656e-10,1.3397620790556175e-09
S001C001P022R001A006,5,0.30446148,6,0.5451725,1.1945467122131959e-06,9.717612270421228e-10,1.2161732065862907e-08,1.6812960257957948e-13,0.1503647416830063,0.3044614791870117,0.5451725125312805,9.461282451939113e-11,1.1980889709690447e-14,7.356358856521839e-16
S001C001P022R001A007,6,0.4732352,5,0.52542865,1.4337749689730117e-06,1.4063930141999803e-12,2.8119080397459584e-08,3.9702973981398104e-13,0.0013346977066248655,0.5254286527633667,0.47323518991470337,2.888636274622769e-10,1.2452258886156255e-15,9.081735886408511e-18
S001C001P022R001A008,7,1.0,7,1.0,5.099712736688245e-16,3.1181631981370446e-17,9.48619618667397e-19,1.7810527040330446e-17,2.8294166597338244e-13,4.507009782744875e-12,4.96241990641938e-13,1.0,3.7742695217267287e-19,5.397127180292911e-16
S001C001P022R001A009,8,1.0,8,1.0,2.7000803686629125e-24,3.1970861870536968e-21,1.1090840013382823e-23,3.2389335288925672e-21,1.0144773329247558e-23,2.1542806318305137e-21,3.007888322841142e-15,1.3422606808639988e-19,1.0,9.112699448868193e-34
S001C001P022R001A010,9,1.0,9,1.0,1.3990914351876189e-15,1.0488865778635006e-23,9.811417245225732e-22,8.612932825207731e-19,1.3988775768975576e-23,3.692321225650481e-15,1.3537166961393321e-20,5.828657201495214e-23,7.135850088982634e-27,1.0
S001C001P022R002A001,0,1.2544564e-05,8,0.91666,1.2544564015115611e-05,4.6227938144127734e-10,1.53919099830091e-05,8.656104182591662e-05,1.4986316188014825e-08,7.935633038869128e-05,0.08314566314220428,4.4133454935035843e-07,0.9166600108146667,9.050345447570753e-15
S001C001P022R002A002,1,0.9999981,1,0.9999981,1.505698066228689e-10,0.9999980926513672,4.2173993464178494e-11,1.2916887611597039e-12,8.705980825141069e-09,3.10406221615267e-07,1.5213691995086265e-06,3.5352305527425187e-09,7.792703982101301e-12,4.96213965544409e-19
S001C001P022R002A003,2,5.314403e-13,8,1.0,1.6414997074283566e-13,3.342710552800554e-10,5.314402889110281e-13,3.155519939855404e-14,1.046760944524612e-14,3.20663353954649e-16,6.9549338510555e-11,2.6040501609962512e-14,1.0,4.619368143671233e-23
