uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
S001C001P022R001A002,4,1.0,4,1.0,6.466742492514631e-15,3.975825002672345e-18,1.4368174356253782e-15,5.513132728118819e-10,1.0
S001C001P022R001A004,2,1.0,2,1.0,6.383712430755209e-27,6.849418631619915e-30,1.0,5.072308598209041e-27,2.6476917584945875e-26
S001C001P022R001A009,0,1.0,0,1.0,1.0,6.054804995166565e-33,5.4826954608289125e-12,3.3037104950259923e-21,4.905351018055334e-18
S001C001P022R001A010,1,1.0,1,1.0,4.668046541321887e-23,1.0,3.683618514382925e-12,1.4864355406263297e-12,7.552630154686053e-16
S001C001P022R001A014,3,0.0029168774,0,0.99704367,0.9970436692237854,3.277769428677857e-05,2.1166408903372513e-10,0.0029168773908168077,6.699629011563957e-06
S001C001P022R002A002,4,1.0,4,1.0,1.1297970371748622e-11,5.89223183459734e-17,2.449906935848324e-14,5.023848958368715e-12,1.0
S001C001P022R002A004,2,1.0,2,1.0,1.252529432963733e-25,2.550169383754464e-25,1.0,1.1090024774941084e-25,9.231015325368941e-29
S001C001P022R002A009,0,1.0,0,1.0,1.0,3.3237166246195124e-31,1.208785498903341e-17,2.4269296282793566e-23,7.820672603487974e-22
S001C001P022R002A010,1,1.0,1,1.0,2.429290255095185e-24,1.0,4.382623170623434e-12,1.6624402592382848e-13,9.407247523280857e-14
S001C001P022R002A014,3,0.05698666,0,0.94301313,0.9430131316184998,3.2361672369640715e-11,1.7405001528914e-07,0.05698665976524353,1.0007307205128768e-09
S001C001P022R003A002,4,0.99999976,4,0.99999976,2.437718933379074e-07,3.0074285957090198e-15,1.2191808326789122e-11,1.6621094778290768e-10,0.9999997615814209
S001C001P022R003A004,2,0.999931,2,0.999931,6.902961467858404e-05,2.6427686034685287e-17,0.9999309778213501,5.996806523578257e-11,1.5017324273003396e-08
S001C001P022R003A009,0,1.0,0,1.0,1.0,4.2026241169418747e-26,2.960214714531269e-16,4.5339010144950276e-20,8.740891691005892e-12
S001C001P022R003A010,1,0.9999999,1,0.9999999,1.6005169371076817e-20,0.9999998807907104,2.540191668121139e-11,9.561469671570677e-12,1.713122657065469e-07
S001C001P022R003A014,3,7.4121087e-09,0,0.98675144,0.9867514371871948,1.0438825151504183e-11,0.01324825081974268,7.412108704585307e-09,1.86550465741675e-07
S001C001P022R004A010,1,0.9999821,1,0.9999821,1.6361907140262255e-17,0.9999821186065674,1.793967021512799e-05,4.733913816501456e-10,3.576553808670724e-08
S001C001P023R001A002,4,1.0,4,1.0,4.553491546532427e-18,4.295175167699897e-16,1.1124840107724466e-20,6.7543605257458506e-12,1.0
S001C001P023R001A004,2,1.0,2,1.0,2.4256060774525767e-23,2.70232822781234e-23,1.0,1.3153289523941402e-21,6.624136965255392e-23
S001C001P023R001A009,0,1.0,0,1.0,1.0,6.968601649705021e-21,1.5071502075957082e-16,2.179487737998607e-17,8.770481230158111e-09
S001C001P023R001A010,1,0.9997521,1,0.9997521,1.6659175073636826e-15,0.9997521042823792,4.3138024619429616e-13,5.116621082379424e-07,0.0002473652712069452
S001C001P023R001A014,3,0.99994767,3,0.99994767,4.519540297565072e-08,2.3623976039277572e-12,1.425576372443907e-13,0.9999476671218872,5.2316885557956994e-05
S001C001P023R002A002,4,1.0,4,1.0,6.196204573732933e-14,7.552508287820767e-14,9.181189103925469e-20,6.362534943349374e-09,1.0
S001C001P023R002A004,2,1.0,2,1.0,2.0176481209428003e-27,3.0325928830739603e-28,1.0,1.4413687806963822e-22,6.737203452167634e-25
S001C001P023R002A009,0,1.0,0,1.0,1.0,2.815757403386518e-25,6.540914150150815e-18,6.144684038486317e-20,1.826717183279255e-14
S001C001P023R002A010,1,0.6693019,1,0.6693019,3.2641502890375096e-13,0.6693019270896912,1.0077191303636823e-09,0.0006914937985129654,0.33000653982162476
