uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A002,0,0.32561803,3,0.5904019,0.32561802864074707,0.05512216314673424,4.2505838258877215e-12,0.5904018878936768,0.01859443634748459,0.004441427066922188,3.4783080860023574e-09,0.005648984108120203,0.00015013277879916131,2.304707231814973e-05
S001C001P022R001A003,1,0.0033516497,5,0.5166566,0.4789588451385498,0.003351649735122919,1.3371207750935705e-26,0.00018254946917295456,0.0008499874384142458,0.5166565775871277,2.890860186205679e-16,3.900121328115347e-07,3.502012235756524e-09,1.5176596646071516e-09
S001C001P022R001A004,2,1.0,2,1.0,1.6283788042380172e-34,6.442848166219897e-18,1.0,5.407721022469282e-23,2.4714279720388653e-31,3.605658944664238e-31,5.26580493082888e-26,1.126393925835813e-17,6.629658092921596e-20,1.169630871520919e-16
S001C001P022R001A006,3,0.9999285,3,0.9999285,5.71237615076825e-05,1.1486006769700907e-05,3.537537978437142e-18,0.9999284744262695,2.5433473638258874e-06,9.143471402239811e-08,3.0960523824308164e-15,2.146181543594139e-07,2.917131203261647e-09,6.84917816906605e-11
S001C001P022R001A008,4,0.9993315,4,0.9993315,1.6032563721068982e-08,6.8775621002714615e-06,1.1906838092504756e-17,4.034229839078307e-09,0.9993314743041992,0.0006613223231397569,3.334783400532615e-07,4.8096659099883254e-08,7.707636306975019e-09,2.725097925093678e-09
S001C001P022R001A009,5,0.99363494,5,0.99363494,0.005868308246135712,2.3794756998540834e-05,3.7929046084578413e-19,4.247514562294441e-10,0.0004725904145743698,0.9936349391937256,1.9209917944545962e-12,1.0425826957316531e-07,1.8861709349948796e-07,1.084337810652869e-07
S001C001P022R001A010,6,1.0,6,1.0,2.8405962046942676e-30,4.5645199320492905e-17,6.223626857765685e-17,5.263782069600764e-24,2.1676838587460744e-14,1.4819911730107382e-23,1.0,1.2602479755835332e-14,1.86907812153461e-17,2.719223229832174e-13
S001C001P022R001A013,7,0.7976378,7,0.7976378,0.012854652479290962,0.013532311655580997,0.00023959192913025618,0.011476222425699234,0.0009455950348637998,7.07097933627665e-05,0.0006910336669534445,0.7976378202438354,0.09720903635025024,0.06534294784069061
S001C001P022R001A014,8,0.11080097,3,0.41498476,0.05518549680709839,0.2873336970806122,5.009445658288314e-08,0.4149847626686096,0.09865422546863556,0.009871479123830795,9.707097206046456e-07,0.022655442357063293,0.11080096662044525,0.0005130249774083495
S001C001P022R001A015,9,0.7944137,9,0.7944137,0.0036525169853121042,0.0124562568962574,1.7403997844667174e-05,6.578688771696761e-05,0.0002881081309169531,6.61640806356445e-05,0.0010433833813294768,0.09281425178050995,0.09518229216337204,0.794413685798645
S001C001P022R002A002,0,0.8618242,0,0.8618242,0.8618242144584656,0.007713812869042158,2.4588739455888024e-17,0.002917361678555608,0.021946430206298828,0.10554080456495285,1.2322479842064027e-11,5.3463310905499384e-05,3.3235039609280648e-06,6.884119443384407e-07
S001C001P022R002A003,1,0.0012943337,5,0.51547486,0.47489625215530396,0.0012943337205797434,9.927243347177141e-17,6.358975042530801e-06,0.008305295370519161,0.5154748558998108,2.464231423082719e-11,1.0599368579278234e-05,1.1149328202009201e-05,1.13837381832127e-06
S001C001P022R002A004,2,1.0,2,1.0,0.0,6.010103644824887e-37,1.0,1.401298464324817e-45,0.0,0.0,0.0,3.068152180157113e-36,2.5608367900532236e-38,4.1365638313323346e-36
S001C001P022R002A006,3,0.5364776,3,0.5364776,0.3988746702671051,0.020839311182498932,3.133152759460245e-08,0.5364776253700256,0.011029262095689774,0.0011623705504462123,2.681723856312601e-07,0.019226113334298134,0.012046136893332005,0.00034423937904648483
S001C001P022R002A008,4,0.9637947,4,0.9637947,0.0023731945548206568,0.010046174749732018,9.175858961540939e-10,1.2510065971582662e-05,0.9637947082519531,0.020074613392353058,2.2974056264501996e-05,0.0007751212106086314,0.002741244388744235,0.00015955156413838267
S001C001P022R002A009,5,0.999907,5,0.999907,6.66474224999547e-05,2.7134663582728535e-07,4.15177715298872e-23,6.133225437937595e-12,2.6047189749078825e-05,0.9999070167541504,4.866711442953124e-16,1.535844229572092e-10,1.037260055625211e-09,1.8141826582662723e-11
S001C001P022R002A010,6,0.99999654,6,0.99999654,2.6148224719095472e-17,1.8437951609939773e-08,1.0566201780193296e-07,2.9637002487564734e-13,9.423544611308898e-09,1.7187352208776138e-14,0.999996542930603,8.85585279775114e-07,1.4861300634549934e-08,2.4804967324598692e-06
S001C001P022R002A013,7,0.7580574,7,0.7580574,0.05042664334177971,0.012204226106405258,0.0002797105989884585,0.011311681941151619,0.0022829489316791296,0.00018027372425422072,0.00035876219044439495,0.7580574154853821,0.12810182571411133,0.03679649531841278
S001C001P022R002A014,8,0.17830259,0,0.6010059,0.6010059118270874,0.046414971351623535,8.11130007605243e-07,0.04857587069272995,0.07440242171287537,0.01675080880522728,4.324997462390456e-06,0.03098169155418873,0.1783025860786438,0.0035607689060270786
S001C001P022R002A015,9,0.6708518,9,0.6708518,0.0011963931610807776,0.005490509327501059,0.00042639003368094563,0.0007242080173455179,9.955724090104923e-05,6.316337930911686e-06,0.0020099524408578873,0.23841693997383118,0.0807778388261795,0.6708518266677856
S001C001P022R003A002,0,0.926676,0,0.926676,0.9266759753227234,0.006448912899941206,1.6582227424334693e-15,0.0011128921760246158,0.011254619807004929,0.054400332272052765,6.772046812208998e-11,7.347358041442931e-05,3.050474879273679e-05,3.2946475130302133e-06
