uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A002,0,0.88439775,0,0.88439775,0.8843977451324463,0.03141264617443085,6.505935346012848e-08,0.05250433832406998,0.00563789252191782,0.003789452603086829,1.7641724525674363e-07,0.01728612370789051,0.002797764027491212,0.002173743210732937
S001C001P022R001A003,1,0.005027765,0,0.57598907,0.5759890675544739,0.005027764942497015,1.444226682689731e-12,0.15926584601402283,0.00043225305853411555,0.2591552734375,5.07550761402048e-13,0.0001267715560970828,2.8266533718124265e-06,2.2783986253216426e-07
S001C001P022R001A004,2,1.0,2,1.0,2.3348946199160545e-27,3.979835558332034e-12,1.0,2.140734489089642e-14,1.1820564434160485e-22,5.273226515486503e-32,1.6328715691002952e-17,1.1924656140999135e-12,2.6474517565190647e-13,6.734913321482239e-11
S001C001P022R001A006,3,0.97901744,3,0.97901744,0.015347838401794434,0.00272353901527822,3.509292128001107e-07,0.979017436504364,8.050684300542343e-06,2.1936519260634668e-05,3.195246511822347e-09,0.0020112372003495693,0.0003746252041310072,0.000494965526740998
S001C001P022R001A008,4,0.45768532,5,0.5423136,1.3535027265643151e-10,2.62423043295712e-07,5.295973446940618e-16,2.357640471739586e-11,0.45768532156944275,0.5423135757446289,6.988413758790557e-08,7.131357619982737e-07,2.556134681697131e-08,2.021290157472322e-08
S001C001P022R001A009,5,0.9999212,5,0.9999212,2.7209198449895666e-08,4.0194549910665955e-09,8.877297164040265e-20,6.770766586283727e-11,7.871421985328197e-05,0.9999212026596069,1.1428093138422715e-14,1.208872668634342e-09,3.0608827972233854e-11,1.5576156900745652e-12
S001C001P022R001A010,6,1.0,6,1.0,6.363853112915298e-33,1.834544614744832e-15,1.1399086156330812e-13,1.3336955325825677e-20,1.2091796270392091e-21,1.857577710747777e-24,1.0,1.0176337550404924e-09,4.991414809821454e-15,7.84708496098796e-12
S001C001P022R001A013,7,0.55399513,7,0.55399513,0.012274212203919888,0.06300178170204163,6.25817192485556e-05,0.034855619072914124,0.0015219994820654392,5.5717944633215666e-05,0.00032125168945640326,0.5539951324462891,0.14891888201236725,0.18499282002449036
S001C001P022R001A014,8,0.28113678,9,0.2987344,0.023037461563944817,0.17834176123142242,1.2321000895099132e-06,0.0735742598772049,0.03917081281542778,0.09393132477998734,0.0006589320837520063,0.011412992142140865,0.28113678097724915,0.2987343966960907
S001C001P022R001A015,9,0.48397356,9,0.48397356,0.03032020665705204,0.04620438069105148,0.00017559219850227237,0.04644737020134926,0.008481825701892376,0.00032299302984029055,0.00018792590708471835,0.06298689544200897,0.32089927792549133,0.48397356271743774
S001C001P022R002A002,0,0.08590616,5,0.828436,0.08590616285800934,0.0028201171662658453,2.133124232805983e-10,0.0027693624142557383,0.07390856742858887,0.828436017036438,3.2679501327237404e-09,0.005983725655823946,0.00015744566917419434,1.865235208242666e-05
S001C001P022R002A003,1,0.002340116,0,0.80339575,0.8033957481384277,0.002340116072446108,3.8842665195382153e-11,0.0005230019451119006,0.002301746280863881,0.19124479591846466,1.3463398174096142e-09,0.00011985535093117505,6.716822827002034e-05,7.515783181588631e-06
S001C001P022R002A004,2,1.0,2,1.0,1.450438059896368e-35,7.210234555813039e-16,1.0,2.221396636938453e-18,1.6517249162387186e-29,1.5532692827808435e-40,3.5053665412219836e-23,7.213477500860941e-17,2.8746240618037228e-18,9.847749040379529e-15
S001C001P022R002A006,3,0.23055206,0,0.39158532,0.3915853202342987,0.0531826913356781,3.68394648830872e-05,0.2305520623922348,0.005337625741958618,0.0006803271826356649,1.0613955055305269e-05,0.10452768206596375,0.13440561294555664,0.0796811580657959
S001C001P022R002A008,4,0.80951124,4,0.80951124,0.03850293159484863,0.009819497354328632,7.493177744954949e-10,0.0001485707616666332,0.8095112442970276,0.1355605125427246,1.065915512299398e-06,0.003141158726066351,0.0029763104394078255,0.0003386949538253248
S001C001P022R002A009,5,0.99993944,5,0.99993944,4.939372022505495e-09,1.2057646547880552e-10,1.5021976873257933e-23,6.29348678206354e-13,6.05691566306632e-05,0.9999394416809082,3.3068819733491802e-18,2.1690654480877036e-11,1.4251760307917166e-13,9.697476925207144e-16
S001C001P022R002A010,6,1.0,6,1.0,3.781968784724153e-25,1.0358660543913212e-12,2.5326305289063988e-11,1.6519311669897216e-16,1.2107936287328238e-16,3.9663892707068914e-17,1.0,1.510143121663532e-08,1.5681400622469255e-11,5.7545106457723705e-09
S001C001P022R002A013,7,0.53560686,7,0.53560686,0.024839719757437706,0.06230524554848671,4.832468039239757e-05,0.03048926778137684,0.002560810185968876,0.00010982121602864936,0.00029053655453026295,0.535606861114502,0.16725699603557587,0.17649246752262115
S001C001P022R002A014,8,0.19421558,0,0.24400304,0.2440030425786972,0.03910842537879944,4.292487574275583e-06,0.11342742294073105,0.023317713290452957,0.16432198882102966,0.00011031003668904305,0.02619859017431736,0.1942155808210373,0.1952926367521286
S001C001P022R002A015,9,0.46296433,9,0.46296433,0.01943654753267765,0.0426015630364418,0.00017121326527558267,0.03908529132604599,0.004165648017078638,0.00018757958605419844,0.00037437022547237575,0.18955345451831818,0.24146001040935516,0.46296432614326477
S001C001P022R003A002,0,0.9313985,0,0.9313985,0.9313985109329224,0.0072000110521912575,1.5333968539366083e-09,0.004208903294056654,0.0034744488075375557,0.05129406228661537,3.686647431777601e-08,0.0009626445826143026,0.0012543367920443416,0.00020715752907563
S001C001P022R003A003,1,0.57059175,1,0.57059175,0.006353996228426695,0.5705917477607727,0.00012692518066614866,0.03421100974082947,0.029319729655981064,0.008526491932570934,0.0005711119156330824,0.01839609257876873,0.2373608648777008,0.09454204142093658
S001C001P022R003A004,2,0.9999963,2,0.9999963,1.9725592433456064e-17,1.4457709767157212e-06,0.9999963045120239,5.387522961086688e-08,1.376934455126974e-13,4.002274350912912e-17,6.293386367595133e-10,3.455913883954054e-07,2.84763331137583e-07,1.6494634564878652e-06
S001C001P022R003A006,3,0.5094677,3,0.5094677,0.40001776814460754,0.03863835334777832,1.5308922911572154e-06,0.5094677209854126,0.0023086804430931807,0.0010116694029420614,3.68430278285814e-07,0.018191542476415634,0.022400518879294395,0.007961791940033436
S001C001P022R003A008,4,0.9755338,4,0.9755338,0.0009039113065227866,0.00041722023161128163,1.5404247972680696e-12,2.1975017716613365e-06,0.9755337834358215,0.022925984114408493,1.2379763880687733e-08,0.00018398641259409487,3.052621832466684e-05,2.5153931346721947e-06
S001C001P022R003A009,5,0.9937669,5,0.9937669,0.006059915293008089,9.478279935137834e-06,4.208275145965322e-16,1.064952925844409e-06,0.00016246709856204689,0.9937669038772583,5.955955536705512e-14,1.0637048575290464e-07,2.2388086051705613e-08,4.422478772081462e-10
S001C001P022R003A010,6,0.9966528,6,0.9966528,3.556119428874821e-14,8.84738165041199e-06,1.617491761862766e-05,1.0252722404402448e-07,2.4965762790429835e-09,8.153036405722514e-12,0.9966527819633484,0.0020155541133135557,4.513720341492444e-05,0.0012614319566637278
S001C001P022R003A013,7,0.48122194,7,0.48122194,0.0005864188424311578,0.07349821925163269,0.00037948277895338833,0.07455500215291977,0.00018844613805413246,3.5023476812057197e-06,0.00044983564293943346,0.4812219440937042,0.10233170539140701,0.2667854428291321
S001C001P022R003A014,8,0.03948943,9,0.6441823,1.7737924906668923e-08,0.015131781809031963,0.26378095149993896,0.00163873506244272,2.434605448797811e-06,1.8901761222878122e-06,0.025769410654902458,0.010002889670431614,0.03948942944407463,0.6441823244094849
S001C001P022R003A015,9,0.41141546,9,0.41141546,0.008783495984971523,0.0592266321182251,0.00022189169249031693,0.0285671204328537,0.0029773006681352854,7.674810331081972e-05,0.0004988693981431425,0.23379823565483093,0.25443434715270996,0.4114154577255249
S001C001P022R004A008,4,0.9971221,4,0.9971221,8.358391312413005e-08,1.3189577430239297e-06,4.9341707350592325e-17,7.875551877312148e-10,0.9971221089363098,0.002875819569453597,4.605153411385565e-11,5.6958384675454e-07,2.4260456754632287e-08,1.4690838545661222e-09
S001C001P022R004A010,6,0.99335456,6,0.99335456,3.1696319830951114e-13,5.615404916170519e-06,1.1634856491582468e-05,1.2562883000555303e-07,3.6924328039589227e-09,1.9820131647030337e-11,0.9933545589447021,0.004680988844484091,6.869159551570192e-05,0.00187830557115376
S001C001P023R001A002,0,0.891571,0,0.891571,0.8915709853172302,0.026669619604945183,3.3901130791491596e-07,0.012646346352994442,0.012384447269141674,0.003609736217185855,1.8599661189000471e-06,0.013337983749806881,0.03354162350296974,0.006237068213522434
S001C001P023R001A003,1,0.06906948,7,0.8003371,0.00016855863214004785,0.06906948238611221,1.084884388546925e-05,0.006326789502054453,0.0001481105136917904,2.667428589120391e-06,0.0006573702557943761,0.8003370761871338,0.027862485498189926,0.0954165905714035
S001C001P023R001A004,2,1.0,2,1.0,6.031520164052642e-26,5.2221833628240955e-12,1.0,6.29173701528242e-15,6.2107834434681896e-21,1.6472968000549903e-27,9.104026584119468e-16,5.82478564079697e-13,4.805826418242953e-13,1.898141019363031e-11
S001C001P023R001A006,3,0.98661774,3,0.98661774,0.007231305819004774,0.004658485762774944,2.436802404304217e-08,0.9866177439689636,2.8081417440262157e-06,7.03634723322466e-05,1.7320886946947667e-09,0.0011150140780955553,0.00019561353838071227,0.00010863957140827551
S001C001P023R001A008,4,0.94893146,4,0.94893146,2.2492133211926557e-05,0.0012900076108053327,4.000275111160079e-11,4.66105393570615e-06,0.9489314556121826,0.03201982378959656,3.201255367457634e-07,0.01753416657447815,0.00018455751705914736,1.2557798982015811e-05
S001C001P023R001A009,5,0.99949753,5,0.99949753,3.278658247674038e-11,7.082202446023755e-12,3.4762965238265236e-25,8.230657095546073e-14,0.0005024803685955703,0.9994975328445435,3.464879932695344e-20,5.261211952212186e-11,2.0792733972720438e-15,1.2339592519212898e-17
