uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability,10_class_probability,11_class_probability,12_class_probability,13_class_probability,14_class_probability
S001C001P022R001A001,0,5.7791505e-07,8,0.9921737,5.779150455964555e-07,7.074108725646511e-05,3.9704638766124845e-05,1.448676855558828e-11,8.877753134584054e-05,1.1400025812235981e-07,0.00010839680908247828,0.007461928762495518,0.9921736717224121,3.3159693657580647e-07,7.342476692429045e-06,3.2642192309140228e-06,8.827852980175521e-06,3.591201311792247e-05,2.862993824237492e-07
S001C001P022R001A002,1,0.17501077,11,0.4331333,0.002780147362500429,0.1750107705593109,0.018602600321173668,9.137802320369204e-11,0.061107516288757324,0.15401042997837067,0.12893837690353394,0.011258292943239212,8.928051101975143e-05,1.6013638415302012e-08,0.014668403193354607,0.4331333041191101,0.0003733299090526998,2.6736428480944596e-05,7.188785389189434e-07
S001C001P022R001A003,2,0.35349208,1,0.52186525,0.001523639541119337,0.5218652486801147,0.3534920811653137,2.8177947822283222e-11,0.0019746716134250164,0.03575100749731064,0.00968195591121912,0.03924808278679848,0.0004498460912145674,2.366413454080174e-10,0.026546314358711243,0.009392239153385162,7.338516297750175e-05,1.2103345170544344e-06,2.9424086278595496e-07
S001C001P022R001A004,3,1.0,3,1.0,7.927282094644106e-12,8.277829941358254e-26,2.8483314560174286e-16,1.0,1.4670005478364364e-24,3.4879135523337074e-19,1.823449615835653e-24,1.7754075799512893e-26,2.6827416073901404e-30,1.839819916087997e-17,2.1355949994528167e-11,1.426833418983397e-22,1.5996185021645466e-14,2.565030434198591e-16,8.709184160990346e-17
S001C001P022R001A005,4,0.008098622,5,0.96258205,7.765579113083731e-08,6.406077446285963e-09,0.00022351564257405698,6.670075424950765e-17,0.008098621852695942,0.9625820517539978,0.028187094256281853,2.1574593120021746e-05,2.1527618798700132e-08,3.5846561829977475e-11,0.00028349438798613846,0.0006035020342096686,1.791146564400492e-09,4.497720806906358e-10,3.145396486672891e-12
S001C001P022R001A006,5,0.95352155,5,0.95352155,5.035553385823732e-06,9.576760930940509e-07,1.4235699381970335e-05,5.635201142590901e-16,0.004777886904776096,0.9535215497016907,0.027905406430363655,3.972371303007094e-07,3.3123506715249107e-10,4.772459418758354e-14,0.00014332137652672827,0.01363115943968296,1.3875188109579994e-08,8.819954766536853e-10,3.766849679398554e-12
S001C001P022R001A007,6,0.6266928,6,0.6266928,0.004643875174224377,0.0031232349574565887,0.002931675175204873,1.291379364554146e-10,0.11593811959028244,0.19046416878700256,0.6266927719116211,0.0007295247633010149,0.0003628474078141153,1.2949514793803019e-09,0.008169109933078289,0.046605728566646576,0.000263632187852636,7.511245348723605e-05,1.8797911138790369e-07
S001C001P022R001A008,7,0.9999994,7,0.9999994,1.7041478100424134e-15,1.8713015512150655e-11,3.4543163884848127e-09,1.5178092156100358e-19,6.627572796125136e-11,5.015403629920643e-15,1.959777555082115e-13,0.9999994039535522,3.8991918027697636e-10,6.251744366636558e-07,9.211079121662635e-11,1.3691692094322527e-12,1.770037241777267e-11,8.11106425299591e-18,2.1566105692333503e-17
S001C001P022R001A009,8,1.0,8,1.0,1.4252575899001418e-12,6.522100914896356e-11,1.0537708483582264e-09,1.0504229080034062e-18,2.8451310751798076e-10,5.073431258439953e-12,1.4880924048554789e-08,3.191234299038115e-08,1.0,6.812160156712682e-14,2.1572756601917487e-12,2.3398942966589356e-14,1.3398489782934231e-11,2.7590899009943826e-10,5.4649200339736484e-14
S001C001P022R001A010,9,1.0,9,1.0,8.513764556303534e-25,4.558129496349638e-34,7.848732448995558e-23,1.1467237919047125e-16,8.881519662573406e-20,1.900054567138888e-25,2.1480265930610195e-22,1.280136072015839e-13,4.024940903338341e-21,1.0,1.8059877934722868e-20,1.991795688453438e-24,1.9378120658774384e-16,2.313169140985747e-24,3.445995607317602e-23
