uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
S001C001P022R001A002,4,0.9998704,4,0.9998704,6.808791397361347e-08,1.1126606302980235e-08,3.8318225545688755e-14,0.00012945527851115912,0.9998704195022583
S001C001P022R001A004,2,1.0,2,1.0,1.9354249549785084e-17,7.1369363752182835e-09,1.0,1.4574531859157247e-10,3.9278005672123536e-16
S001C001P022R001A009,0,1.0,0,1.0,1.0,7.068773870281056e-14,2.2206200979143537e-23,1.1054277493371956e-09,6.508562133689111e-09
S001C001P022R001A010,1,0.99659085,1,0.99659085,1.852619924136434e-08,0.9965908527374268,0.0028854820411652327,0.0005236995639279485,3.433737205682519e-08
S001C001P022R001A014,3,0.14915054,4,0.8497555,0.00032827843097038567,0.0007655851659364998,5.947523007421296e-08,0.1491505354642868,0.8497555255889893
S001C001P022R002A002,4,0.88019043,4,0.88019043,0.1184716522693634,1.8712979610313596e-08,4.0217625779138955e-14,0.0013379096053540707,0.8801904320716858
S001C001P022R002A004,2,1.0,2,1.0,9.462056838919558e-26,5.317385910451615e-16,1.0,7.605995215596544e-18,5.718703535063072e-26
S001C001P022R002A009,0,0.9999988,0,0.9999988,0.9999988079071045,1.7360235001693593e-21,5.48110681395767e-32,1.1611458322624557e-11,1.2055005527145113e-06
S001C001P022R002A010,1,0.98561853,1,0.98561853,1.2508751012774155e-07,0.985618531703949,0.010984458029270172,0.0033962191082537174,7.482537398573186e-07
S001C001P022R002A014,3,0.9450987,3,0.9450987,0.0038037688937038183,0.0022209417074918747,1.1685777963066357e-06,0.9450986981391907,0.04887542501091957
S001C001P022R003A002,4,0.99940073,4,0.99940073,0.00031967158429324627,1.61893311201311e-07,9.970185484500793e-13,0.0002794651372823864,0.9994007349014282
S001C001P022R003A004,2,0.99994457,2,0.99994457,5.2203900924308044e-12,5.450215030577965e-05,0.9999445676803589,9.875145678961417e-07,1.669168102347296e-11
S001C001P022R003A009,0,0.99999404,0,0.99999404,0.9999940395355225,4.361100916581169e-19,6.764033881704999e-29,3.3729197213006046e-10,5.957866051176097e-06
S001C001P022R003A010,1,0.99389666,1,0.99389666,1.1984786851826357e-07,0.9938966631889343,0.001137485378421843,0.004965370986610651,3.877782717154332e-07
S001C001P022R003A014,3,0.425119,1,0.429973,0.06373400241136551,0.4299730062484741,0.0004678214609157294,0.425119012594223,0.08070611208677292
S001C001P022R004A010,1,0.9860345,1,0.9860345,7.984954208950512e-08,0.9860345125198364,0.005073172971606255,0.008888238109648228,3.889686468028231e-06
