uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A002,0,0.97407836,0,0.97407836,0.974078357219696,1.1403058941539257e-08,1.3561103195253166e-13,0.004103328566998243,6.803464202675968e-05,7.175870996434242e-05,3.1502375035831476e-13,6.211917698978331e-12,0.021678371354937553,8.060468559278888e-08
S001C001P022R001A003,1,0.0035208247,3,0.99643505,1.3018511708651204e-06,0.0035208247136324644,2.561453382298601e-13,0.9964350461959839,2.186096207879018e-05,1.0370902145950822e-06,1.603550233229332e-16,9.989199689641737e-09,1.9913879441446625e-05,8.5285186031403e-13
S001C001P022R001A004,2,1.0,2,1.0,7.142092086613071e-33,2.8750409608324495e-18,1.0,1.48627805482941e-29,1.3988231429887553e-32,1.5126666337417937e-18,1.407623968642226e-16,3.68653878582946e-14,1.7014202490904717e-23,6.196412795912215e-23
S001C001P022R001A006,3,0.9999999,3,0.9999999,1.378008263053232e-10,1.5568006972443982e-07,1.4173488333189913e-17,0.9999998807907104,1.7680001559994274e-11,1.2918455166238732e-17,1.0944487068873826e-17,2.746981787003777e-13,1.1966784896344507e-08,8.622807049751802e-16
S001C001P022R001A008,4,1.0,4,1.0,2.283900596051583e-17,7.494176855688331e-14,4.717690630938276e-22,2.8197286356963086e-14,1.0,4.151238380822875e-11,2.6725401947903793e-13,2.2638624170277268e-14,1.5255553981533e-13,9.270204264396094e-25
S001C001P022R001A009,5,1.0,5,1.0,5.268670252362942e-29,1.3215264940815622e-19,8.038162781736115e-25,6.245675660607547e-24,1.6096979388034996e-17,1.0,4.3964764132124195e-32,7.245981966281761e-20,5.658324840226955e-22,4.510734574314941e-34
S001C001P022R001A010,6,1.0,6,1.0,2.8108585359797847e-36,5.8759017150774405e-21,1.4341951698514446e-14,8.779187562257953e-27,6.924537641539094e-20,9.093944604185092e-27,1.0,2.0471221018249913e-14,5.644306087743581e-24,6.664694765638829e-22
S001C001P022R001A013,7,0.98970383,7,0.98970383,9.568585443635784e-19,1.8090589946950786e-05,6.228156879117819e-11,3.5479146283493745e-17,4.538803879421752e-17,2.2425329415697373e-14,1.4628843691966154e-09,0.9897038340568542,0.010278098285198212,4.205993331396485e-10
S001C001P022R001A014,8,0.7093059,8,0.7093059,9.390580089529976e-06,0.014973568730056286,6.37609340325973e-11,0.2029385268688202,0.07275278121232986,1.5489935321966186e-05,6.934091345556226e-08,4.313403223932255e-06,0.7093058824539185,8.049080291172572e-10
S001C001P022R001A015,9,1.0,9,1.0,4.311604080032751e-25,2.84106370157175e-14,1.4929738931999555e-19,1.12614164368098e-30,5.1308778641640726e-30,1.7054473889420056e-25,5.302455035697237e-17,2.753374686844781e-18,2.2724545856167566e-10,1.0
S001C001P022R002A002,0,0.9998628,0,0.9998628,0.999862790107727,1.1821253309562962e-07,7.74957113827419e-16,0.0001182521809823811,1.6866721352926106e-06,5.9528497686756054e-09,1.3387588665414712e-14,1.2575552578442117e-12,1.7112681234721094e-05,5.754485776776619e-10
S001C001P022R002A003,1,1.999902e-05,5,0.99932396,1.513256187024581e-11,1.9999020878458396e-05,2.354467413813151e-15,1.2126456283567677e-07,0.0006559806643053889,0.9993239641189575,4.671186629796805e-19,2.4309472212991068e-09,1.8340339247302495e-09,3.3088326720287334e-18
S001C001P022R002A004,2,1.0,2,1.0,8.689049611221758e-30,1.591158379439018e-15,1.0,5.290820987102029e-23,2.7392295524515606e-27,8.705127170958018e-18,4.225329413204458e-15,4.5218936928215214e-10,2.671917778755589e-21,4.696107901442409e-22
