uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability,10_class_probability,11_class_probability,12_class_probability,13_class_probability,14_class_probability
S001C001P022R001A001,0,2.7741547e-18,8,1.0,2.774154704603032e-18,5.401052545210266e-19,1.5538272708434664e-12,4.6132926525235826e-23,1.3154004461637828e-19,2.1701312644862174e-23,5.922803178926624e-20,3.918962043769625e-09,1.0,1.2370596240933161e-24,2.365204571370211e-19,1.9808783807966496e-30,5.9588380237063365e-12,8.771755891090471e-12,7.551283626156909e-29
S001C001P022R001A002,1,2.3337916e-06,5,0.88853866,1.0111680239788257e-05,2.333791599085089e-06,8.577043963953201e-09,2.955376915414476e-11,0.04108944907784462,0.888538658618927,0.07005058974027634,1.5664623788325116e-05,3.262750624344335e-06,4.2840124487132994e-14,5.016442810301669e-05,0.00023013002646621317,3.0574504039648787e-10,9.6324156402261e-06,4.561127951024924e-13
S001C001P022R001A003,2,0.6818373,2,0.6818373,0.219481959939003,3.3367882679158356e-07,0.6818373203277588,1.2168648311217112e-09,0.00035885765100829303,0.04334201663732529,0.0542030967772007,5.229158705333248e-05,0.0002417461364530027,1.532648487290178e-11,0.00041799352038651705,2.5533003281452693e-05,3.11108015011996e-05,7.652533895452507e-06,3.517216682832891e-12
S001C001P022R001A004,3,1.0,3,1.0,4.119017196263828e-16,9.002988710701516e-28,9.791406526310541e-16,1.0,9.65901547776298e-21,6.060058503989125e-23,3.675252318865466e-20,9.244848302750027e-25,4.705152733699764e-19,1.3279565494860187e-16,1.5160152321870568e-13,3.7279838775362584e-24,1.8956472676301406e-12,5.234146129840363e-17,5.941087101638314e-20
S001C001P022R001A005,4,0.022558605,11,0.5340411,0.0003255970950704068,1.5385557411429218e-11,0.00018000257841777056,1.0664746863398022e-11,0.022558605298399925,0.01157112792134285,0.025403844192624092,5.196433448872995e-06,3.203151502720325e-12,2.283783856471544e-10,0.40581855177879333,0.5340411067008972,5.946324543870674e-10,9.596617746865377e-05,2.667654034412166e-16
S001C001P022R001A006,5,0.93283474,5,0.93283474,6.587299594684737e-06,7.569640443974568e-13,8.184207445083302e-08,1.2462327143283793e-14,0.004903739783912897,0.9328347444534302,0.05536619946360588,3.156939432091832e-10,1.4819455511100744e-15,4.2921895750841724e-17,0.000615688506513834,0.0062729595229029655,1.7292049953390731e-12,8.05247957202937e-09,2.548681904223195e-16
S001C001P022R001A007,6,0.5551432,6,0.5551432,7.916946924524382e-05,2.9683902363041026e-13,8.996557153295726e-05,4.809890550086515e-13,0.019884176552295685,0.42330363392829895,0.5551431775093079,3.56566651760204e-08,1.7098539598081608e-11,4.4885212243458785e-17,0.001363054965622723,0.00013635521463584155,5.47805401041046e-09,3.372675791979418e-07,1.5422717670091177e-15
S001C001P022R001A008,7,1.0,7,1.0,4.021378382246814e-22,1.6887096173145714e-21,3.498350627789687e-17,1.78421354795461e-26,1.733185153388825e-23,8.825029347981115e-25,1.7881595781139451e-25,1.0,1.461882474611525e-14,1.0572161158593008e-19,2.3022126755389595e-21,6.547684352853717e-24,2.3603848587745636e-17,3.6778065621241503e-19,5.129402577611488e-33
S001C001P022R001A009,8,1.0,8,1.0,1.1331913539435649e-23,9.324436873908228e-24,3.7920550670853795e-16,7.450924567305439e-24,9.276899484670885e-23,1.715712515426904e-24,2.871333252983651e-20,1.378654965390096e-14,1.0,6.730613580491911e-29,1.4871254495604658e-26,9.310295380339144e-38,3.1692492110238296e-17,5.474817410310448e-19,1.9871126621060097e-32
S001C001P022R001A010,9,1.0,9,1.0,8.78102755790587e-20,1.2383624335665528e-32,1.0575750993204518e-19,1.8057264667900585e-12,1.3962592489455159e-24,1.5182630220847036e-25,5.125960969710506e-25,1.0650790523484292e-23,1.0607931710503634e-23,1.0,1.1106363833208615e-18,2.1885945934159605e-24,2.2868920781932687e-16,1.901414184291824e-21,3.09277270493572e-27
