uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
S001C001P022R001A001,0,1.2820083e-16,8,1.0,1.282008320819923e-16,5.3291259988587966e-15,2.9218805973769404e-15,4.95144433937075e-20,8.943469545092975e-19,1.2374598182350683e-18,1.1170199346312803e-15,5.893213434610134e-12,1.0,8.694286578664269e-23
S001C001P022R001A002,1,0.1911207,5,0.6223899,0.0336722731590271,0.1911206990480423,1.236407842952758e-05,1.3019467448582844e-10,0.003860112279653549,0.6223899126052856,0.14887993037700653,4.160423486609943e-05,2.3045167836244218e-05,2.6129473695846173e-08
S001C001P022R001A003,2,0.44762143,0,0.5431116,0.5431116223335266,0.0017185029573738575,0.4476214349269867,4.6412759052705255e-11,1.9219833120587282e-05,0.0002041815168922767,0.0018229663837701082,9.760152897797525e-05,0.00540426978841424,3.618987776121685e-08
S001C001P022R001A004,3,1.0,3,1.0,3.1377049265183036e-19,7.388509498008008e-33,3.2088923485285586e-19,1.0,1.288343031015352e-30,1.1487170032845673e-29,3.1044780295070793e-25,1.7176758754467054e-33,3.1037912274814713e-25,2.2951725526546307e-20
S001C001P022R001A005,4,0.6014343,4,0.6014343,0.001955572282895446,1.1411374623016002e-10,0.0027782467659562826,3.5966774697415715e-11,0.6014342904090881,0.037789128720760345,0.3560306131839752,1.221920410898747e-05,2.0026133529249535e-10,6.874622648922468e-09
S001C001P022R001A006,5,0.9248214,5,0.9248214,4.4755950057151495e-07,4.101796593353191e-12,1.0588994125981799e-09,4.176028961652353e-14,0.006758546456694603,0.9248213768005371,0.06841948628425598,1.3359664308154606e-07,3.1128912381800378e-12,4.0665899331748454e-14
S001C001P022R001A007,6,0.111119755,5,0.88416535,1.166229685622966e-05,3.255035477267576e-11,1.511668479281525e-08,3.024541879968756e-13,0.004703067243099213,0.884165346622467,0.11111975461244583,8.797615436151318e-08,2.6067242114846678e-11,1.060503749161952e-13
S001C001P022R001A008,7,1.0,7,1.0,1.8802330243261633e-18,1.897023289593614e-14,8.198270960214395e-16,1.1076622767718478e-25,9.141881015927854e-18,1.7362136418503214e-18,3.963375417465539e-19,1.0,1.5061351688397395e-13,2.678772785189021e-12
S001C001P022R001A009,8,1.0,8,1.0,1.7670523719995925e-23,4.952990698595955e-21,5.475919095332921e-21,5.299700681552513e-26,2.3982190038945123e-28,6.80512862856048e-27,1.076245299575742e-23,7.383627405149999e-20,1.0,1.400346972756051e-29
S001C001P022R001A010,9,1.0,9,1.0,4.9373926087150054e-20,1.0700523194744322e-29,2.110644771251044e-16,7.994798399690861e-14,7.6539051835365e-25,1.5929046095284082e-26,1.2346753590604625e-22,6.9150053543317e-21,3.6651455288732605e-19,1.0
S001C001P022R002A001,0,6.322116e-05,8,0.99949884,6.32211595075205e-05,1.1577420622188583e-07,0.0004349570954218507,2.8444863131582565e-10,3.731248365834716e-10,2.277352173507552e-08,4.230319632370083e-07,2.2669728423352353e-06,0.9994988441467285,6.558936505030033e-09
S001C001P022R002A002,1,0.99837923,1,0.99837923,0.0010206884471699595,0.9983792304992676,3.4580948522489052e-06,7.343601502720828e-14,5.029353815189097e-06,5.037800292484462e-05,0.00019509730918798596,0.00033800877281464636,8.233549124270212e-06,1.3689680500306167e-08
S001C001P022R002A003,2,1.3424851e-06,8,0.99999845,6.32194030458777e-09,1.803971549918515e-08,1.3424851204035804e-06,6.140162348725614e-17,1.49501157981069e-12,1.693255995485754e-12,6.292427134901857e-10,2.63799478261717e-07,0.9999984502792358,6.599382452219615e-16
S001C001P022R002A004,3,1.0,3,1.0,2.218932052303351e-18,3.4413425843839797e-32,9.961682350236296e-19,1.0,7.673268267252474e-30,3.540365035135384e-28,7.334649723927096e-25,1.9564545939422136e-32,4.699198806380484e-26,1.4381572156174345e-20
S001C001P022R002A005,4,0.0021813635,5,0.97632706,1.4932066694228752e-10,1.3130451697243172e-15,8.078143053568895e-14,3.483176909351076e-18,0.0021813635248690844,0.9763270616531372,0.021491559222340584,2.4769690742942885e-09,3.260628935906548e-14,1.6094608274809113e-19
S001C001P022R002A006,5,0.23256561,6,0.58252543,0.00016329569916706532,9.168285575178459e-10,2.788768824757426e-06,1.0019144802003721e-12,0.18474180996418,0.23256561160087585,0.5825254321098328,1.0345245300413808e-06,4.07789392531388e-11,5.825844147377968e-12
S001C001P022R002A007,6,0.038022213,5,0.95954037,6.780560966035409e-07,1.9484676372361065e-10,2.0074372719669498e-10,7.930335126646662e-14,0.00243669212795794,0.9595403671264648,0.03802221268415451,1.0421179297281924e-07,9.245392645906847e-12,5.3896272752922136e-14
S001C001P022R002A008,7,1.0,7,1.0,5.671432426338288e-14,1.6475079980815543e-11,1.832953407110427e-11,3.642919270632285e-23,6.862001608208199e-14,5.790297322156137e-15,2.663083232870545e-15,1.0,1.4386866142857002e-09,5.052887904095915e-13
S001C001P022R002A009,8,1.0,8,1.0,9.734596456672114e-19,2.6050632709655547e-18,1.3112449070740466e-15,4.1032747659832386e-22,1.9319899028636622e-22,9.256657702593568e-20,3.227874437526637e-18,1.4779259827286587e-16,1.0,1.0574532619364432e-28
S001C001P022R002A010,9,1.0,9,1.0,2.3267584120332253e-20,5.076244812888984e-32,3.5176222155264985e-16,4.8623807752520495e-14,1.408869215167377e-25,4.139137858551591e-28,6.401231142508078e-24,1.0447784900362535e-21,2.0242921066246464e-21,1.0
S001C001P022R003A001,0,3.1649395e-15,8,1.0,3.1649394544486405e-15,5.444086686888689e-16,1.8606332295202643e-14,4.645254678893487e-16,1.992520575894689e-21,1.7927736235764306e-21,1.6509223044274274e-17,2.5224435763743355e-15,1.0,5.085046361206537e-16
S001C001P022R003A002,1,0.9986355,1,0.9986355,7.159551023505628e-05,0.998635470867157,9.705212278277031e-08,6.679357587857648e-14,1.3798539839626756e-06,3.4819368011085317e-05,0.0003069680533371866,3.470049341558479e-05,0.0009149623801931739,9.227220765239963e-09
S001C001P022R003A003,2,0.9999796,2,0.9999796,2.042113737843465e-05,8.168799295847629e-14,0.9999796152114868,3.8358863751278293e-16,3.416330107697263e-09,1.2960514653409094e-14,3.0690796570809198e-09,1.2614506661456915e-11,6.234415924049469e-14,3.8529703871859056e-09
S001C001P022R003A004,3,0.929004,3,0.929004,0.05041087791323662,1.357463697004846e-09,0.018758559599518776,0.9290040135383606,8.464611710223835e-06,1.258627435163362e-06,0.00033355862251482904,3.894937435688917e-06,1.9639208403532393e-05,0.001459834398701787
S001C001P022R003A005,4,0.2924684,6,0.67096055,0.00026518633239902556,1.922403347620616e-09,6.541858965647407e-06,3.677367438337242e-12,0.292468398809433,0.036284271627664566,0.670960545539856,1.5022538718767464e-05,3.1706033354339525e-08,9.237532613837196e-12
S001C001P022R003A006,5,0.06921749,4,0.5383751,0.0004622435662895441,1.3482028826672376e-08,2.394115290371701e-05,6.095457255259062e-13,0.5383750796318054,0.0692174881696701,0.39191943407058716,1.8051379129246925e-06,8.754177244219008e-11,7.451879391329186e-12
S001C001P022R003A007,6,0.83521914,6,0.83521914,0.00026153656654059887,1.891627696495868e-12,0.000616803823504597,1.1878323675773572e-05,0.14732219278812408,0.01650310307741165,0.835219144821167,3.1834370020078495e-05,1.1332148375231554e-07,3.334218854433857e-05
S001C001P022R003A008,7,1.0,7,1.0,6.301174786303013e-23,3.1582081365563697e-16,1.1447284642461727e-20,8.497850556692901e-36,3.7510582521271226e-20,5.656406835376437e-21,2.511813428263853e-23,1.0,5.1925936604415266e-20,1.7570933413347334e-20
S001C001P022R003A009,8,1.0,8,1.0,5.386310075324136e-23,5.372712561942375e-20,9.828588989676514e-19,1.258026560877959e-25,1.9564222302317468e-27,2.397033486161665e-25,3.462283502417626e-22,1.3042886705014165e-18,1.0,3.0792535313575344e-30
S001C001P022R003A010,9,1.0,9,1.0,6.404255516742965e-14,7.330852837782654e-23,8.160003922563774e-12,2.3175949007137042e-12,2.968400163000849e-17,2.1218071931143654e-18,1.2212266923628326e-15,3.9126815584994564e-16,4.3848381050292967e-16,1.0
S001C001P022R004A008,7,1.0,7,1.0,3.658584628260345e-24,1.5502820517121832e-18,7.08752471570827e-22,2.6260032962422524e-35,6.642058370409076e-21,9.03836021529685e-21,1.4035386404421465e-23,1.0,1.3560787653084398e-20,5.6553123558725815e-19
S001C001P022R004A010,9,0.9999776,9,0.9999776,2.6820437537544706e-10,1.4116501482646874e-19,4.088795968471004e-09,2.2410526071325876e-05,3.4712619847409025e-16,2.9467621107931967e-17,6.674418369335619e-14,2.5918157865126995e-15,3.293401250499539e-13,0.9999775886535645
S001C001P023R001A001,0,0.90716064,0,0.90716064,0.9071606397628784,1.8570460724731674e-08,0.09273099154233932,2.3238424518012835e-09,2.9010715252297814e-07,1.972975042008329e-06,7.146985444705933e-05,4.91271308078467e-08,8.137283624698455e-10,3.4542372304713354e-05
S001C001P023R001A002,1,1.0,1,1.0,3.6797721120196414e-11,1.0,1.3952060950585634e-15,6.671813825100778e-23,5.325122921150073e-15,1.8708428564466993e-14,1.8463060399119546e-13,3.7438525586977467e-13,8.823539121571855e-12,4.250508161152536e-19
