uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
S001C001P022R001A002,4,0.020406945,3,0.9794988,9.275758930016309e-05,1.4425294239117648e-06,4.8999429513862935e-11,0.9794988036155701,0.020406944677233696
S001C001P022R001A004,2,1.0,2,1.0,2.4818447925584306e-19,4.029166323499256e-13,1.0,3.843952735180102e-21,1.9119163966293882e-29
S001C001P022R001A009,0,1.0,0,1.0,1.0,6.9928313431550756e-37,2.1784968595173646e-26,5.3339909773108035e-21,1.335957020932333e-34
S001C001P022R001A010,1,1.0,1,1.0,4.152458110048058e-26,1.0,1.9402145168267992e-10,4.197491667689826e-21,2.566676785481205e-37
S001C001P022R001A014,3,0.9984479,3,0.9984479,1.1322686987114139e-05,0.0015407770406454802,3.523981453867897e-11,0.9984478950500488,2.6536177699654218e-09
S001C001P022R002A002,4,1.0,4,1.0,2.23559624146219e-08,3.063806261645319e-14,1.1245747273669598e-15,1.4667151937430845e-09,1.0
S001C001P022R002A004,2,1.0,2,1.0,1.970730305652221e-18,7.675994849508719e-14,1.0,1.0500062157698326e-18,3.312951179153891e-27
S001C001P022R002A009,0,1.0,0,1.0,1.0,4.540207024412407e-43,1.810351578232466e-30,1.0339245838908829e-18,1.988937302549087e-35
S001C001P022R002A010,1,1.0,1,1.0,1.784439852426795e-24,1.0,1.2805618787581352e-08,2.195984614545058e-19,1.3528648541299807e-35
S001C001P022R002A014,3,0.99980193,3,0.99980193,0.0001693747180979699,2.8732159989885986e-05,1.0482208634074452e-12,0.9998019337654114,3.641077240060242e-13
S001C001P022R003A002,4,0.9984509,4,0.9984509,0.0015386187005788088,4.206374804027746e-09,7.02839782901199e-12,1.0514073437661864e-05,0.9984508752822876
S001C001P022R003A004,2,0.9999237,2,0.9999237,2.7411102564656176e-05,4.658296893467195e-05,0.9999237060546875,2.222919192718109e-06,1.4040805227744178e-14
S001C001P022R003A009,0,1.0,0,1.0,1.0,8.50870389355879e-39,1.1027915306090145e-27,6.130332454858522e-20,1.1652386217888438e-33
S001C001P022R003A010,1,0.99999917,1,0.99999917,2.9761498320442203e-19,0.9999991655349731,8.91126603619341e-07,8.044239712822095e-15,2.4424675152007075e-29
S001C001P022R003A014,3,3.6668357e-09,0,0.9999906,0.9999905824661255,7.551768987923424e-08,9.242046871804632e-06,3.66683572394777e-09,5.382849815849474e-23
S001C001P022R004A010,1,0.9999949,1,0.9999949,4.5289904567886066e-18,0.9999948740005493,5.093258096167119e-06,4.752634951441046e-15,2.4128258343717285e-27
S001C001P023R001A002,4,1.0,4,1.0,1.9135372811025092e-13,1.3626515484011469e-16,3.5866809854240703e-19,1.0794302084116136e-11,1.0
S001C001P023R001A004,2,1.0,2,1.0,5.144832805359942e-15,4.835414837631169e-13,1.0,1.1812221732969592e-15,5.854962090235058e-20
S001C001P023R001A009,0,1.0,0,1.0,1.0,7.623152350185392e-28,8.705939631956194e-22,4.4244816144178856e-13,1.0007364987751313e-15
S001C001P023R001A010,1,1.0,1,1.0,1.5254501612288492e-25,1.0,1.4751505681039057e-14,3.9006532274273023e-17,1.844350521645799e-34
S001C001P023R001A014,3,1.0,3,1.0,1.0565461838751844e-09,1.0995649946110575e-09,6.92392513766335e-14,1.0,4.063381098262653e-08
S001C001P023R002A002,4,1.0,4,1.0,3.709053734719109e-13,5.4549643475248e-14,8.034451611841861e-18,3.537447834656149e-10,1.0
S001C001P023R002A004,2,1.0,2,1.0,2.0600898258951062e-19,4.727153998101974e-12,1.0,1.5490221005429e-19,1.2365415340424115e-30
S001C001P023R002A009,0,1.0,0,1.0,1.0,3.426817380749917e-38,1.406655320177705e-27,1.8078921506504914e-18,5.388677354610141e-29
S001C001P023R002A010,1,0.9918502,1,0.9918502,9.346878468690506e-14,0.9918501973152161,4.148147103588684e-12,0.00814981758594513,1.267859694227224e-16
S001C001P023R002A014,3,1.0,3,1.0,2.5677081988417783e-12,1.06362037233243e-10,2.643083461496891e-16,1.0,3.788751864325368e-12
S001C001P023R003A002,4,0.42012915,3,0.57986945,1.1182092585215742e-08,1.4009298183736973e-06,7.207400366630867e-13,0.5798694491386414,0.4201291501522064
S001C001P023R003A004,2,1.0,2,1.0,4.5463533138882185e-20,8.917231102828493e-13,1.0,2.329778105945184e-20,3.558264387297276e-28
S001C001P023R003A009,0,1.0,0,1.0,1.0,8.91983070726605e-25,6.850133391674802e-20,8.05289029903733e-11,4.559620273093675e-21
S001C001P023R003A010,1,0.9999999,1,0.9999999,1.570819498755803e-18,0.9999998807907104,1.0912525283401919e-07,7.976539350904033e-13,2.209801048092951e-25
S001C001P023R003A014,3,1.0,3,1.0,9.0237824157402e-11,1.9941335249740177e-09,1.778230476279577e-15,1.0,3.5152203370358848e-09
S001C001P024R001A002,4,0.9999087,4,0.9999087,3.768350097743678e-06,1.2970607921047872e-09,1.3426935119298378e-08,8.752419671509415e-05,0.9999086856842041
S001C001P024R001A004,2,1.0,2,1.0,9.895823057045437e-18,8.385203508376893e-15,1.0,8.534317517752145e-17,9.455525933440943e-26
S001C001P024R001A009,0,1.0,0,1.0,1.0,9.082802226769806e-30,1.1782417720667592e-17,8.783294594026311e-15,1.3961459056571728e-26
S001C001P024R001A010,1,0.97736686,1,0.97736686,6.515445614519477e-21,0.9773668646812439,0.02263316698372364,1.5177562243520442e-19,4.6616998240421936e-33
S001C001P024R001A014,3,1.0,3,1.0,5.183123708007997e-09,1.726087189846126e-10,1.2609596526658162e-14,1.0,2.7913908962062806e-09
S001C001P024R002A002,4,1.0,4,1.0,1.1231156976654333e-10,6.082899348070978e-14,9.175825247190184e-14,1.1084616557965887e-09,1.0
S001C001P024R002A004,2,1.0,2,1.0,1.1157508675180565e-15,1.8296998360867178e-09,1.0,4.091272134444657e-14,6.157627345101756e-23
S001C001P024R002A009,0,1.0,0,1.0,1.0,1.6671926175117114e-33,2.6999786844922295e-23,7.968590565028103e-16,7.883821190368371e-28
S001C001P024R002A010,1,1.0,1,1.0,4.888740126303727e-27,1.0,2.2584631387267962e-10,2.627493474463964e-22,1.732393767834518e-36
S001C001P024R002A014,3,1.0,3,1.0,1.9255608121448303e-13,1.728280366042334e-11,1.2280928042990025e-17,1.0,1.0547832572649352e-11
S001C001P024R003A002,4,1.0,4,1.0,1.533878232762298e-11,4.666993245854012e-13,1.0422067871804046e-14,1.7496063264843542e-08,1.0
S001C001P024R003A004,2,1.0,2,1.0,4.451935819946046e-16,1.3897251405214917e-10,1.0,2.4301696766038106e-10,5.033270838866214e-22
S001C001P024R003A009,0,1.0,0,1.0,1.0,1.6815581571897805e-44,3.563337151353843e-32,9.283063706893155e-22,2.619688422064448e-36
S001C001P024R003A010,1,1.0,1,1.0,7.186952148385084e-30,1.0,8.985739236022638e-11,8.701173995037857e-26,1.8368220270369702e-41
S001C001P024R003A014,3,1.0,3,1.0,1.054779805165218e-10,1.934627180677495e-10,2.789568841763193e-14,1.0,1.1848474423814537e-09
S001C001P025R001A002,4,1.0,4,1.0,8.003868957885652e-16,1.3150543227762176e-19,3.947872449316065e-22,1.489671656259336e-15,1.0
S001C001P025R001A004,2,0.9999083,2,0.9999083,2.4613911779537874e-14,9.166490053758025e-05,0.9999083280563354,2.8126532353178746e-11,8.176449326126532e-21
S001C001P025R001A009,0,1.0,0,1.0,1.0,4.203895392974451e-45,2.7551424673668906e-31,2.2440978606311794e-23,1.5145514062115488e-40
S001C001P025R001A010,1,1.0,1,1.0,5.637628268351963e-19,1.0,5.5657856795621186e-12,2.2717296793706154e-11,8.939830895011344e-24
S001C001P025R001A014,3,1.0,3,1.0,2.5425474798609427e-15,2.0702235481451225e-09,1.802120077873748e-20,1.0,1.1379036547656124e-13
S001C001P025R002A002,4,1.0,4,1.0,6.272524275159619e-13,5.6952233795409986e-15,4.328596109948346e-17,5.39487954309692e-10,1.0
S001C001P025R002A004,2,0.9999995,2,0.9999995,2.037720339687077e-11,2.3500421053590514e-10,0.9999995231628418,5.050025038144668e-07,2.9098204893343745e-16
S001C001P025R002A009,0,0.9996921,0,0.9996921,0.9996920824050903,1.1397901158561092e-17,2.922919059770274e-16,0.00030788395088166,2.6845591179734674e-13
S001C001P025R002A010,1,1.0,1,1.0,7.565305994469907e-19,1.0,3.007221641843083e-12,1.0730522373436635e-11,6.31623374655323e-25
S001C001P025R002A014,3,1.0,3,1.0,3.683464123993563e-12,2.238935148390908e-10,3.290694113385003e-20,1.0,5.40034241148157e-15
S001C001P025R003A002,4,0.99988866,4,0.99988866,1.2233923596394192e-10,2.2812861322218936e-10,1.032763047444877e-14,0.00011127596371807158,0.9998886585235596
S001C001P025R003A004,2,1.0,2,1.0,2.3575848937601022e-18,1.9746248906826747e-14,1.0,1.0065762107288809e-13,3.1981286379465233e-25
S001C001P025R003A009,0,1.0,0,1.0,1.0,1.028834733805745e-39,2.5416301031224024e-27,2.4589275468924958e-18,3.848156493822206e-32
S001C001P025R003A010,1,1.0,1,1.0,1.2484966049936642e-28,1.0,2.9003259382099234e-15,3.077797998358188e-22,4.759713422356568e-39
S001C001P025R003A014,3,0.9999274,3,0.9999274,7.090036768949391e-15,7.26474609109573e-05,8.888054736644335e-10,0.9999274015426636,1.4564040078102192e-12
S001C001P026R001A002,4,0.99910945,4,0.99910945,9.757810914834408e-08,3.5065962578073595e-08,5.395168756194835e-09,0.0008903940906748176,0.9991094470024109
S001C001P026R001A004,2,1.0,2,1.0,5.9857394258590484e-21,3.6749639789612765e-13,1.0,1.642740468410679e-20,1.2029833174373967e-27
S001C001P026R001A009,0,1.0,0,1.0,1.0,1.6040005226800798e-28,1.0859561055768466e-18,1.1127595833703222e-13,2.0741868899258278e-21
S001C001P026R001A010,1,0.999995,1,0.999995,2.244822333983312e-16,0.9999949932098389,4.951643404638162e-06,5.784495799021627e-11,9.768719296760867e-22
S001C001P026R001A014,3,1.0,3,1.0,1.0171290892868612e-13,3.024796058070933e-08,1.6941128201338786e-14,1.0,5.084911224723099e-12
S001C001P026R002A002,4,1.0,4,1.0,5.806402721911935e-14,4.956578462283253e-15,3.50589707923607e-18,2.1457832732885151e-10,1.0
S001C001P026R002A004,2,1.0,2,1.0,1.3126993395722792e-18,4.985993714255732e-14,1.0,5.74110907997023e-18,8.207961517058961e-26
S001C001P026R002A009,0,1.0,0,1.0,1.0,5.819561250688325e-26,1.5101036828723545e-22,2.65467877715031e-12,1.3506248485913608e-23
S001C001P026R002A010,1,1.0,1,1.0,6.001681829669974e-19,1.0,5.857787144236681e-09,1.1951895202699792e-11,1.819151718608279e-21
S001C001P026R002A014,3,0.9520184,3,0.9520184,6.35185915598413e-06,1.2513238289102446e-05,2.395882177097519e-07,0.9520183801651001,0.04796261340379715
S001C001P026R003A002,4,1.0,4,1.0,1.429612992657342e-13,8.79723919155784e-16,3.1852083581335755e-19,1.1026222296317556e-10,1.0
S001C001P026R003A009,0,1.0,0,1.0,1.0,4.1412686068483973e-36,7.928154653240707e-28,6.553655378562092e-17,1.6991190429045504e-29
S001C001P026R003A010,1,1.0,1,1.0,1.867194281094275e-27,1.0,1.3079261285131594e-10,1.9637332365494233e-21,4.396784014484885e-37
S001C001P026R003A014,3,0.080696106,4,0.9192997,4.110105237487005e-06,3.6705515071844275e-08,4.937917186254026e-09,0.08069610595703125,0.9192997217178345
S001C001P027R001A002,4,1.0,4,1.0,8.292319569446881e-15,3.1703860880577224e-17,6.981320359416591e-21,7.591144509863645e-13,1.0
S001C001P027R001A004,2,1.0,2,1.0,6.3984430429865195e-18,1.284442691096288e-10,1.0,4.328841699872213e-18,6.406770203309797e-26
S001C001P027R001A009,0,1.0,0,1.0,1.0,8.79134209438516e-37,5.548106509481997e-27,6.550206366279991e-17,1.1461033245093558e-30
S001C001P027R001A010,1,1.0,1,1.0,6.657226019961036e-29,1.0,3.981008095876523e-14,3.7427338409699e-23,3.5032461608120427e-44
S001C001P027R001A014,3,1.0,3,1.0,9.751215405886388e-14,3.3727404202821276e-10,8.792001483919155e-17,1.0,8.920851279903275e-10
S001C001P027R002A002,4,1.0,4,1.0,4.44945941324563e-15,2.4251892650738465e-16,3.196333420384531e-19,1.3849844665222988e-12,1.0
S001C001P027R002A004,2,1.0,2,1.0,6.844960927906932e-20,1.1439510634331934e-13,1.0,5.207865724838857e-21,3.133466653732712e-29
S001C001P027R002A009,0,1.0,0,1.0,1.0,0.0,0.0,7.330036588641468e-32,0.0
S001C001P027R002A010,1,0.9999999,1,0.9999999,1.7082886401111776e-22,0.9999998807907104,1.598306624828183e-07,1.65193725503903e-16,5.316746025501081e-35
S001C001P027R002A014,3,1.0,3,1.0,1.0038704589820924e-10,2.0393514654770684e-10,1.8235772321437832e-14,1.0,7.349549857593729e-10
S001C001P027R003A002,4,1.0,4,1.0,2.1141017244670257e-16,3.161328460350267e-17,2.17131654377353e-22,9.275809693910439e-14,1.0
S001C001P027R003A004,2,1.0,2,1.0,8.593925765694911e-20,2.273342104841536e-11,1.0,1.5506005937961985e-19,4.086370071368037e-31
S001C001P027R003A009,0,1.0,0,1.0,1.0,0.0,0.0,2.369695371806767e-32,0.0
S001C001P027R003A010,1,1.0,1,1.0,1.3085553094599957e-17,1.0,2.2654575155926782e-13,1.6495755872369955e-09,2.94029240930343e-25
S001C001P027R003A014,3,0.99999416,3,0.99999416,5.7179998513845476e-09,9.207197848581927e-08,2.175744584498318e-10,0.999994158744812,5.699856501450995e-06
S001C001P028R001A002,4,0.99784994,4,0.99784994,5.880274784431094e-06,7.157903436638691e-11,1.043275912166429e-14,0.0021441893186420202,0.9978499412536621
S001C001P028R001A004,2,1.0,2,1.0,1.5227919448249022e-19,3.3421426433657975e-14,1.0,6.112025267692104e-20,1.4406992375067848e-28
S001C001P028R001A009,0,1.0,0,1.0,1.0,6.432982172445631e-31,1.4978767806035358e-23,1.5006776000353085e-14,6.737858086348346e-29
S001C001P028R001A010,1,1.0,1,1.0,1.0728365331544411e-20,1.0,9.023002831010096e-12,4.44238711165253e-15,1.5030832428564718e-26
