uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
-449.7554,2,1.0,2,1.0,1.8348041e-22,2.7408993e-14,1.0,1.2166784e-16,3.7656332e-23
-707.56116,1,1.0,1,1.0,3.176707e-16,1.0,7.0390746e-12,1.3953627e-12,3.7284666e-17
-187.24423,4,1.0,4,1.0,1.108943e-18,4.3424092e-23,1.1011093e-21,2.0196128e-11,1.0
28.215927,0,1.0,0,1.0,1.0,1.9077672e-18,2.500472e-18,1.4645828e-12,1.4626082e-17
-135.72491,2,0.013367776,3,0.9866289,2.1842416e-06,2.2342902e-11,0.013367776,0.9866289,1.1049127e-06
-760.6719,1,1.0,1,1.0,5.289085e-12,1.0,1.3440737e-09,2.4359728e-08,9.079448e-10
-468.04703,4,1.0,4,1.0,1.8230546e-15,2.585137e-17,1.6495029e-13,2.7091115e-10,1.0
-599.38306,3,0.9954396,3,0.9954396,1.8674015e-06,4.449314e-10,4.3487024e-13,0.9954396,0.004558597
-761.5533,1,0.60406506,1,0.60406506,5.475755e-10,0.60406506,0.39481434,0.0009727902,0.00014777953
-174.3325,0,1.0,0,1.0,1.0,8.948437e-22,2.4838293e-15,4.7397394e-12,1.0534467e-14
-100.71353,2,1.0,2,1.0,6.274378e-17,1.1609274e-12,1.0,2.2264717e-09,3.9907656e-16
-423.615,0,1.0,0,1.0,1.0,3.4191517e-16,3.2729795e-20,4.7857757e-13,6.524737e-19
-541.7544,2,1.0,2,1.0,3.024668e-20,3.606302e-18,1.0,7.265563e-13,1.2186142e-18
-674.19104,3,0.9999101,3,0.9999101,1.9298561e-06,1.7871739e-06,2.961919e-09,0.9999101,8.619171e-05
-325.43918,3,0.9951651,3,0.9951651,0.0011022339,5.7762014e-07,9.937812e-07,0.9951651,0.003731159
84.27626,4,0.9999945,4,0.9999945,3.106727e-08,2.1943274e-15,1.8608873e-16,5.459833e-06,0.9999945
-448.037,3,0.98963845,3,0.98963845,9.142045e-06,5.08022e-09,3.0198846e-09,0.98963845,0.010352397
-675.3699,4,1.0,4,1.0,5.3045872e-14,7.886818e-16,8.103539e-14,4.218009e-08,1.0
-441.3368,1,0.12774803,3,0.867288,2.077326e-09,0.12774803,2.4595358e-05,0.867288,0.0049394364
-429.42432,3,0.00012564364,0,0.9991291,0.9991291,0.0007452532,8.951556e-09,0.00012564364,2.1475377e-09
-636.404,2,1.0,2,1.0,1.1894471e-15,1.7487313e-09,1.0,5.2891073e-11,1.4970818e-13
