uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
-526.171,1,0.77896017,1,0.77896017,0.006737867,0.77896017,0.0044884216,0.04831675,0.0051731816,0.008580218,0.00716876,0.07428666,0.0147718275,0.051516157
-542.9119,8,0.09706903,9,0.7961353,0.010981502,0.0025942395,0.022366073,0.0060527967,0.010007071,0.013378202,0.00885957,0.032556128,0.09706903,0.7961353
124.755905,2,0.8568208,2,0.8568208,0.025540398,0.005824975,0.8568208,0.0045090932,0.013190848,0.013783739,0.016685687,0.038526274,0.015505982,0.009612185
-797.5291,4,0.93312985,4,0.93312985,0.020098533,0.0044359225,0.0056283646,0.0044875336,0.93312985,0.017098429,0.008515611,0.0020504487,0.0008720883,0.0036832374
-819.34973,9,0.8552551,9,0.8552551,0.010876424,0.012556086,0.0064730966,0.012824752,0.014203231,0.009781432,0.0360307,0.009879768,0.03211936,0.8552551
-721.2435,8,0.7489368,8,0.7489368,0.0096464325,0.05467595,0.007193239,0.11655328,0.019774089,0.01635356,0.013890696,0.010607114,0.7489368,0.002368902
-626.9623,9,0.9757363,9,0.9757363,0.0021074293,0.001663527,0.0013822593,0.0011901272,0.0015780494,0.0013873742,0.0036140943,0.0022494462,0.009091437,0.9757363
-32.582497,5,0.9709853,5,0.9709853,0.0028357084,0.0014829928,0.0046983226,0.0021547107,0.0028165847,0.9709853,0.0021998861,0.0037604526,0.0043136384,0.004752366
-710.7244,8,0.7689634,8,0.7689634,0.012647408,0.034709595,0.008095325,0.13012,0.007871815,0.017395478,0.0166727,0.0015480684,0.7689634,0.0019763026
-1097.2751,9,0.4857157,9,0.4857157,0.01117232,0.014119775,0.031703345,0.02695392,0.019162277,0.019924866,0.028758312,0.020939087,0.34155044,0.4857157
-435.13922,9,0.89853674,9,0.89853674,0.003706441,0.003026943,0.019293563,0.005770406,0.0062724473,0.0065321014,0.01996882,0.016794197,0.020098325,0.89853674
-377.23993,4,0.5363484,4,0.5363484,0.13121049,0.0018005893,0.031677365,0.015281247,0.5363484,0.021051064,0.00939398,0.21885608,0.018792562,0.015588241
-355.54556,2,0.872402,2,0.872402,0.039216857,0.011244553,0.872402,0.0036860434,0.0052059507,0.011318596,0.008484095,0.027665304,0.015168751,0.0056078825
-619.2634,0,0.96979195,0,0.96979195,0.96979195,0.0015784547,0.0030262198,0.012628998,0.00060075935,0.0005073755,0.00032988912,0.00029389732,0.005729643,0.0055128695
-723.7728,6,0.039088205,7,0.4951727,0.017411364,0.30761844,0.018225249,0.015095434,0.013805509,0.014644663,0.039088205,0.4951727,0.046992462,0.031945936
-779.3545,7,0.985414,7,0.985414,0.00021995537,0.007962633,0.00094602525,0.00031932193,0.0014102546,0.0013796372,0.0006627483,0.985414,0.0015247262,0.00016063913
-657.18805,8,0.55548376,8,0.55548376,0.02056577,0.38758415,0.0016854235,0.0060259015,0.002728067,0.007218673,0.009451903,0.008081284,0.55548376,0.0011751502
-441.3368,6,0.022425609,7,0.81852394,0.004477356,0.026985373,0.011510547,0.020360762,0.016179014,0.017849997,0.022425609,0.81852394,0.025401179,0.03628622
-30.318726,1,0.46725014,1,0.46725014,0.056548066,0.46725014,0.019271228,0.047791954,0.03326214,0.061421532,0.17373554,0.09739882,0.030749237,0.01257131
-292.8531,0,0.6850809,0,0.6850809,0.6850809,0.022541244,0.013481855,0.20486885,0.02682301,0.0046403743,0.0014951094,0.010212519,0.021189522,0.009666585
-381.03342,5,0.72988683,5,0.72988683,0.016930295,0.027893905,0.018119825,0.028339649,0.04184071,0.72988683,0.024743753,0.034103498,0.061045803,0.017095795
-769.7192,6,0.9751024,6,0.9751024,0.0017808812,0.0092190355,0.002027546,0.0015240327,0.0021296788,0.004292196,0.9751024,0.0021369413,0.0015877401,0.00019941472
-481.44437,8,0.59489775,8,0.59489775,0.0090281535,0.0066551277,0.013932332,0.025265532,0.023468748,0.030262273,0.03744785,0.03851256,0.59489775,0.22052968
-29.853436,5,0.94962454,5,0.94962454,0.0031772994,0.007714835,0.00468307,0.0033128762,0.008113476,0.94962454,0.0027187434,0.011396575,0.0019273151,0.007331344
-511.02115,8,0.47498605,8,0.47498605,0.004782909,0.0033020596,0.041724537,0.016298546,0.03139239,0.023183804,0.21943419,0.08321926,0.47498605,0.101676226
-174.3325,5,0.9669575,5,0.9669575,0.0018955189,0.009022465,0.005706657,0.0016706306,0.005636038,0.9669575,0.00051269185,0.0013116219,0.003841606,0.0034453294
-608.9951,0,0.98541,0,0.98541,0.98541,0.003194603,0.0020850985,0.004011774,0.00082117494,0.000706018,0.0005775698,0.0003594557,0.0015391482,0.001295129
-858.9764,9,0.39463404,8,0.50043494,0.009929128,0.0075607174,0.0063128406,0.011945512,0.0071051097,0.013047914,0.040904995,0.0081248,0.50043494,0.39463404
-478.00995,3,0.061643478,7,0.7996655,0.0059210784,0.021766618,0.009712628,0.061643478,0.016968798,0.0108218985,0.012242474,0.7996655,0.046776902,0.014480637
-707.56116,6,0.64149266,6,0.64149266,0.012547925,0.019305667,0.099450186,0.0074120946,0.014877419,0.02011817,0.64149266,0.14348,0.0074611534,0.033854704
-439.9523,5,0.14235058,3,0.30130193,0.014317391,0.10266204,0.040281788,0.30130193,0.104047164,0.14235058,0.022470722,0.16262047,0.029486628,0.08046129
-533.36584,2,0.9058661,2,0.9058661,0.0038471427,0.0012454862,0.9058661,0.0054220925,0.007420999,0.0066817566,0.005535927,0.044045124,0.0043571144,0.015578403
-19.921371,6,0.8063786,6,0.8063786,0.0061952374,0.01595788,0.03567442,0.016797686,0.03596615,0.022731915,0.8063786,0.03680756,0.013761543,0.009729082
-783.39594,6,0.45198828,6,0.45198828,0.033742886,0.32781893,0.01150895,0.021314595,0.014611891,0.014982314,0.45198828,0.08153727,0.017351864,0.025143107
-521.14905,6,0.8348561,6,0.8348561,0.015693065,0.07179052,0.0060926746,0.010138032,0.010663872,0.009348313,0.8348561,0.017334474,0.013052939,0.011030078
-380.77448,9,0.16788982,8,0.3376721,0.21114145,0.0516805,0.016508335,0.014102066,0.026244929,0.016051987,0.0828177,0.075891085,0.3376721,0.16788982
108.184975,5,0.6004687,5,0.6004687,0.08733737,0.03059721,0.04971071,0.078023665,0.07627062,0.6004687,0.020194646,0.0106603885,0.02391052,0.022826208
-485.31943,2,0.88980603,2,0.88980603,0.01156899,0.003776455,0.88980603,0.019310018,0.007897233,0.016518455,0.0078777205,0.02851505,0.005495409,0.009234701
-592.495,9,0.6814139,9,0.6814139,0.010210511,0.008991945,0.02073793,0.015553194,0.006247926,0.01240847,0.10253984,0.013342588,0.12855367,0.6814139
-629.98975,8,0.27679825,6,0.47849402,0.018019171,0.04767816,0.015691826,0.009283734,0.02010398,0.015602367,0.47849402,0.10150678,0.27679825,0.016821636
-778.7869,6,0.8055412,6,0.8055412,0.015470535,0.07295767,0.00791145,0.020356333,0.009110644,0.022852192,0.8055412,0.011559011,0.024995875,0.009245083
-476.45886,2,0.90953296,2,0.90953296,0.0077464352,0.006960219,0.90953296,0.003951684,0.005348648,0.008568971,0.0043154983,0.0463274,0.0030095847,0.0042386083
-628.254,0,0.60724014,0,0.60724014,0.60724014,0.009659535,0.03817994,0.09396077,0.026732998,0.064319655,0.013632986,0.0555738,0.058280166,0.03242
-226.14432,0,0.7281512,0,0.7281512,0.7281512,0.010430264,0.02435141,0.12074247,0.0078044008,0.018325552,0.024151431,0.018455813,0.02192561,0.025661824
-636.7859,6,0.94926655,6,0.94926655,0.0052447375,0.016621567,0.003919326,0.0036515344,0.0049930345,0.007116383,0.94926655,0.0046206056,0.0032806683,0.0012855988
