uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
-449.7554,2,0.89495534,2,0.89495534,0.028546778,0.025214285,0.89495534,0.026203085,0.025080554
-707.56116,1,0.95174176,1,0.95174176,0.009521571,0.95174176,0.015239009,0.012527224,0.010970465
-187.24423,4,0.9242958,4,0.9242958,0.018586747,0.018240841,0.018680777,0.020195868,0.9242958
28.215927,0,0.8546206,0,0.8546206,0.8546206,0.03349903,0.032247577,0.043173097,0.036459655
-135.72491,2,0.59029895,2,0.59029895,0.05221058,0.068172276,0.59029895,0.24583867,0.04347956
-760.6719,1,0.9313908,1,0.9313908,0.016033826,0.9313908,0.019951422,0.015349509,0.01727449
-468.04703,4,0.93221974,4,0.93221974,0.01583558,0.017187519,0.01903943,0.015717726,0.93221974
-599.38306,3,0.551654,3,0.551654,0.09904093,0.04665001,0.054424383,0.551654,0.2482307
-761.5533,1,0.2823849,3,0.48475537,0.03890684,0.2823849,0.0944252,0.48475537,0.09952768
-174.3325,0,0.91683584,0,0.91683584,0.91683584,0.021677434,0.022034796,0.019704856,0.019747058
-100.71353,2,0.96247923,2,0.96247923,0.00978315,0.0059862253,0.96247923,0.011307913,0.010443378
-423.615,0,0.9373749,0,0.9373749,0.9373749,0.01420149,0.01460124,0.020353412,0.013468872
-541.7544,2,0.9297134,2,0.9297134,0.019721314,0.012621121,0.9297134,0.017896382,0.020047834
-674.19104,3,0.8888915,3,0.8888915,0.01838297,0.042437185,0.019116785,0.8888915,0.031171566
-325.43918,3,0.55378675,3,0.55378675,0.08174739,0.053229883,0.05527905,0.55378675,0.25595695
84.27626,4,0.69932383,4,0.69932383,0.09928675,0.045655828,0.0443806,0.111353,0.69932383
-448.037,3,0.9315347,3,0.9315347,0.016185105,0.011944157,0.015040954,0.9315347,0.025295127
-675.3699,4,0.9446324,4,0.9446324,0.016946344,0.015470031,0.014137025,0.008814154,0.9446324
-441.3368,1,0.5303949,1,0.5303949,0.047946285,0.5303949,0.16714747,0.18385518,0.070656106
-429.42432,3,0.019307332,0,0.93518424,0.93518424,0.013447203,0.018025454,0.019307332,0.014035912
-636.404,2,0.91808254,2,0.91808254,0.02424222,0.016017461,0.91808254,0.019293819,0.022364045
-769.7192,1,0.9570943,1,0.9570943,0.013910574,0.9570943,0.0059117004,0.008379957,0.014703434
19.410362,4,0.39634898,4,0.39634898,0.04062285,0.32928762,0.09535252,0.13838804,0.39634898
-126.29498,4,0.9159797,4,0.9159797,0.02036825,0.022344064,0.021510553,0.019797442,0.9159797
-32.582497,0,0.8578768,0,0.8578768,0.8578768,0.03322087,0.0325186,0.036927894,0.039455913
-18.170118,0,0.9165228,0,0.9165228,0.9165228,0.023010612,0.019409494,0.019360252,0.021696735
-742.57935,1,0.9458262,1,0.9458262,0.011893018,0.9458262,0.013607645,0.013481171,0.015192042
-174.32892,0,0.9043766,0,0.9043766,0.9043766,0.022022171,0.020085463,0.0324232,0.02109253
-545.0203,2,0.8690809,2,0.8690809,0.035218842,0.02480727,0.8690809,0.033552945,0.037340052
-628.254,4,0.7110885,4,0.7110885,0.053095646,0.036790784,0.044851873,0.15417318,0.7110885
-82.18443,0,0.8720469,0,0.8720469,0.8720469,0.031483445,0.032732844,0.029801924,0.03393487
-636.7859,1,0.96133506,1,0.96133506,0.013764581,0.96133506,0.0046512797,0.007045868,0.013203213
-414.8034,2,0.9138776,2,0.9138776,0.026390161,0.012404945,0.9138776,0.020639004,0.026688263
-474.5279,3,0.5835701,3,0.5835701,0.21274935,0.050448596,0.0732296,0.5835701,0.08000234
-347.69507,4,0.35033393,4,0.35033393,0.056640565,0.24575777,0.062333398,0.28493434,0.35033393
18.917973,0,0.45639443,0,0.45639443,0.45639443,0.029430838,0.03555418,0.43105814,0.047562458
-130.49847,0,0.9200203,0,0.9200203,0.9200203,0.022006398,0.016411588,0.020563874,0.020997856
-731.2579,3,0.24733044,4,0.54050446,0.0868161,0.054742076,0.070606925,0.24733044,0.54050446
-492.39374,3,0.7970231,3,0.7970231,0.059233557,0.076993,0.026752414,0.7970231,0.039997898
-355.5274,0,0.7409935,0,0.7409935,0.7409935,0.04275017,0.051193733,0.11767833,0.047384284
-339.99545,2,0.87676173,2,0.87676173,0.02499543,0.046727095,0.87676173,0.025268188,0.0262475
-293.46466,2,0.9375967,2,0.9375967,0.017573658,0.011962596,0.9375967,0.014182361,0.01868459
-249.9876,2,0.9364835,2,0.9364835,0.019339865,0.008943349,0.9364835,0.014679742,0.02055348
-289.24695,0,0.30641702,3,0.48820257,0.30641702,0.06779895,0.04943882,0.48820257,0.08814272
68.10603,0,0.47687337,0,0.47687337,0.47687337,0.034331337,0.03436533,0.37815455,0.07627549
-619.2634,4,0.8788059,4,0.8788059,0.020138966,0.02439577,0.026942715,0.049716722,0.8788059
-145.0155,4,0.7851361,4,0.7851361,0.061494865,0.03359108,0.031424522,0.08835334,0.7851361
-393.7921,3,0.37479198,4,0.43427587,0.029374713,0.11345455,0.04810289,0.37479198,0.43427587
-800.4564,1,0.9259356,1,0.9259356,0.021365779,0.9259356,0.013613344,0.017970072,0.021115305
-263.24957,4,0.91838145,4,0.91838145,0.020173516,0.021104526,0.021247853,0.019092642,0.91838145
-694.87646,1,0.36250928,3,0.48920697,0.037221838,0.36250928,0.04201295,0.48920697,0.069048956
-411.07202,0,0.8860835,0,0.8860835,0.8860835,0.027167905,0.031645678,0.022654235,0.032448694
-246.48512,3,0.088880576,4,0.799695,0.0323247,0.033571266,0.045528412,0.088880576,0.799695
-187.45615,3,0.0206061,0,0.9337855,0.9337855,0.015529547,0.017244088,0.0206061,0.012834672
-612.6927,1,0.9125506,1,0.9125506,0.015804328,0.9125506,0.037003774,0.017979575,0.016661676
-433.0112,3,0.5957864,3,0.5957864,0.031503674,0.20722267,0.0764307,0.5957864,0.08905655
-660.58185,4,0.89278936,4,0.89278936,0.025069622,0.022600058,0.027269075,0.032271914,0.89278936
-289.62094,0,0.9000196,0,0.9000196,0.9000196,0.025652463,0.020657634,0.024937855,0.02873241
-63.45455,0,0.92365175,0,0.92365175,0.92365175,0.018777322,0.019798161,0.017466389,0.020306269
-704.66406,1,0.9574957,1,0.9574957,0.013054678,0.9574957,0.0071438537,0.009766031,0.012539767
-11.379494,0,0.9258938,0,0.9258938,0.9258938,0.017921241,0.019267235,0.016769057,0.020148696
-521.14905,1,0.9253632,1,0.9253632,0.020580998,0.9253632,0.017065912,0.019156951,0.017832963
-485.76855,2,0.9113443,2,0.9113443,0.023380103,0.023254817,0.9113443,0.019724367,0.02229647
-347.54248,4,0.9082416,4,0.9082416,0.023556883,0.02173539,0.02238492,0.024081184,0.9082416
-232.5159,2,0.92396814,2,0.92396814,0.020988215,0.017196564,0.92396814,0.016827794,0.02101914
108.184975,0,0.92531604,0,0.92531604,0.92531604,0.016602395,0.014635202,0.015375389,0.028070953
49.732616,0,0.94129294,0,0.94129294,0.94129294,0.019224215,0.013015945,0.012209835,0.014257111
-95.36192,3,0.41068548,3,0.41068548,0.25703636,0.09030782,0.15413415,0.41068548,0.08783618
-481.44437,3,0.7129217,3,0.7129217,0.075883456,0.10345052,0.044913307,0.7129217,0.06283107
-835.3268,1,0.86708343,1,0.86708343,0.02724734,0.86708343,0.046254013,0.032675173,0.026740046
-662.1202,4,0.8617198,4,0.8617198,0.027280647,0.031569127,0.035152312,0.044278044,0.8617198
-788.72656,1,0.9028887,1,0.9028887,0.01723075,0.9028887,0.04489563,0.018193183,0.01679183
-353.1646,4,0.89732945,4,0.89732945,0.021687407,0.02357477,0.02332994,0.034078456,0.89732945
-131.37753,0,0.9319214,0,0.9319214,0.9319214,0.01801821,0.016396672,0.013708309,0.019955475
-518.74176,2,0.9572287,2,0.9572287,0.010446408,0.01002392,0.9572287,0.011523638,0.010777341
-334.00226,3,0.018913688,0,0.9382137,0.9382137,0.013815997,0.0143943345,0.018913688,0.014662441
-392.25244,1,0.8225587,1,0.8225587,0.027374037,0.8225587,0.074113525,0.035795033,0.040158715
-439.9523,0,0.80956477,0,0.80956477,0.80956477,0.03969475,0.036525473,0.070842825,0.043372154
-657.18805,3,0.59226626,3,0.59226626,0.049934633,0.039424703,0.053233735,0.59226626,0.2651406
-871.2786,1,0.82069916,1,0.82069916,0.021274803,0.82069916,0.097833365,0.03813039,0.022062227
-391.02356,4,0.6967755,4,0.6967755,0.045157213,0.03648714,0.048898395,0.17268176,0.6967755
-767.19653,3,0.71795696,3,0.71795696,0.046859164,0.042475894,0.047063652,0.71795696,0.14564423
-302.2564,2,0.86863816,2,0.86863816,0.025742603,0.059602275,0.86863816,0.0215326,0.024484362
-728.80273,1,0.96339107,1,0.96339107,0.010794362,0.96339107,0.0062934766,0.008283375,0.011237742
-723.7728,1,0.8415954,1,0.8415954,0.033821896,0.8415954,0.049981873,0.04184901,0.03275181
-29.853436,0,0.8916745,0,0.8916745,0.8916745,0.022820018,0.026533937,0.027574962,0.031396624
-485.31943,2,0.95677894,2,0.95677894,0.012241175,0.007192727,0.95677894,0.010782127,0.013004985
-1007.5597,1,0.94399303,1,0.94399303,0.014890676,0.94399303,0.009793308,0.013309929,0.01801308
-332.35764,3,0.7966075,3,0.7966075,0.08600449,0.044094734,0.032166567,0.7966075,0.041126747
-629.98975,3,0.28192288,1,0.4900618,0.046324812,0.4900618,0.10388141,0.28192288,0.07780917
-763.03485,1,0.97723603,1,0.97723603,0.0057185376,0.97723603,0.0041472325,0.0053383727,0.0075597665
-227.271,4,0.8552024,4,0.8552024,0.029377291,0.030996691,0.031284116,0.053139523,0.8552024
-736.0598,3,0.8992822,3,0.8992822,0.021666707,0.021459112,0.020758275,0.8992822,0.03683363
-282.0798,4,0.71320933,4,0.71320933,0.051608574,0.03986865,0.049581207,0.1457322,0.71320933
-320.5786,2,0.8764644,2,0.8764644,0.03267152,0.030592248,0.8764644,0.02695865,0.03331315
-721.2435,3,0.8999474,3,0.8999474,0.013849278,0.02643188,0.018269528,0.8999474,0.041501816
-306.3769,2,0.9350857,2,0.9350857,0.012449981,0.022628454,0.9350857,0.015749421,0.014086521
-304.97192,0,0.91920006,0,0.91920006,0.91920006,0.022836516,0.018516228,0.014520498,0.02492659
-884.9061,1,0.9122444,1,0.9122444,0.021180946,0.9122444,0.019368036,0.020534419,0.026672216
-98.75273,0,0.92800915,0,0.92800915,0.92800915,0.01628744,0.023327755,0.019268924,0.013106654
-53.853905,4,0.83008367,4,0.83008367,0.050996017,0.0331901,0.038537793,0.04719247,0.83008367
-778.7869,1,0.97324085,1,0.97324085,0.007200488,0.97324085,0.0034430176,0.0065934146,0.009522142
-757.1728,4,0.96240413,4,0.96240413,0.008118294,0.010924599,0.0110888565,0.007464163,0.96240413
-533.36584,2,0.9116329,2,0.9116329,0.01985003,0.021967907,0.9116329,0.023694133,0.022855079
-608.9951,4,0.93349344,4,0.93349344,0.014945683,0.017551994,0.018935356,0.015073529,0.93349344
-368.93405,0,0.88066137,0,0.88066137,0.88066137,0.018083483,0.013389166,0.022018706,0.06584728
-419.33057,2,0.94054025,2,0.94054025,0.011120555,0.016615927,0.94054025,0.018137151,0.013586002
-886.0804,3,0.14891936,4,0.6048637,0.11812998,0.05868209,0.06940486,0.14891936,0.6048637
-511.02115,3,0.6372568,3,0.6372568,0.09152798,0.1400676,0.071649335,0.6372568,0.059498195
-381.03342,0,0.85181665,0,0.85181665,0.85181665,0.032788195,0.034714475,0.038313244,0.042367384
41.31927,0,0.9023419,0,0.9023419,0.9023419,0.023254858,0.02833658,0.025879737,0.020186981
-249.02603,3,0.70452064,3,0.70452064,0.105268635,0.061975706,0.05063894,0.70452064,0.07759614
-735.4873,1,0.8482997,1,0.8482997,0.030338498,0.8482997,0.03997933,0.03693106,0.044451546
-292.8531,4,0.62479067,4,0.62479067,0.06425996,0.049536906,0.043214593,0.21819791,0.62479067
-575.44165,4,0.8821027,4,0.8821027,0.029595817,0.027301949,0.029523473,0.03147599,0.8821027
-77.877686,3,0.23549451,0,0.50796264,0.50796264,0.0679805,0.08068163,0.23549451,0.1078807
-1180.1235,1,0.8548083,1,0.8548083,0.038486574,0.8548083,0.042771667,0.030951252,0.032982174
-476.45886,2,0.87328774,2,0.87328774,0.03517229,0.027532427,0.87328774,0.031713538,0.03229395
-19.921371,1,0.4652686,1,0.4652686,0.05105015,0.4652686,0.023973484,0.41267687,0.047030892
-318.8057,2,0.91613734,2,0.91613734,0.024798278,0.011628196,0.91613734,0.023400065,0.02403604
-444.16315,0,0.77070856,0,0.77070856,0.77070856,0.042174444,0.033384215,0.081237376,0.07249535
-756.3336,1,0.94515353,1,0.94515353,0.013947631,0.94515353,0.008727872,0.014274284,0.017896645
-357.21527,2,0.5164313,2,0.5164313,0.04448166,0.06187778,0.5164313,0.14064181,0.23656744
-783.39594,1,0.8205047,1,0.8205047,0.01937639,0.8205047,0.039524816,0.077439174,0.04315485
-355.54556,2,0.92157835,2,0.92157835,0.020460451,0.023751343,0.92157835,0.015710713,0.018499168
-53.301147,4,0.9259736,4,0.9259736,0.017650867,0.018504051,0.017016802,0.020854713,0.9259736
-542.9119,3,0.7348562,3,0.7348562,0.030675847,0.14018764,0.06493404,0.7348562,0.029346319
-134.20662,4,0.71723247,4,0.71723247,0.04615781,0.044606254,0.054590862,0.13741262,0.71723247
-134.8214,2,0.94335705,2,0.94335705,0.018645713,0.0084636845,0.94335705,0.013870808,0.01566283
124.755905,2,0.942978,2,0.942978,0.016529888,0.008996611,0.942978,0.0144162495,0.017079245
-710.7244,3,0.93125767,3,0.93125767,0.011907513,0.015718479,0.016760504,0.93125767,0.02435582
-661.9867,4,0.56203115,4,0.56203115,0.09400248,0.047771424,0.06181778,0.23437718,0.56203115
-149.52383,2,0.9316098,2,0.9316098,0.019929806,0.012562863,0.9316098,0.020292338,0.015605121
-226.14432,4,0.75242144,4,0.75242144,0.04546242,0.045045488,0.05422378,0.10284694,0.75242144
-246.30702,1,0.31982213,2,0.38744044,0.05171223,0.31982213,0.38744044,0.15318838,0.08783688
