uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
-889.9657,2,0.24301322,0,0.38601303,0.38601303,0.011179079,0.24301322,0.021260362,0.010062567,0.023409901,0.013894994,0.002976282,0.0056155184,0.28257507
-230.30803,0,0.052749615,7,0.54234856,0.052749615,0.039806616,0.08126676,0.010844531,0.054958586,0.010520978,0.029500194,0.54234856,0.030524991,0.14747913
-665.4009,2,0.19649552,2,0.19649552,0.17172629,0.18001263,0.19649552,0.012176993,0.071660995,0.011919692,0.041285295,0.1562598,0.0061132303,0.15234949
-447.31125,6,0.09437669,1,0.36837992,0.07152847,0.36837992,0.11848817,0.024847094,0.107418805,0.13908963,0.09437669,0.025987502,0.008961706,0.040922016
-905.1408,0,0.5269045,0,0.5269045,0.5269045,0.018734941,0.16256097,0.015038138,0.01779413,0.055794735,0.026579136,0.0030167913,0.007030621,0.16654606
-207.29955,5,0.26829445,5,0.26829445,0.15836084,0.08418054,0.08312374,0.03682845,0.108378895,0.26829445,0.14563634,0.05265395,0.013299314,0.049243476
-431.93475,6,0.1157058,5,0.45268697,0.18815391,0.078861676,0.07056221,0.006142467,0.06115724,0.45268697,0.1157058,0.0029930067,0.0052396525,0.01849694
-427.79593,4,0.43607086,4,0.43607086,0.06424961,0.01348527,0.04309625,0.005921515,0.43607086,0.04728991,0.24249212,0.09699371,0.011081808,0.039318915
124.755905,3,0.8846993,3,0.8846993,0.030133158,0.0020024057,0.042239305,0.8846993,0.0033512102,0.005740803,0.004174656,0.005633525,0.007154366,0.01487136
-1007.5597,9,0.50408924,9,0.50408924,0.2717487,0.007966031,0.14587072,0.023558088,0.0142793665,0.009246515,0.011934089,0.0058252118,0.005482084,0.50408924
-339.99545,3,0.85386544,3,0.85386544,0.018917816,0.0013207638,0.040834066,0.85386544,0.005909337,0.0076015336,0.005810153,0.01096112,0.035393346,0.019386461
-368.54224,2,0.20015576,1,0.22910205,0.17059086,0.22910205,0.20015576,0.020508254,0.06200038,0.061099824,0.05594516,0.04793432,0.012619613,0.14004377
-449.7554,3,0.9271552,3,0.9271552,0.015746726,0.002024588,0.010743307,0.9271552,0.0013997322,0.003567615,0.0019171358,0.001989775,0.0040861643,0.031369835
-752.66235,7,0.18557765,4,0.25795716,0.09438637,0.026860379,0.08763977,0.007333383,0.25795716,0.02372973,0.10232036,0.18557765,0.009666798,0.20452845
-19.921371,9,0.24377531,7,0.26510945,0.08455799,0.024827631,0.05706672,0.017210502,0.15202107,0.036429998,0.077887446,0.26510945,0.041113846,0.24377531
-458.16412,4,0.2704957,4,0.2704957,0.13452415,0.024766454,0.14372231,0.008156045,0.2704957,0.05239316,0.14518632,0.099283084,0.0077660866,0.11370673
-292.8531,1,0.3811171,1,0.3811171,0.047053862,0.3811171,0.14858529,0.00238449,0.025732845,0.0046962844,0.030652896,0.33035377,0.019008456,0.010414963
-757.1728,1,0.4186313,1,0.4186313,0.1523548,0.4186313,0.13419636,0.008249205,0.06983075,0.013666911,0.04096496,0.07014039,0.0038792866,0.088086106
-619.2634,1,0.08367229,9,0.3267571,0.21537259,0.08367229,0.18476906,0.035228893,0.03561826,0.032991633,0.031764228,0.036603417,0.017222526,0.3267571
-419.45694,4,0.36896884,4,0.36896884,0.033419274,0.04102334,0.026290007,0.0017773184,0.36896884,0.04436551,0.23014235,0.23379394,0.009420484,0.010798919
-489.91943,0,0.075036496,1,0.3536426,0.075036496,0.3536426,0.09733451,0.004634804,0.12520677,0.052263167,0.14362833,0.124601714,0.008358499,0.0152931325
-349.22507,6,0.27287328,5,0.5405176,0.011357083,0.003170917,0.008905456,0.0014097271,0.1411611,0.5405176,0.27287328,0.013716159,0.004544954,0.0023436863
-352.32843,5,0.5287856,5,0.5287856,0.022705602,0.008132063,0.011871081,0.0022242807,0.12763241,0.5287856,0.27579337,0.010137829,0.008098729,0.004619089
-306.3769,3,0.9701132,3,0.9701132,0.006305198,0.00053172716,0.0039366377,0.9701132,0.0008803665,0.0037763386,0.0011982144,0.0011212549,0.004855748,0.007281402
-11.379494,8,0.8953041,8,0.8953041,0.0029971858,0.0053403387,0.054580312,0.008996254,0.0031786223,0.0024576078,0.0053838072,0.021279177,0.8953041,0.00048265382
-703.4131,7,0.118826404,8,0.3904429,0.034650516,0.07344802,0.3150187,0.024148475,0.01214267,0.0034337419,0.012671156,0.118826404,0.3904429,0.015217304
-1180.1235,9,0.6902735,9,0.6902735,0.12728892,0.0045928373,0.10342209,0.024254523,0.015558713,0.0059899976,0.0123685235,0.009151861,0.0070989514,0.6902735
