uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
-449.7554,2,0.96219736,2,0.96219736,0.013797675,0.0016761667,0.96219736,0.014389489,0.007939328
-707.56116,1,0.8796185,1,0.8796185,0.01703303,0.8796185,0.027219765,0.045840017,0.0302886
-187.24423,4,0.93065035,4,0.93065035,0.0076738247,0.007732116,0.013071131,0.040872596,0.93065035
28.215927,0,0.90991074,0,0.90991074,0.90991074,0.022802794,0.021714183,0.028101318,0.017471014
-135.72491,2,0.5698713,2,0.5698713,0.15437137,0.038261656,0.5698713,0.20063591,0.036859762
-760.6719,1,0.69890404,1,0.69890404,0.028249765,0.69890404,0.021377917,0.14984882,0.10161948
-468.04703,4,0.8825023,4,0.8825023,0.015459472,0.019748224,0.026863793,0.055426266,0.8825023
-599.38306,3,0.9722343,3,0.9722343,0.009768544,0.004191863,0.005516327,0.9722343,0.008288941
-761.5533,1,0.2361475,4,0.28744158,0.047102235,0.2361475,0.26675674,0.16255195,0.28744158
-174.3325,0,0.95228195,0,0.95228195,0.95228195,0.01331257,0.008715417,0.021389926,0.004300031
-100.71353,2,0.9897328,2,0.9897328,0.0036883752,0.0009145177,0.9897328,0.0021614502,0.003502892
-423.615,0,0.9125553,0,0.9125553,0.9125553,0.032067038,0.02330317,0.013004265,0.019070221
-541.7544,2,0.9762614,2,0.9762614,0.01042677,0.004928476,0.9762614,0.0034224303,0.0049609453
-674.19104,3,0.9509055,3,0.9509055,0.013631859,0.02056315,0.0094092125,0.9509055,0.0054903417
-325.43918,3,0.9070402,3,0.9070402,0.031845964,0.014279505,0.027834617,0.9070402,0.01899966
84.27626,4,0.57491267,4,0.57491267,0.27231547,0.03230071,0.09302901,0.027442196,0.57491267
-448.037,3,0.98105454,3,0.98105454,0.007307607,0.0006425429,0.0063845953,0.98105454,0.004610721
-675.3699,4,0.9080221,4,0.9080221,0.0111448,0.04842716,0.008417853,0.023988083,0.9080221
-441.3368,1,0.30506957,3,0.3392817,0.07609437,0.30506957,0.10107754,0.3392817,0.17847686
-429.42432,3,0.044195935,0,0.84146714,0.84146714,0.033524565,0.035452105,0.044195935,0.045360338
-636.404,2,0.97245353,2,0.97245353,0.008881437,0.0056250864,0.97245353,0.007492291,0.005547646
-769.7192,1,0.9599473,1,0.9599473,0.0100137945,0.9599473,0.0071885376,0.0036948058,0.019155605
19.410362,4,0.79100627,4,0.79100627,0.044478416,0.007335855,0.040657938,0.116521545,0.79100627
-126.29498,4,0.8079136,4,0.8079136,0.054385923,0.013434423,0.06353175,0.06073432,0.8079136
-32.582497,0,0.9319786,0,0.9319786,0.9319786,0.013485126,0.025797037,0.012108307,0.016630888
-18.170118,0,0.9024418,0,0.9024418,0.9024418,0.02918327,0.036929693,0.014568879,0.016876353
-742.57935,1,0.8438597,1,0.8438597,0.015979072,0.8438597,0.038922355,0.06667122,0.03456769
