uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
-675.3699,0,5.192608e-05,3,0.95911217,5.192608e-05,6.549358e-05,5.778733e-06,0.95911217,1.2429297e-05,6.7019412e-09,0.03352579,0.0071152165,0.00010999011,1.087404e-06
-788.72656,6,0.3738893,9,0.6136473,1.1471939e-12,7.006016e-08,0.0064858277,3.158437e-08,5.939634e-13,7.143221e-14,0.3738893,0.0006003452,0.0053771194,0.6136473
-779.3545,7,0.99999964,7,0.99999964,2.3407596e-14,3.8935653e-07,2.4290912e-12,2.985364e-10,1.9161828e-11,3.2158647e-11,8.808785e-13,0.99999964,1.069362e-11,2.2075105e-16
-481.7693,1,0.04730547,9,0.44059056,3.775852e-16,0.04730547,0.10344326,0.3118801,2.6983232e-10,1.6391187e-13,1.13024375e-10,0.096007906,0.0007726549,0.44059056
-421.34686,3,0.9999932,3,0.9999932,1.4927355e-12,3.8240465e-08,7.611665e-17,0.9999932,1.0739599e-08,2.4162259e-15,3.851989e-19,4.5813475e-10,6.7440105e-06,1.00090214e-10
-411.07202,5,9.1436035e-05,1,0.99989367,4.213917e-16,0.99989367,1.6165716e-10,2.9855073e-11,3.3444879e-12,9.1436035e-05,6.350169e-21,1.4844241e-05,7.05797e-11,2.7043295e-16
-891.50037,9,0.06694655,7,0.68366283,6.346494e-12,0.00021679774,3.218961e-05,0.002352706,0.026367353,1.4384172e-07,0.0022377619,0.68366283,0.2181836,0.06694655
-304.97192,5,9.0927615e-06,1,0.9999908,3.3097702e-15,0.9999908,2.6689172e-11,1.6594556e-14,1.7674325e-17,9.0927615e-06,4.4816426e-25,1.0420479e-07,7.158693e-14,1.600887e-20
-908.51306,7,1.0,7,1.0,3.7502096e-15,8.001821e-09,4.7905273e-12,1.1083074e-09,4.235311e-11,1.4418574e-12,2.3378147e-11,1.0,7.7380767e-13,3.2469457e-16
-19.921371,6,9.680344e-09,2,0.5533588,3.3141683e-07,1.0771762e-06,0.5533588,2.400056e-12,8.10885e-13,3.9797756e-20,9.680344e-09,0.00022699413,0.008308317,0.4381045
-518.74176,2,0.9999615,2,0.9999615,7.987971e-17,2.2825594e-05,0.9999615,2.8113877e-14,1.6891434e-14,1.1640087e-16,9.687003e-13,1.5783527e-05,5.3888816e-10,3.225947e-14
-960.9429,1,4.2064603e-06,7,0.9999943,3.562201e-14,4.2064603e-06,4.0637801e-10,5.8409853e-07,1.0770061e-10,2.163345e-12,9.1842276e-07,0.9999943,7.0165357e-10,4.2906555e-12
-767.19653,8,0.80331504,8,0.80331504,3.806334e-09,0.002966274,3.6412544e-09,0.18309227,6.729782e-06,1.37813485e-08,3.8229246e-06,0.010615779,0.80331504,2.8177459e-08
-575.44165,0,0.024246521,3,0.967651,0.024246521,0.0072505744,6.6458274e-06,0.967651,2.649331e-05,3.137171e-10,2.659486e-06,0.0004333622,0.0003818555,7.248524e-07
-665.4009,1,0.96732056,1,0.96732056,0.03007113,0.96732056,1.3375794e-08,3.4007477e-05,0.0021752522,0.0003441865,3.5764263e-06,4.6993195e-05,4.262246e-06,6.3896375e-12
-174.3325,5,1.826923e-10,1,1.0,2.074925e-19,1.0,1.3920736e-13,8.540249e-16,1.8247814e-21,1.826923e-10,1.5843021e-30,2.9092773e-09,1.5842651e-16,2.825253e-21
-886.0804,8,0.9070753,8,0.9070753,5.328014e-14,0.09216932,1.0302614e-11,2.0529431e-07,2.0397743e-05,1.611432e-05,0.0006928505,2.3471343e-05,0.9070753,2.3935038e-06
-1097.2751,9,0.99974793,9,0.99974793,4.3235492e-15,0.00025107688,1.0745171e-17,6.3054915e-11,4.402222e-10,9.136917e-09,1.6068593e-14,3.4600195e-10,9.844913e-07,0.99974793
-816.24286,7,0.9999999,7,0.9999999,1.0940574e-15,1.2559138e-07,3.1945863e-10,6.5560064e-09,3.9559276e-12,2.3106142e-14,3.0754704e-13,0.9999999,7.926e-11,1.5188036e-15
-461.4004,3,0.99994516,3,0.99994516,4.457991e-11,9.5141734e-09,1.5927883e-13,0.99994516,3.242633e-09,7.158401e-12,2.6460774e-15,4.3403e-08,5.482864e-05,1.0870889e-09
