uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
-832.3387,1,0.99922645,1,0.99922645,2.3493013e-13,0.99922645,6.466285e-09,0.0007732458,2.3048138e-07
-185.53418,0,0.7661594,0,0.7661594,0.7661594,4.672451e-14,6.52995e-24,0.23384063,3.9388752e-08
-358.1176,4,0.99999535,4,0.99999535,2.0861235e-06,7.9865674e-07,1.0645055e-08,1.8040145e-06,0.99999535
-214.86761,0,0.9999999,0,0.9999999,0.9999999,6.0324745e-11,1.1864336e-11,2.8379294e-09,1.417717e-07
-321.94833,4,0.9974445,4,0.9974445,9.0056895e-10,5.505481e-05,1.6268393e-13,0.0025004467,0.9974445
-657.54675,1,0.999723,1,0.999723,1.8172795e-16,0.999723,1.7116989e-06,0.00027522878,1.6639975e-09
-592.0438,2,0.99932075,2,0.99932075,1.7671085e-12,0.000678093,0.99932075,1.0123053e-06,2.222758e-07
-538.63763,2,0.993601,2,0.993601,7.4138334e-12,0.006303016,0.993601,9.35686e-05,2.417488e-06
-652.3352,3,0.52378786,3,0.52378786,6.173296e-12,0.4762121,7.54672e-08,0.52378786,5.2184017e-09
-177.39009,0,0.9999994,0,0.9999994,0.9999994,5.002675e-16,1.7717023e-15,6.396547e-07,2.505798e-11
-723.687,1,0.9911112,1,0.9911112,2.6612244e-11,0.9911112,0.000114394745,0.008774305,1.3746952e-10
-619.54016,4,0.5389444,4,0.5389444,0.025814194,0.0024670777,2.7369418e-09,0.43277428,0.5389444
-726.4204,3,0.3774259,1,0.622574,1.2060721e-09,0.622574,1.6543562e-07,0.3774259,2.8171592e-09
-281.564,0,0.6958056,0,0.6958056,0.6958056,9.53282e-12,1.435121e-15,0.3040782,0.00011621254
-644.3761,3,0.61438775,3,0.61438775,1.8924201e-06,0.2733382,2.0412161e-10,0.61438775,0.112272106
-731.3625,2,0.99969447,2,0.99969447,1.8680566e-11,0.0002840752,0.99969447,2.0959367e-05,5.3016197e-07
