uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability
-630.2043,3,0.9954201,3,0.9954201,3.873283e-06,0.0024429203,7.988761e-06,0.9954201,1.9601482e-11,4.4209853e-12,2.970872e-09,0.00033390615,0.0017912708,9.521417e-09
-690.19775,1,0.0084382,7,0.9912107,1.1093478e-11,0.0084382,2.5130975e-10,0.00032574768,2.5370847e-08,1.1375487e-13,8.850193e-09,0.9912107,2.3490386e-05,1.8991416e-06
-984.4627,6,0.39376894,1,0.5775939,0.0009604268,0.5775939,0.0010922761,0.00023287034,2.7101928e-06,9.628158e-07,0.39376894,7.583503e-06,0.013486636,0.012853636
-656.6437,4,0.99999535,4,0.99999535,3.182398e-09,1.2638005e-09,1.5820618e-13,3.6353526e-07,0.99999535,2.1919444e-08,2.8039679e-15,4.2893316e-06,4.686364e-09,1.7028238e-09
-682.713,3,0.94621015,3,0.94621015,1.1433499e-07,0.0003707478,1.8040934e-07,0.94621015,6.1504153e-09,3.6421723e-13,3.322743e-10,0.05321998,0.00019872443,3.5440262e-09
-388.90344,0,0.9998498,0,0.9998498,0.9998498,8.989397e-05,8.603713e-07,5.9362024e-05,3.0034253e-14,1.03192404e-13,2.0589168e-11,1.8525085e-09,7.460204e-08,2.4757004e-11
-469.88257,2,0.18018788,1,0.819564,1.0845316e-10,0.819564,0.18018788,0.0002480703,8.3551855e-15,3.6348784e-09,3.008778e-10,3.6504116e-10,4.8250413e-08,1.13639514e-10
-319.64096,0,0.999894,0,0.999894,0.999894,1.001404e-05,1.7093838e-07,9.565243e-05,3.3584119e-12,2.316629e-12,1.09420157e-13,2.7942765e-08,1.2032146e-07,8.1498114e-11
-537.4677,2,0.24310148,1,0.75689816,1.5670865e-12,0.75689816,0.24310148,9.981878e-08,6.9190352e-15,2.5906138e-07,7.571979e-10,4.9279938e-12,7.3449975e-09,5.0738004e-11
-387.5652,5,0.99998415,5,0.99998415,8.925959e-16,1.3596779e-05,2.3526478e-10,7.508398e-13,2.6867053e-10,0.99998415,1.8868595e-15,1.2663972e-13,2.274294e-06,3.659111e-14
-782.90356,9,0.99999785,9,0.99999785,1.17297596e-07,1.3727008e-07,3.869017e-11,1.3142809e-09,2.3572297e-10,3.853525e-13,5.1013904e-10,6.1960184e-09,1.8549e-06,0.99999785
-953.67786,1,0.05390073,7,0.7569425,7.917481e-09,0.05390073,2.8326656e-07,0.1883268,3.4597576e-08,2.6183136e-13,3.8505647e-08,0.7569425,0.0008286067,1.0061327e-06
-161.69588,5,0.8668417,5,0.8668417,3.3692298e-13,0.13304532,1.6920352e-11,4.612042e-08,7.414482e-05,0.8668417,8.496743e-14,2.0646418e-10,3.8704682e-05,3.6636973e-08
-1010.4434,7,0.89445275,7,0.89445275,2.8546097e-08,0.0008526868,6.7656465e-08,0.10454664,2.610288e-06,2.1004906e-11,1.7123592e-07,0.89445275,0.00014511007,4.0468542e-08
-992.02295,9,0.99736917,9,0.99736917,4.010169e-12,0.0026232295,1.9076035e-10,1.4095102e-06,1.5322567e-09,7.237267e-12,1.7968529e-07,4.0615787e-06,1.9462243e-06,0.99736917
-854.287,6,0.011837969,1,0.9868775,1.7855098e-10,0.9868775,6.877738e-05,0.0004120201,6.0435434e-09,1.7253722e-09,0.011837969,0.00014234472,6.4227075e-05,0.00059702556
-609.35767,8,0.98833585,8,0.98833585,1.540838e-06,0.00033348604,1.2057334e-10,8.922977e-09,4.4796722e-10,0.01124455,9.932608e-12,8.109285e-05,0.98833585,3.513762e-06
-689.63855,4,0.9999999,4,0.9999999,2.3004595e-11,4.4111573e-10,8.948259e-16,6.0455427e-09,0.9999999,1.5043037e-07,1.1890949e-12,8.733105e-09,4.9854874e-11,3.498354e-11
-762.6685,8,0.9865118,8,0.9865118,2.88151e-10,0.013485677,3.6739334e-10,1.4314925e-07,1.946782e-12,3.070452e-11,2.0020641e-10,1.8473294e-08,0.9865118,2.2993236e-06
-689.19543,3,0.9995914,3,0.9995914,6.727345e-08,2.9485089e-05,1.4581603e-08,0.9995914,6.8934564e-10,4.5867113e-13,5.874114e-11,0.00017389694,0.00020525251,1.5304095e-10
-212.1601,5,0.99903786,5,0.99903786,1.8052265e-10,0.00096124865,2.436648e-08,9.332966e-07,9.754036e-09,0.99903786,6.846286e-12,4.202464e-12,4.77666e-09,2.5241876e-11
-650.53705,4,0.9999944,4,0.9999944,7.181746e-11,9.080899e-11,1.3980527e-13,4.2321123e-08,0.9999944,5.6850425e-08,8.907245e-15,5.5644127e-06,3.4337513e-09,3.534189e-11
-954.9844,7,0.9998908,7,0.9998908,1.5172041e-12,6.625642e-05,1.5691667e-06,4.1416362e-05,2.7674989e-11,1.1883468e-15,1.00314566e-08,0.9998908,6.2498673e-09,3.8626453e-11
-683.71655,6,0.94931257,6,0.94931257,0.00059527793,7.2998505e-06,2.823506e-07,5.1679834e-08,0.0029829754,7.4792288e-06,0.94931257,7.4878054e-10,0.047051936,4.21148e-05
-659.071,7,0.9999993,7,0.9999993,3.6560308e-12,4.5186276e-08,3.5490422e-10,5.615979e-07,1.3021167e-12,6.12442e-18,5.1273184e-13,0.9999993,6.496282e-08,2.2695303e-09
-495.1523,2,0.97900957,2,0.97900957,0.0008997847,0.016490713,0.97900957,0.0033062296,4.0549637e-08,0.00023650909,6.09537e-07,1.2786499e-05,4.304835e-05,7.067152e-07
-877.17957,9,0.999974,9,0.999974,8.522093e-07,2.2453198e-06,1.36741555e-05,1.9572218e-07,1.5320534e-09,1.9317957e-11,3.0467478e-07,4.5934876e-06,4.121666e-06,0.999974
-857.27673,8,0.99999857,8,0.99999857,4.1706328e-13,5.8284905e-07,3.8650187e-13,5.902381e-13,3.412287e-12,4.0541952e-11,8.586163e-07,6.7702734e-14,0.99999857,7.598001e-09
